Time,Open,High,Low,Latest,Change,%Change,Volume
"2026-04-30 16:30",7209.01,7209.01,7209.01,7209.01,0,0.00%,0
"2026-04-30 16:00",7208.1,7209.23,7208.1,7209.01,-0.62,-0.01%,0
"2026-04-30 15:30",7214.23,7219.83,7209.63,7209.63,-4.52,-0.06%,0
"2026-04-30 15:00",7206.91,7217.19,7205.73,7214.15,7.21,+0.10%,0
"2026-04-30 14:30",7202.4,7210.87,7202.24,7206.94,4.51,+0.06%,0
"2026-04-30 14:00",7194.08,7204.77,7193.62,7202.43,8.37,+0.12%,0
"2026-04-30 13:30",7181.24,7194.65,7181.12,7194.06,12.69,+0.18%,0
"2026-04-30 13:00",7166.21,7181.39,7166.17,7181.37,15.28,+0.21%,0
"2026-04-30 12:30",7174.56,7176.14,7162.16,7166.09,-8.58,-0.12%,0
"2026-04-30 12:00",7168.59,7177.07,7163.79,7174.67,5.96,+0.08%,0
"2026-04-30 11:30",7167.12,7173.07,7157.29,7168.71,1.19,+0.02%,0
"2026-04-30 11:00",7162.09,7168.92,7158.14,7167.52,5.33,+0.07%,0
"2026-04-30 10:30",7142.18,7164.89,7134.23,7162.19,19.71,+0.28%,0
"2026-04-30 10:00",7136.15,7146,7126.15,7142.48,6.65,+0.09%,0
"2026-04-30 09:30",7161.75,7170.52,7130.33,7135.83,-0.12,0.00%,0
"2026-04-29 16:30",7135.95,7135.95,7135.95,7135.95,0,0.00%,0
"2026-04-29 16:00",7138.55,7138.55,7135.95,7135.95,-1.61,-0.02%,0
"2026-04-29 15:30",7131.97,7137.56,7124.16,7137.56,5.37,+0.08%,0
"2026-04-29 15:00",7128.98,7138.6,7123.5,7132.19,3.09,+0.04%,0
"2026-04-29 14:30",7115.74,7129.52,7107.86,7129.1,13.29,+0.19%,0
"2026-04-29 14:00",7128.79,7129.47,7108.21,7115.81,-12.92,-0.18%,0
"2026-04-29 13:30",7122.12,7130.36,7121.22,7128.73,6.78,+0.10%,0
"2026-04-29 13:00",7119.62,7123.92,7115.82,7121.95,2.41,+0.03%,0
"2026-04-29 12:30",7120.49,7123.2,7112.67,7119.54,-1.02,-0.01%,0
"2026-04-29 12:00",7123.64,7130.23,7120.16,7120.56,-3.03,-0.04%,0
"2026-04-29 11:30",7132.34,7134.45,7115.99,7123.59,-8.98,-0.13%,0
"2026-04-29 11:00",7137.99,7138.39,7124.25,7132.57,-5.19,-0.07%,0
"2026-04-29 10:30",7138.36,7145.63,7136.01,7137.76,-0.56,-0.01%,0
"2026-04-29 10:00",7131.96,7140.61,7125.63,7138.32,6.39,+0.09%,0
