Time,Open,High,Low,Latest,Change,%Change,Volume
"2021-04-30 17:16",4181.17,4181.17,4181.17,4181.17,0,0.00%,0
"2021-04-30 16:20",4181.17,4181.17,4181.17,4181.17,0,0.00%,0
"2021-04-30 16:19",4181.17,4181.17,4181.17,4181.17,0,0.00%,0
"2021-04-30 16:18",4181.17,4181.17,4181.17,4181.17,0,0.00%,0
"2021-04-30 16:17",4181.17,4181.17,4181.17,4181.17,0,0.00%,0
"2021-04-30 16:16",4181.17,4181.17,4181.17,4181.17,0,0.00%,0
"2021-04-30 16:15",4181.17,4181.17,4181.17,4181.17,0,0.00%,0
"2021-04-30 16:14",4181.17,4181.17,4181.17,4181.17,0,0.00%,0
"2021-04-30 16:13",4181.17,4181.17,4181.17,4181.17,0,0.00%,0
"2021-04-30 16:12",4181.17,4181.17,4181.17,4181.17,0,0.00%,0
"2021-04-30 16:11",4181.17,4181.17,4181.17,4181.17,0,0.00%,0
"2021-04-30 16:10",4181.17,4181.17,4181.17,4181.17,0,0.00%,0
"2021-04-30 16:09",4181.17,4181.17,4181.17,4181.17,0,0.00%,0
"2021-04-30 16:08",4181.17,4181.17,4181.17,4181.17,0,0.00%,0
"2021-04-30 16:07",4181.17,4181.17,4181.17,4181.17,0,0.00%,0
"2021-04-30 16:06",4181.17,4181.17,4181.17,4181.17,0,0.00%,0
"2021-04-30 16:05",4181.17,4181.17,4181.17,4181.17,0,0.00%,0
"2021-04-30 16:04",4181.21,4181.21,4181.16,4181.17,-0.04,0.00%,0
"2021-04-30 16:03",4181.3,4181.3,4181.2,4181.21,-0.09,0.00%,0
"2021-04-30 16:02",4181.21,4181.34,4181.18,4181.3,0.09,0.00%,0
"2021-04-30 16:01",4181.21,4181.21,4181.21,4181.21,0,0.00%,0
"2021-04-30 16:00",4181.61,4181.68,4181.21,4181.21,-0.6,-0.01%,0
"2021-04-30 15:59",4178.99,4181.81,4178.39,4181.81,2.95,+0.07%,0
"2021-04-30 15:58",4178.78,4181.26,4178.7,4178.86,-0.04,0.00%,0
"2021-04-30 15:57",4179.11,4179.21,4177.62,4178.9,-0.36,-0.01%,0
"2021-04-30 15:56",4181.25,4181.25,4178.87,4179.26,-1.74,-0.04%,0
"2021-04-30 15:55",4178.7,4181.46,4178.7,4181,2.46,+0.06%,0
"2021-04-30 15:54",4180.63,4180.99,4178.33,4178.54,-2.01,-0.05%,0
"2021-04-30 15:53",4180.6,4181.34,4179.97,4180.55,-0.23,-0.01%,0
"2021-04-30 15:52",4181.96,4181.96,4180.39,4180.78,-0.79,-0.02%,0
"2021-04-30 15:51",4181.15,4181.73,4179.96,4181.57,0.27,+0.01%,0
"2021-04-30 15:50",4183.21,4183.21,4180.4,4181.3,-1.91,-0.05%,0
"2021-04-30 15:49",4180.32,4183.21,4180.31,4183.21,3.33,+0.08%,0
"2021-04-30 15:48",4176.17,4179.88,4176.17,4179.88,3.97,+0.10%,0
"2021-04-30 15:47",4176.18,4176.18,4174.85,4175.91,-0.07,0.00%,0
"2021-04-30 15:46",4177.65,4177.65,4175.83,4175.98,-1.74,-0.04%,0
"2021-04-30 15:45",4178.38,4178.38,4177.17,4177.72,-0.71,-0.02%,0
"2021-04-30 15:44",4179.7,4179.7,4178.43,4178.43,-1.38,-0.03%,0
"2021-04-30 15:43",4181.1,4181.1,4179.73,4179.81,-1.3,-0.03%,0
"2021-04-30 15:42",4181.46,4181.85,4180.6,4181.11,-0.35,-0.01%,0
"2021-04-30 15:41",4182.13,4182.17,4181.39,4181.46,-0.44,-0.01%,0
"2021-04-30 15:40",4183.37,4183.37,4180.97,4181.9,-1.5,-0.04%,0
"2021-04-30 15:39",4183.5,4184.13,4183.19,4183.4,-0.04,0.00%,0
"2021-04-30 15:38",4185,4185,4183.36,4183.44,-1.61,-0.04%,0
"2021-04-30 15:37",4185.46,4185.94,4185.05,4185.05,-0.42,-0.01%,0
"2021-04-30 15:36",4184.21,4185.61,4184.2,4185.47,1.24,+0.03%,0
"2021-04-30 15:35",4183.63,4184.53,4183.25,4184.23,0.59,+0.01%,0
"2021-04-30 15:34",4183.23,4184.6,4183.23,4183.64,0.48,+0.01%,0
"2021-04-30 15:33",4183.75,4183.86,4182.96,4183.16,-0.61,-0.01%,0
"2021-04-30 15:32",4184.82,4184.94,4183.65,4183.77,-0.85,-0.02%,0
"2021-04-30 15:31",4185.6,4185.63,4184.46,4184.62,-1.04,-0.02%,0
"2021-04-30 15:30",4186.02,4186.68,4185.34,4185.66,-0.2,0.00%,0
"2021-04-30 15:29",4184.76,4186.06,4184.62,4185.86,1.09,+0.03%,0
"2021-04-30 15:28",4184.84,4185.28,4184.67,4184.77,-0.15,0.00%,0
"2021-04-30 15:27",4184.53,4185.18,4184.46,4184.92,0.41,+0.01%,0
"2021-04-30 15:26",4183.47,4184.51,4183.36,4184.51,1.08,+0.03%,0
"2021-04-30 15:25",4182.78,4184.4,4182.78,4183.43,0.71,+0.02%,0
"2021-04-30 15:24",4182.23,4183.16,4181.83,4182.72,0.45,+0.01%,0
"2021-04-30 15:23",4180.19,4182.29,4180.08,4182.27,2.06,+0.05%,0
"2021-04-30 15:22",4179.34,4180.78,4179.34,4180.21,0.9,+0.02%,0
"2021-04-30 15:21",4177.79,4179.31,4177.79,4179.31,1.42,+0.03%,0
"2021-04-30 15:20",4177.91,4178.28,4177.57,4177.89,0,0.00%,0
"2021-04-30 15:19",4177.83,4177.89,4177.41,4177.89,0.08,0.00%,0
"2021-04-30 15:18",4178.41,4178.71,4177.72,4177.81,-0.6,-0.01%,0
"2021-04-30 15:17",4178.57,4178.79,4177.98,4178.41,-0.19,0.00%,0
"2021-04-30 15:16",4178.11,4178.72,4178.04,4178.6,0.51,+0.01%,0
"2021-04-30 15:15",4178.95,4178.95,4178.09,4178.09,-0.9,-0.02%,0
"2021-04-30 15:14",4180.09,4180.24,4178.99,4178.99,-1.04,-0.02%,0
"2021-04-30 15:13",4180.97,4181.27,4180,4180.03,-0.94,-0.02%,0
"2021-04-30 15:12",4181.89,4181.89,4180.7,4180.97,-0.9,-0.02%,0
"2021-04-30 15:11",4180.29,4181.93,4180.23,4181.87,1.54,+0.04%,0
"2021-04-30 15:10",4179.48,4180.47,4179.09,4180.33,0.79,+0.02%,0
"2021-04-30 15:09",4178.74,4180.03,4178.74,4179.54,0.82,+0.02%,0
"2021-04-30 15:08",4180.53,4180.76,4178.65,4178.72,-1.85,-0.04%,0
"2021-04-30 15:07",4181.76,4181.76,4180.56,4180.57,-1.16,-0.03%,0
"2021-04-30 15:06",4180.97,4181.89,4180.96,4181.73,0.7,+0.02%,0
"2021-04-30 15:05",4181.23,4182.37,4181.01,4181.03,-0.24,-0.01%,0
"2021-04-30 15:04",4182.16,4183.04,4180.82,4181.27,-0.88,-0.02%,0
"2021-04-30 15:03",4183.28,4183.28,4182.15,4182.15,-1.14,-0.03%,0
"2021-04-30 15:02",4184.4,4184.63,4183.25,4183.29,-1.13,-0.03%,0
"2021-04-30 15:01",4185.85,4185.94,4184.42,4184.42,-1.27,-0.03%,0
"2021-04-30 15:00",4181.77,4185.69,4181.77,4185.69,3.97,+0.09%,0
"2021-04-30 14:59",4182.98,4183.68,4181.67,4181.72,-1.25,-0.03%,0
"2021-04-30 14:58",4182.48,4183.1,4182.47,4182.97,0.46,+0.01%,0
"2021-04-30 14:57",4183.15,4183.47,4182.51,4182.51,-0.66,-0.02%,0
"2021-04-30 14:56",4183.72,4183.76,4182.74,4183.17,-0.5,-0.01%,0
"2021-04-30 14:55",4183.91,4185.02,4183.65,4183.67,-0.18,0.00%,0
"2021-04-30 14:54",4183.8,4183.85,4183.35,4183.85,0.06,0.00%,0
"2021-04-30 14:53",4183.55,4184.29,4183.52,4183.79,0.24,+0.01%,0
"2021-04-30 14:52",4182.72,4183.62,4182.42,4183.55,0.81,+0.02%,0
"2021-04-30 14:51",4181.89,4182.85,4181.85,4182.74,0.67,+0.02%,0
"2021-04-30 14:50",4183.35,4183.36,4182.07,4182.07,-1.25,-0.03%,0
"2021-04-30 14:49",4183.24,4183.54,4183.11,4183.32,0.07,0.00%,0
"2021-04-30 14:48",4183.78,4183.91,4183.22,4183.25,-0.41,-0.01%,0
"2021-04-30 14:47",4183.86,4183.91,4183.44,4183.66,-0.17,0.00%,0
"2021-04-30 14:46",4185.18,4185.18,4183.75,4183.83,-1.33,-0.03%,0
"2021-04-30 14:45",4185.73,4185.76,4185.08,4185.16,-0.54,-0.01%,0
"2021-04-30 14:44",4185.08,4185.76,4184.87,4185.7,0.57,+0.01%,0
"2021-04-30 14:43",4185.04,4185.65,4185.04,4185.13,0.11,0.00%,0
"2021-04-30 14:42",4184.47,4185.05,4184.47,4185.02,0.57,+0.01%,0
"2021-04-30 14:41",4183.31,4184.67,4183.31,4184.45,1.13,+0.03%,0
"2021-04-30 14:40",4183.17,4183.57,4182.89,4183.32,0.14,0.00%,0
"2021-04-30 14:39",4183.72,4183.73,4183.18,4183.18,-0.55,-0.01%,0
"2021-04-30 14:38",4184.12,4184.12,4183.29,4183.73,-0.4,-0.01%,0
"2021-04-30 14:37",4183.09,4184.17,4183.08,4184.13,0.98,+0.02%,0
"2021-04-30 14:36",4183.85,4183.9,4182.68,4183.15,-0.69,-0.02%,0
"2021-04-30 14:35",4183.63,4183.93,4183.44,4183.84,0.28,+0.01%,0
"2021-04-30 14:34",4183.76,4184.12,4183.52,4183.56,-0.26,-0.01%,0
"2021-04-30 14:33",4183.32,4183.86,4183.32,4183.82,0.73,+0.02%,0
"2021-04-30 14:32",4183.16,4183.16,4182.55,4183.09,-0.1,0.00%,0
"2021-04-30 14:31",4183.46,4183.47,4182.95,4183.19,-0.32,-0.01%,0
"2021-04-30 14:30",4184.1,4184.1,4183.4,4183.51,-0.62,-0.01%,0
"2021-04-30 14:29",4183.72,4184.42,4183.6,4184.13,0.37,+0.01%,0
"2021-04-30 14:28",4182.67,4183.77,4182.62,4183.76,1.1,+0.03%,0
"2021-04-30 14:27",4182.36,4182.82,4182.36,4182.66,0.31,+0.01%,0
"2021-04-30 14:26",4180.15,4182.35,4179.56,4182.35,2.21,+0.05%,0
"2021-04-30 14:25",4180.31,4180.8,4180.14,4180.14,-0.14,0.00%,0
"2021-04-30 14:24",4180.72,4180.83,4179.86,4180.28,-0.46,-0.01%,0
"2021-04-30 14:23",4181.8,4181.8,4180.74,4180.74,-1.04,-0.02%,0
"2021-04-30 14:22",4181.22,4181.81,4181.22,4181.78,0.65,+0.02%,0
"2021-04-30 14:21",4181.48,4182.26,4181,4181.13,-0.22,-0.01%,0
"2021-04-30 14:20",4181.79,4181.84,4180.36,4181.35,-0.41,-0.01%,0
"2021-04-30 14:19",4181.29,4181.98,4181.29,4181.76,0.48,+0.01%,0
"2021-04-30 14:18",4180.87,4181.44,4180.66,4181.28,0.42,+0.01%,0
"2021-04-30 14:17",4180.29,4181.22,4180.29,4180.86,0.59,+0.01%,0
"2021-04-30 14:16",4180.3,4180.54,4180.04,4180.27,-0.11,0.00%,0
"2021-04-30 14:15",4180.82,4180.82,4179.8,4180.38,-0.44,-0.01%,0
"2021-04-30 14:14",4180.36,4180.82,4180.34,4180.82,0.46,+0.01%,0
"2021-04-30 14:13",4180.71,4180.72,4179.74,4180.36,-0.34,-0.01%,0
"2021-04-30 14:12",4181.35,4181.53,4180.65,4180.7,-0.59,-0.01%,0
"2021-04-30 14:11",4179.4,4181.29,4179.32,4181.29,1.92,+0.05%,0
"2021-04-30 14:10",4179.1,4179.37,4178.45,4179.37,0.26,+0.01%,0
"2021-04-30 14:09",4177.91,4179.17,4177.55,4179.11,1.17,+0.03%,0
"2021-04-30 14:08",4178.7,4178.72,4177.94,4177.94,-0.75,-0.02%,0
"2021-04-30 14:07",4178.65,4178.75,4178.01,4178.69,-0.03,0.00%,0
"2021-04-30 14:06",4178.56,4179.56,4178.46,4178.72,0.15,0.00%,0
"2021-04-30 14:05",4176.62,4178.63,4176.62,4178.57,1.97,+0.05%,0
"2021-04-30 14:04",4176.93,4177.52,4176.49,4176.6,-0.4,-0.01%,0
"2021-04-30 14:03",4178.74,4179.35,4177,4177,-1.71,-0.04%,0
"2021-04-30 14:02",4180.21,4180.23,4177.74,4178.71,-1.52,-0.04%,0
"2021-04-30 14:01",4179.17,4180.38,4178.94,4180.23,1.12,+0.03%,0
"2021-04-30 14:00",4177.69,4179.21,4177.51,4179.11,1.48,+0.04%,0
"2021-04-30 13:59",4176.22,4177.63,4175.96,4177.63,1.38,+0.03%,0
"2021-04-30 13:58",4176.45,4176.58,4175.6,4176.25,-0.22,-0.01%,0
"2021-04-30 13:57",4176.54,4176.98,4176.45,4176.47,-0.11,0.00%,0
"2021-04-30 13:56",4177.81,4177.81,4176.5,4176.58,-1.21,-0.03%,0
"2021-04-30 13:55",4178.9,4178.9,4177.23,4177.79,-1.22,-0.03%,0
"2021-04-30 13:54",4178.45,4179.97,4178.39,4179.01,0.6,+0.01%,0
"2021-04-30 13:53",4180.57,4180.57,4178.32,4178.41,-2.31,-0.06%,0
"2021-04-30 13:52",4182.77,4182.77,4180.72,4180.72,-2.04,-0.05%,0
"2021-04-30 13:51",4182.27,4183.05,4182.27,4182.76,0.44,+0.01%,0
"2021-04-30 13:50",4183.03,4183.03,4182.18,4182.32,-0.65,-0.02%,0
"2021-04-30 13:49",4182.5,4183.17,4182.35,4182.97,0.44,+0.01%,0
"2021-04-30 13:48",4182.95,4183.1,4182.12,4182.53,-0.36,-0.01%,0
"2021-04-30 13:47",4184.14,4184.2,4182.71,4182.89,-1.29,-0.03%,0
"2021-04-30 13:46",4185.19,4185.36,4184.11,4184.18,-1.04,-0.02%,0
"2021-04-30 13:45",4186.72,4186.72,4184.68,4185.22,-1.48,-0.04%,0
"2021-04-30 13:44",4186.89,4186.93,4186.18,4186.7,-0.18,0.00%,0
"2021-04-30 13:43",4187.92,4187.92,4186.86,4186.88,-1.09,-0.03%,0
"2021-04-30 13:42",4188.24,4188.28,4187.84,4187.97,-0.24,-0.01%,0
"2021-04-30 13:41",4188.74,4188.87,4188.16,4188.21,-0.54,-0.01%,0
"2021-04-30 13:40",4189,4189.04,4188.35,4188.75,-0.26,-0.01%,0
"2021-04-30 13:39",4188.41,4189.14,4188.4,4189.01,0.61,+0.01%,0
"2021-04-30 13:38",4188.72,4188.72,4188.19,4188.4,-0.33,-0.01%,0
"2021-04-30 13:37",4189.21,4189.22,4188.09,4188.73,-0.49,-0.01%,0
"2021-04-30 13:36",4189.1,4189.43,4188.77,4189.22,0.19,0.00%,0
"2021-04-30 13:35",4188.97,4189.1,4188.6,4189.03,0.02,0.00%,0
"2021-04-30 13:34",4189.43,4189.46,4188.85,4189.01,-0.41,-0.01%,0
"2021-04-30 13:33",4189.28,4189.98,4189.28,4189.42,0.35,+0.01%,0
"2021-04-30 13:32",4188.56,4189.07,4188.39,4189.07,0.5,+0.01%,0
"2021-04-30 13:31",4188.21,4188.61,4188.13,4188.57,0.38,+0.01%,0
"2021-04-30 13:30",4188.51,4188.65,4188.15,4188.19,-0.32,-0.01%,0
"2021-04-30 13:29",4187.96,4188.51,4187.96,4188.51,0.49,+0.01%,0
"2021-04-30 13:28",4187.34,4188.43,4187.34,4188.02,0.67,+0.02%,0
"2021-04-30 13:27",4187.12,4187.4,4186.76,4187.35,0.22,+0.01%,0
"2021-04-30 13:26",4187.05,4187.18,4186.71,4187.13,0.05,0.00%,0
"2021-04-30 13:25",4187.3,4187.3,4186.82,4187.08,-0.22,-0.01%,0
"2021-04-30 13:24",4186.26,4187.36,4186.19,4187.3,1.13,+0.03%,0
"2021-04-30 13:23",4185.44,4186.17,4185.44,4186.17,0.76,+0.02%,0
"2021-04-30 13:22",4185.3,4185.74,4185.1,4185.41,0.15,0.00%,0
"2021-04-30 13:21",4184.84,4185.51,4184.81,4185.26,0.41,+0.01%,0
"2021-04-30 13:20",4184.59,4185.26,4184.57,4184.85,0.27,+0.01%,0
"2021-04-30 13:19",4184.77,4184.77,4184.42,4184.58,-0.17,0.00%,0
"2021-04-30 13:18",4185.38,4185.51,4184.75,4184.75,-0.63,-0.02%,0
"2021-04-30 13:17",4184.81,4185.38,4184.55,4185.38,0.5,+0.01%,0
"2021-04-30 13:16",4185.95,4185.97,4184.6,4184.88,-1.02,-0.02%,0
"2021-04-30 13:15",4185.54,4186.26,4185.43,4185.9,0.37,+0.01%,0
"2021-04-30 13:14",4186.32,4186.32,4185.38,4185.53,-0.79,-0.02%,0
"2021-04-30 13:13",4186.25,4186.7,4186.22,4186.32,0.1,0.00%,0
"2021-04-30 13:12",4184.46,4186.22,4184.19,4186.22,1.69,+0.04%,0
"2021-04-30 13:11",4186.67,4186.68,4184.5,4184.53,-2.16,-0.05%,0
"2021-04-30 13:10",4187.68,4187.78,4186.6,4186.69,-0.98,-0.02%,0
"2021-04-30 13:09",4187.1,4187.72,4186.97,4187.67,0.56,+0.01%,0
"2021-04-30 13:08",4187.18,4187.61,4187.01,4187.11,-0.07,0.00%,0
"2021-04-30 13:07",4186.09,4187.19,4186.09,4187.18,1.12,+0.03%,0
"2021-04-30 13:06",4185.7,4186.35,4185.25,4186.06,0.33,+0.01%,0
"2021-04-30 13:05",4185.86,4186.41,4185.55,4185.73,-0.13,0.00%,0
"2021-04-30 13:04",4185.16,4185.86,4184.99,4185.86,0.76,+0.02%,0
"2021-04-30 13:03",4185.52,4185.55,4185.01,4185.1,-0.47,-0.01%,0
"2021-04-30 13:02",4185.22,4185.82,4184.9,4185.57,0.33,+0.01%,0
"2021-04-30 13:01",4185.18,4185.39,4184.98,4185.24,-0.01,0.00%,0
"2021-04-30 13:00",4185.89,4185.96,4185.19,4185.25,-0.66,-0.02%,0
"2021-04-30 12:59",4184.44,4185.99,4184.44,4185.91,1.68,+0.04%,0
"2021-04-30 12:58",4183.66,4184.23,4183.41,4184.23,0.55,+0.01%,0
