Time,Open,High,Low,Latest,Change,%Change,Volume
"2021-08-31 16:57",4522.68,4522.68,4522.68,4522.68,0,0.00%,0
"2021-08-31 16:20",4522.68,4522.68,4522.68,4522.68,0,0.00%,0
"2021-08-31 16:19",4522.68,4522.68,4522.68,4522.68,0,0.00%,0
"2021-08-31 16:18",4522.68,4522.68,4522.68,4522.68,0,0.00%,0
"2021-08-31 16:17",4522.68,4522.68,4522.68,4522.68,0,0.00%,0
"2021-08-31 16:16",4522.68,4522.68,4522.68,4522.68,0,0.00%,0
"2021-08-31 16:15",4522.68,4522.68,4522.68,4522.68,0,0.00%,0
"2021-08-31 16:14",4522.68,4522.68,4522.68,4522.68,0,0.00%,0
"2021-08-31 16:13",4522.68,4522.68,4522.68,4522.68,0,0.00%,0
"2021-08-31 16:12",4522.68,4522.68,4522.68,4522.68,0,0.00%,0
"2021-08-31 16:11",4522.68,4522.68,4522.68,4522.68,0,0.00%,0
"2021-08-31 16:10",4522.68,4522.68,4522.68,4522.68,0,0.00%,0
"2021-08-31 16:09",4522.68,4522.68,4522.68,4522.68,0,0.00%,0
"2021-08-31 16:08",4522.68,4522.68,4522.68,4522.68,0,0.00%,0
"2021-08-31 16:07",4522.68,4522.68,4522.68,4522.68,0,0.00%,0
"2021-08-31 16:06",4522.67,4522.68,4522.67,4522.68,0.01,0.00%,0
"2021-08-31 16:05",4522.66,4522.67,4522.66,4522.67,0.01,0.00%,0
"2021-08-31 16:04",4522.64,4522.67,4522.64,4522.66,0.02,0.00%,0
"2021-08-31 16:03",4522.59,4522.64,4522.59,4522.64,0.05,0.00%,0
"2021-08-31 16:02",4522.58,4522.59,4522.56,4522.59,0.01,0.00%,0
"2021-08-31 16:01",4522.57,4522.58,4522.57,4522.58,0.01,0.00%,0
"2021-08-31 16:00",4522.66,4522.73,4522.57,4522.57,0.12,0.00%,0
"2021-08-31 15:59",4524.74,4525.48,4522.39,4522.45,-2.25,-0.05%,0
"2021-08-31 15:58",4525.67,4525.67,4524.1,4524.7,-0.88,-0.02%,0
"2021-08-31 15:57",4523.46,4525.75,4523.4,4525.58,2.08,+0.05%,0
"2021-08-31 15:56",4522.59,4523.94,4522.59,4523.5,0.88,+0.02%,0
"2021-08-31 15:55",4520.41,4522.62,4520.17,4522.62,2.46,+0.05%,0
"2021-08-31 15:54",4523.15,4523.15,4519.93,4520.16,-2.99,-0.07%,0
"2021-08-31 15:53",4522.48,4523.56,4522.31,4523.15,0.77,+0.02%,0
"2021-08-31 15:52",4523.06,4523.33,4522.24,4522.38,-0.36,-0.01%,0
"2021-08-31 15:51",4522.65,4523.42,4522.28,4522.74,0.07,0.00%,0
"2021-08-31 15:50",4524.54,4524.54,4522.03,4522.67,-2.01,-0.04%,0
"2021-08-31 15:49",4524.36,4524.86,4524.36,4524.68,0.32,+0.01%,0
"2021-08-31 15:48",4524.13,4524.4,4524.1,4524.36,0.23,+0.01%,0
"2021-08-31 15:47",4524.01,4524.19,4523.67,4524.13,0.11,0.00%,0
"2021-08-31 15:46",4523.82,4524.04,4523.55,4524.02,0.2,0.00%,0
"2021-08-31 15:45",4523.58,4523.93,4523.1,4523.82,0.23,+0.01%,0
"2021-08-31 15:44",4522.64,4523.59,4522.64,4523.59,0.99,+0.02%,0
