Time,Open,High,Low,Latest,Change,%Change,Volume
"2021-01-29 17:12",3714.24,3714.24,3714.24,3714.24,0,0.00%,0
"2021-01-29 16:20",3714.24,3714.24,3714.24,3714.24,0,0.00%,0
"2021-01-29 16:19",3714.24,3714.24,3714.24,3714.24,0,0.00%,0
"2021-01-29 16:18",3714.24,3714.24,3714.24,3714.24,0,0.00%,0
"2021-01-29 16:17",3714.24,3714.24,3714.24,3714.24,0,0.00%,0
"2021-01-29 16:16",3714.24,3714.24,3714.24,3714.24,0,0.00%,0
"2021-01-29 16:15",3714.24,3714.24,3714.24,3714.24,0,0.00%,0
"2021-01-29 16:14",3714.24,3714.24,3714.24,3714.24,0,0.00%,0
"2021-01-29 16:13",3714.24,3714.24,3714.24,3714.24,0,0.00%,0
"2021-01-29 16:12",3714.24,3714.24,3714.24,3714.24,0,0.00%,0
"2021-01-29 16:11",3714.24,3714.24,3714.24,3714.24,0,0.00%,0
"2021-01-29 16:10",3714.24,3714.24,3714.24,3714.24,0,0.00%,0
"2021-01-29 16:09",3714.24,3714.24,3714.24,3714.24,0,0.00%,0
"2021-01-29 16:08",3714.24,3714.24,3714.24,3714.24,0,0.00%,0
"2021-01-29 16:07",3714.24,3714.24,3714.24,3714.24,0,0.00%,0
"2021-01-29 16:06",3714.24,3714.24,3714.24,3714.24,0,0.00%,0
"2021-01-29 16:05",3714.26,3714.26,3714.24,3714.24,-0.02,0.00%,0
"2021-01-29 16:04",3714.19,3714.26,3714.18,3714.26,0.07,0.00%,0
"2021-01-29 16:03",3714.21,3714.21,3714.17,3714.19,-0.03,0.00%,0
"2021-01-29 16:02",3714.04,3714.22,3714.04,3714.22,0.18,0.00%,0
"2021-01-29 16:01",3714.04,3714.04,3714.04,3714.04,0,0.00%,0
"2021-01-29 16:00",3712.77,3714.04,3712.77,3714.04,0.81,+0.02%,0
"2021-01-29 15:59",3718.56,3721.48,3711.45,3713.23,-5.54,-0.15%,0
"2021-01-29 15:58",3726.25,3726.25,3718.77,3718.77,-7.36,-0.20%,0
"2021-01-29 15:57",3732.95,3733.23,3725.82,3726.13,-7.09,-0.19%,0
"2021-01-29 15:56",3731.67,3735.13,3731.39,3733.22,1.53,+0.04%,0
"2021-01-29 15:55",3728.01,3732.25,3728.01,3731.69,3.66,+0.10%,0
"2021-01-29 15:54",3731.43,3731.95,3728.03,3728.03,-3.27,-0.09%,0
"2021-01-29 15:53",3729.63,3731.53,3729.34,3731.3,1.56,+0.04%,0
"2021-01-29 15:52",3725.74,3731.1,3725.73,3729.74,3.99,+0.11%,0
"2021-01-29 15:51",3728.25,3728.25,3725.46,3725.75,-2.09,-0.06%,0
"2021-01-29 15:50",3719.29,3729.87,3719.21,3727.84,8.54,+0.23%,0
"2021-01-29 15:49",3718.45,3720.61,3717.8,3719.3,0.99,+0.03%,0
"2021-01-29 15:48",3716.6,3720.27,3716.6,3718.31,1.74,+0.05%,0
"2021-01-29 15:47",3717.84,3717.84,3716.39,3716.57,-1.35,-0.04%,0
"2021-01-29 15:46",3718.74,3721,3717.91,3717.92,-0.81,-0.02%,0
"2021-01-29 15:45",3723.06,3723.58,3717.47,3718.73,-4.4,-0.12%,0
"2021-01-29 15:44",3722.5,3723.38,3721.54,3723.13,0.53,+0.01%,0
"2021-01-29 15:43",3725.82,3725.85,3722.43,3722.6,-3.5,-0.09%,0
"2021-01-29 15:42",3726.52,3727.34,3724.96,3726.1,-0.35,-0.01%,0
"2021-01-29 15:41",3726.83,3726.83,3725.77,3726.45,-0.25,-0.01%,0
"2021-01-29 15:40",3725.39,3726.76,3724.69,3726.7,1.27,+0.03%,0
"2021-01-29 15:39",3727.52,3728.64,3725.43,3725.43,-2.12,-0.06%,0
"2021-01-29 15:38",3728.18,3729.54,3727.55,3727.55,-0.91,-0.02%,0
"2021-01-29 15:37",3733.61,3733.61,3727.71,3728.46,-5.22,-0.14%,0
"2021-01-29 15:36",3736,3736.3,3733.57,3733.68,-2.42,-0.06%,0
"2021-01-29 15:35",3738.63,3738.63,3736.1,3736.1,-2.63,-0.07%,0
"2021-01-29 15:34",3739.72,3739.76,3736.85,3738.73,-0.78,-0.02%,0
"2021-01-29 15:33",3741.31,3741.79,3739.48,3739.51,-1.73,-0.05%,0
"2021-01-29 15:32",3736.1,3741.24,3735.31,3741.24,5.13,+0.14%,0
"2021-01-29 15:31",3734.73,3736.77,3734.17,3736.11,1.43,+0.04%,0
"2021-01-29 15:30",3731.94,3735.11,3731.94,3734.68,2.75,+0.07%,0
"2021-01-29 15:29",3732.63,3733.35,3731.91,3731.93,-0.71,-0.02%,0
"2021-01-29 15:28",3733.15,3734.25,3732.64,3732.64,-0.35,-0.01%,0
"2021-01-29 15:27",3734.27,3734.33,3732.07,3732.99,-1.28,-0.03%,0
"2021-01-29 15:26",3736.26,3737.34,3734.27,3734.27,-2.1,-0.06%,0
"2021-01-29 15:25",3736.97,3738.86,3736.34,3736.37,-0.65,-0.02%,0
"2021-01-29 15:24",3738.72,3738.72,3736.53,3737.02,-1.65,-0.04%,0
"2021-01-29 15:23",3740.14,3740.14,3738.67,3738.67,-1.47,-0.04%,0
"2021-01-29 15:22",3740.54,3740.56,3739.32,3740.14,-0.43,-0.01%,0
"2021-01-29 15:21",3738.47,3740.58,3737.26,3740.57,2.15,+0.06%,0
"2021-01-29 15:20",3735.25,3738.82,3735.25,3738.42,3.17,+0.08%,0
"2021-01-29 15:19",3734.47,3736.32,3734.47,3735.25,0.86,+0.02%,0
"2021-01-29 15:18",3734.94,3734.94,3733.89,3734.39,-0.53,-0.01%,0
"2021-01-29 15:17",3735.27,3735.45,3733.92,3734.92,-0.39,-0.01%,0
"2021-01-29 15:16",3734.97,3735.78,3734.1,3735.31,0.41,+0.01%,0
