Time,Open,High,Low,Latest,Change,%Change,Volume
"2021-05-28 17:08",4204.11,4204.11,4204.11,4204.11,0,0.00%,0
"2021-05-28 16:20",4204.11,4204.11,4204.11,4204.11,0,0.00%,0
"2021-05-28 16:19",4204.11,4204.11,4204.11,4204.11,0,0.00%,0
"2021-05-28 16:18",4204.11,4204.11,4204.11,4204.11,0,0.00%,0
"2021-05-28 16:17",4204.11,4204.11,4204.11,4204.11,0,0.00%,0
"2021-05-28 16:16",4204.11,4204.11,4204.11,4204.11,0,0.00%,0
"2021-05-28 16:15",4204.11,4204.11,4204.11,4204.11,0,0.00%,0
"2021-05-28 16:14",4204.11,4204.11,4204.11,4204.11,0,0.00%,0
"2021-05-28 16:13",4204.11,4204.11,4204.11,4204.11,0,0.00%,0
"2021-05-28 16:12",4204.11,4204.11,4204.11,4204.11,0,0.00%,0
"2021-05-28 16:11",4204.11,4204.11,4204.11,4204.11,0,0.00%,0
"2021-05-28 16:10",4204.11,4204.11,4204.11,4204.11,0,0.00%,0
"2021-05-28 16:09",4204.11,4204.11,4204.11,4204.11,0,0.00%,0
"2021-05-28 16:08",4204.11,4204.11,4204.11,4204.11,0,0.00%,0
"2021-05-28 16:07",4204.11,4204.11,4204.11,4204.11,0,0.00%,0
"2021-05-28 16:06",4204.11,4204.11,4204.11,4204.11,0,0.00%,0
"2021-05-28 16:05",4204.11,4204.11,4204.11,4204.11,0,0.00%,0
"2021-05-28 16:04",4204.18,4204.18,4204.11,4204.11,-0.07,0.00%,0
"2021-05-28 16:03",4204.28,4204.29,4204.18,4204.18,-0.1,0.00%,0
"2021-05-28 16:02",4204.32,4204.33,4204.27,4204.28,-0.04,0.00%,0
"2021-05-28 16:01",4204.32,4204.32,4204.32,4204.32,0,0.00%,0
"2021-05-28 16:00",4205.15,4205.15,4204.32,4204.32,-0.28,-0.01%,0
"2021-05-28 15:59",4205.04,4206.82,4203.57,4204.6,-0.46,-0.01%,0
"2021-05-28 15:58",4207.11,4207.44,4205.06,4205.06,-2.18,-0.05%,0
"2021-05-28 15:57",4206.84,4208.16,4206.83,4207.24,0.38,+0.01%,0
"2021-05-28 15:56",4204.91,4207.1,4204.91,4206.86,1.95,+0.05%,0
"2021-05-28 15:55",4208.15,4208.15,4204.91,4204.91,-3.05,-0.07%,0
"2021-05-28 15:54",4210.34,4210.89,4207.05,4207.96,-2.36,-0.06%,0
"2021-05-28 15:53",4209.96,4210.78,4209.96,4210.32,0.31,+0.01%,0
"2021-05-28 15:52",4211,4211.25,4210.01,4210.01,-0.89,-0.02%,0
"2021-05-28 15:51",4212.24,4212.24,4210.9,4210.9,-1.43,-0.03%,0
"2021-05-28 15:50",4212.54,4213.92,4211.43,4212.33,-0.25,-0.01%,0
"2021-05-28 15:49",4213.45,4213.7,4212.58,4212.58,-0.76,-0.02%,0
"2021-05-28 15:48",4211.86,4213.34,4211.77,4213.34,1.48,+0.04%,0
"2021-05-28 15:47",4211.5,4212.11,4211.17,4211.86,0.4,+0.01%,0
"2021-05-28 15:46",4211.63,4211.68,4211.34,4211.46,-0.16,0.00%,0
"2021-05-28 15:45",4211.1,4211.9,4211.1,4211.62,0.51,+0.01%,0
"2021-05-28 15:44",4211.25,4211.61,4211.07,4211.11,-0.16,0.00%,0
"2021-05-28 15:43",4211.57,4211.69,4210.85,4211.27,-0.29,-0.01%,0
"2021-05-28 15:42",4211.2,4211.94,4211.17,4211.56,0.36,+0.01%,0
"2021-05-28 15:41",4212.04,4212.04,4211.2,4211.2,-0.86,-0.02%,0
"2021-05-28 15:40",4213.51,4213.51,4212.05,4212.06,-1.45,-0.03%,0
"2021-05-28 15:39",4214.43,4214.44,4213.51,4213.51,-0.94,-0.02%,0
"2021-05-28 15:38",4214.36,4214.95,4214.36,4214.45,0.09,0.00%,0
"2021-05-28 15:37",4213.47,4214.53,4213.47,4214.36,0.9,+0.02%,0
