Time,Open,High,Low,Latest,Change,%Change,Volume
"2021-11-30 16:57",4567,4567,4567,4567,0,0.00%,0
"2021-11-30 16:20",4567,4567,4567,4567,0,0.00%,0
"2021-11-30 16:19",4567,4567,4567,4567,0,0.00%,0
"2021-11-30 16:18",4567,4567,4567,4567,0,0.00%,0
"2021-11-30 16:17",4567,4567,4567,4567,0,0.00%,0
"2021-11-30 16:16",4567,4567,4567,4567,0,0.00%,0
"2021-11-30 16:15",4567,4567,4567,4567,0,0.00%,0
"2021-11-30 16:14",4567,4567,4567,4567,0,0.00%,0
"2021-11-30 16:13",4567,4567,4567,4567,0,0.00%,0
"2021-11-30 16:12",4567,4567,4567,4567,0,0.00%,0
"2021-11-30 16:11",4567,4567,4567,4567,0,0.00%,0
"2021-11-30 16:10",4567,4567,4567,4567,0,0.00%,0
"2021-11-30 16:09",4567,4567,4567,4567,0,0.00%,0
"2021-11-30 16:08",4567,4567,4567,4567,0,0.00%,0
"2021-11-30 16:07",4567,4567,4567,4567,0,0.00%,0
"2021-11-30 16:06",4567.01,4567.01,4567,4567,-0.01,0.00%,0
"2021-11-30 16:05",4566.96,4567.01,4566.96,4567.01,0.05,0.00%,0
"2021-11-30 16:04",4566.98,4566.98,4566.95,4566.96,-0.02,0.00%,0
"2021-11-30 16:03",4566.99,4567.01,4566.96,4566.98,-0.01,0.00%,0
"2021-11-30 16:02",4566.97,4567,4566.97,4566.99,0.02,0.00%,0
"2021-11-30 16:01",4566.97,4566.97,4566.97,4566.97,0,0.00%,0
"2021-11-30 16:00",4568.02,4568.02,4566.95,4566.97,-1.33,-0.03%,0
"2021-11-30 15:59",4573.05,4573.87,4567.58,4568.3,-4.65,-0.10%,0
"2021-11-30 15:58",4566.91,4572.99,4566.91,4572.95,5.88,+0.13%,0
"2021-11-30 15:57",4566.27,4567.07,4563.56,4567.07,0.87,+0.02%,0
"2021-11-30 15:56",4564.03,4566.87,4562.83,4566.2,1.99,+0.04%,0
"2021-11-30 15:55",4561.19,4564.85,4561.19,4564.21,3.5,+0.08%,0
"2021-11-30 15:54",4562.8,4564.23,4560,4560.71,-2.26,-0.05%,0
"2021-11-30 15:53",4564.42,4564.42,4561.23,4562.97,-1.37,-0.03%,0
"2021-11-30 15:52",4565.35,4566.93,4562.51,4564.34,-1.09,-0.02%,0
"2021-11-30 15:51",4568.38,4568.38,4564.97,4565.43,-3.36,-0.07%,0
"2021-11-30 15:50",4570.83,4570.83,4564.82,4568.79,-1.84,-0.04%,0
"2021-11-30 15:49",4575.64,4575.64,4570.63,4570.63,-5.05,-0.11%,0
"2021-11-30 15:48",4577.75,4578.1,4573.88,4575.68,-1.84,-0.04%,0
"2021-11-30 15:47",4579.94,4579.94,4576.98,4577.52,-2.43,-0.05%,0
"2021-11-30 15:46",4580.09,4580.15,4578.47,4579.95,-0.22,0.00%,0
"2021-11-30 15:45",4578.44,4581.74,4577.84,4580.17,1.64,+0.04%,0
"2021-11-30 15:44",4575.97,4579.02,4575.85,4578.53,2.57,+0.06%,0
"2021-11-30 15:43",4573.01,4576.65,4572.51,4575.96,3,+0.07%,0
"2021-11-30 15:42",4573.62,4574.68,4572.85,4572.96,-0.67,-0.01%,0
"2021-11-30 15:41",4573.76,4574.44,4573.37,4573.63,-0.12,0.00%,0
"2021-11-30 15:40",4572.51,4573.75,4571.36,4573.75,1.16,+0.03%,0
"2021-11-30 15:39",4574.62,4574.72,4572.59,4572.59,-1.96,-0.04%,0
"2021-11-30 15:38",4572.68,4574.75,4572.09,4574.55,1.86,+0.04%,0
"2021-11-30 15:37",4573.74,4573.81,4571.51,4572.69,-1.,-0.02%,0
"2021-11-30 15:36",4570.48,4573.73,4570.48,4573.69,2.94,+0.06%,0
"2021-11-30 15:35",4576.07,4576.07,4570.75,4570.75,-5.23,-0.11%,0
"2021-11-30 15:34",4577.54,4578.1,4575.21,4575.98,-1.47,-0.03%,0
"2021-11-30 15:33",4576.27,4578.67,4576.27,4577.45,1.53,+0.03%,0
"2021-11-30 15:32",4574.09,4575.92,4574.09,4575.92,1.76,+0.04%,0
"2021-11-30 15:31",4572.24,4574.29,4572.24,4574.16,1.95,+0.04%,0
"2021-11-30 15:30",4571.69,4573.48,4570.74,4572.21,0.65,+0.01%,0
"2021-11-30 15:29",4574.1,4574.83,4571.39,4571.56,-2.55,-0.06%,0
"2021-11-30 15:28",4574.25,4575.31,4573.49,4574.11,-0.13,0.00%,0
"2021-11-30 15:27",4571.65,4575.11,4571.65,4574.24,2.64,+0.06%,0
"2021-11-30 15:26",4570.19,4573.43,4570.19,4571.6,1.5,+0.03%,0
"2021-11-30 15:25",4574.86,4574.86,4570.1,4570.1,-4.79,-0.10%,0
"2021-11-30 15:24",4577.75,4577.87,4574.54,4574.89,-2.82,-0.06%,0
"2021-11-30 15:23",4578.61,4578.61,4577.12,4577.71,-1.01,-0.02%,0
"2021-11-30 15:22",4577.75,4578.83,4577.6,4578.72,0.86,+0.02%,0
"2021-11-30 15:21",4578.05,4579.31,4577.37,4577.86,-0.18,0.00%,0
"2021-11-30 15:20",4577.47,4578.54,4576.76,4578.04,0.6,+0.01%,0
"2021-11-30 15:19",4577.04,4577.52,4576.57,4577.44,0.47,+0.01%,0
"2021-11-30 15:18",4575.86,4577.56,4575.5,4576.97,1.1,+0.02%,0
"2021-11-30 15:17",4576.61,4576.61,4575.44,4575.87,-0.69,-0.02%,0
"2021-11-30 15:16",4576.09,4577.26,4575.58,4576.56,0.43,+0.01%,0
"2021-11-30 15:15",4575.09,4576.75,4574.99,4576.13,1.11,+0.02%,0
"2021-11-30 15:14",4577.05,4577.2,4574.94,4575.02,-1.99,-0.04%,0
