Time,Open,High,Low,Latest,Change,%Change,Volume
"2021-12-31 16:15",17.22,17.22,17.22,17.22,0.01,+0.06%,0
"2021-12-31 16:14",17.26,17.26,17.21,17.21,-0.07,-0.41%,0
"2021-12-31 16:13",17.3,17.3,17.28,17.28,-0.03,-0.17%,0
"2021-12-31 16:12",17.32,17.32,17.3,17.31,-0.02,-0.12%,0
"2021-12-31 16:11",17.32,17.33,17.32,17.33,0,0.00%,0
"2021-12-31 16:10",17.3,17.33,17.3,17.33,0.02,+0.12%,0
"2021-12-31 16:09",17.3,17.32,17.3,17.31,0.01,+0.06%,0
"2021-12-31 16:08",17.29,17.3,17.29,17.3,0.01,+0.06%,0
"2021-12-31 16:07",17.28,17.29,17.28,17.29,0,0.00%,0
"2021-12-31 16:06",17.3,17.31,17.29,17.29,-0.01,-0.06%,0
"2021-12-31 16:05",17.3,17.31,17.29,17.3,-0.03,-0.17%,0
"2021-12-31 16:04",17.32,17.35,17.32,17.33,-0.01,-0.06%,0
"2021-12-31 16:03",17.4,17.4,17.34,17.34,-0.05,-0.29%,0
"2021-12-31 16:02",17.33,17.39,17.33,17.39,0.04,+0.23%,0
"2021-12-31 16:01",17.28,17.35,17.28,17.35,0.03,+0.17%,0
"2021-12-31 16:00",17.52,17.52,17.31,17.32,-0.22,-1.25%,0
"2021-12-31 15:59",17.47,17.54,17.47,17.54,0.1,+0.57%,0
"2021-12-31 15:58",17.42,17.45,17.42,17.44,0.01,+0.06%,0
"2021-12-31 15:57",17.48,17.49,17.43,17.43,-0.02,-0.11%,0
"2021-12-31 15:56",17.49,17.49,17.41,17.45,-0.03,-0.17%,0
"2021-12-31 15:55",17.46,17.48,17.46,17.48,0.05,+0.29%,0
"2021-12-31 15:54",17.32,17.43,17.32,17.43,0.02,+0.11%,0
"2021-12-31 15:53",17.38,17.43,17.38,17.41,0.01,+0.06%,0
"2021-12-31 15:52",17.5,17.51,17.4,17.4,-0.07,-0.40%,0
"2021-12-31 15:51",17.37,17.47,17.37,17.47,0.13,+0.75%,0
