Time,Open,High,Low,Latest,Change,%Change,Volume
"2021-10-29 16:15",16.26,16.26,16.26,16.26,0,0.00%,0
"2021-10-29 16:14",16.24,16.26,16.24,16.26,0.02,+0.12%,0
"2021-10-29 16:13",16.24,16.25,16.24,16.24,-0.04,-0.25%,0
"2021-10-29 16:12",16.29,16.29,16.28,16.28,-0.02,-0.12%,0
"2021-10-29 16:11",16.32,16.32,16.3,16.3,-0.02,-0.12%,0
"2021-10-29 16:10",16.35,16.35,16.32,16.32,-0.01,-0.06%,0
"2021-10-29 16:09",16.31,16.33,16.31,16.33,0.03,+0.18%,0
"2021-10-29 16:08",16.27,16.3,16.27,16.3,0.03,+0.18%,0
"2021-10-29 16:07",16.22,16.27,16.22,16.27,0,0.00%,0
"2021-10-29 16:06",16.28,16.29,16.27,16.27,0,0.00%,0
"2021-10-29 16:05",16.25,16.27,16.25,16.27,0.03,+0.18%,0
"2021-10-29 16:04",16.23,16.24,16.22,16.24,-0.01,-0.06%,0
"2021-10-29 16:03",16.29,16.29,16.25,16.25,-0.04,-0.25%,0
"2021-10-29 16:02",16.27,16.29,16.26,16.29,0.02,+0.12%,0
"2021-10-29 16:01",16.3,16.3,16.27,16.27,-0.03,-0.18%,0
"2021-10-29 16:00",16.33,16.33,16.3,16.3,0.03,+0.18%,0
"2021-10-29 15:59",16.17,16.27,16.17,16.27,0.11,+0.68%,0
"2021-10-29 15:58",16.18,16.18,16.15,16.16,0,0.00%,0
"2021-10-29 15:57",16.25,16.25,16.13,16.16,-0.06,-0.37%,0
"2021-10-29 15:56",16.2,16.25,16.2,16.22,0.06,+0.37%,0
"2021-10-29 15:55",16.18,16.19,16.16,16.16,-0.03,-0.19%,0
"2021-10-29 15:54",16.2,16.22,16.19,16.19,0.01,+0.06%,0
"2021-10-29 15:53",16.15,16.18,16.15,16.18,0.01,+0.06%,0
"2021-10-29 15:52",16.19,16.19,16.17,16.17,0,0.00%,0
"2021-10-29 15:51",16.24,16.24,16.17,16.17,-0.11,-0.68%,0
"2021-10-29 15:50",16.29,16.33,16.28,16.28,0.01,+0.06%,0
"2021-10-29 15:49",16.23,16.27,16.23,16.27,0.03,+0.18%,0
"2021-10-29 15:48",16.23,16.25,16.23,16.24,0.01,+0.06%,0
"2021-10-29 15:47",16.25,16.27,16.23,16.23,-0.04,-0.25%,0
"2021-10-29 15:46",16.28,16.3,16.27,16.27,-0.02,-0.12%,0
"2021-10-29 15:45",16.32,16.32,16.29,16.29,-0.03,-0.18%,0
"2021-10-29 15:44",16.33,16.33,16.32,16.32,-0.04,-0.24%,0
"2021-10-29 15:43",16.37,16.42,16.36,16.36,-0.01,-0.06%,0
"2021-10-29 15:42",16.37,16.37,16.36,16.37,-0.04,-0.24%,0
"2021-10-29 15:41",16.46,16.46,16.41,16.41,-0.03,-0.18%,0
"2021-10-29 15:40",16.48,16.48,16.44,16.44,-0.03,-0.18%,0
"2021-10-29 15:39",16.45,16.47,16.45,16.47,0.02,+0.12%,0
"2021-10-29 15:38",16.48,16.48,16.45,16.45,-0.02,-0.12%,0
"2021-10-29 15:37",16.48,16.48,16.47,16.47,-0.01,-0.06%,0
"2021-10-29 15:36",16.48,16.5,16.48,16.48,-0.02,-0.12%,0
"2021-10-29 15:35",16.51,16.51,16.5,16.5,-0.01,-0.06%,0
"2021-10-29 15:34",16.56,16.56,16.51,16.51,-0.03,-0.18%,0
"2021-10-29 15:33",16.54,16.54,16.53,16.54,0,0.00%,0
"2021-10-29 15:32",16.57,16.57,16.54,16.54,-0.03,-0.18%,0
