Time,Open,High,Low,Latest,Change,%Change,Volume
"2021-04-30 16:14",18.56,18.61,18.56,18.61,0.04,+0.22%,0
"2021-04-30 16:13",18.6,18.6,18.57,18.57,-0.03,-0.16%,0
"2021-04-30 16:12",18.63,18.63,18.6,18.6,-0.03,-0.16%,0
"2021-04-30 16:11",18.63,18.63,18.63,18.63,0.01,+0.05%,0
"2021-04-30 16:10",18.63,18.64,18.62,18.62,-0.02,-0.11%,0
"2021-04-30 16:09",18.58,18.64,18.58,18.64,0.08,+0.43%,0
"2021-04-30 16:08",18.56,18.58,18.56,18.56,0,0.00%,0
"2021-04-30 16:07",18.54,18.56,18.54,18.56,0.02,+0.11%,0
"2021-04-30 16:06",18.52,18.55,18.52,18.54,0.02,+0.11%,0
"2021-04-30 16:05",18.48,18.52,18.48,18.52,0.03,+0.16%,0
"2021-04-30 16:04",18.48,18.49,18.48,18.49,0.04,+0.22%,0
"2021-04-30 16:03",18.41,18.45,18.41,18.45,0.05,+0.27%,0
"2021-04-30 16:02",18.41,18.43,18.4,18.4,0.01,+0.05%,0
"2021-04-30 16:01",18.42,18.42,18.37,18.39,-0.03,-0.16%,0
"2021-04-30 16:00",18.5,18.5,18.4,18.42,-0.21,-1.13%,0
"2021-04-30 15:59",18.72,18.72,18.61,18.63,-0.07,-0.37%,0
"2021-04-30 15:58",18.59,18.7,18.57,18.7,0.04,+0.21%,0
"2021-04-30 15:57",18.62,18.66,18.61,18.66,0.07,+0.38%,0
"2021-04-30 15:56",18.56,18.59,18.56,18.59,0.03,+0.16%,0
"2021-04-30 15:55",18.6,18.61,18.54,18.56,-0.03,-0.16%,0
"2021-04-30 15:54",18.57,18.6,18.57,18.59,-0.01,-0.05%,0
"2021-04-30 15:53",18.57,18.6,18.56,18.6,0.09,+0.49%,0
"2021-04-30 15:52",18.52,18.55,18.51,18.51,0.03,+0.16%,0
"2021-04-30 15:51",18.54,18.54,18.48,18.48,-0.04,-0.22%,0
"2021-04-30 15:50",18.61,18.61,18.52,18.52,-0.1,-0.54%,0
"2021-04-30 15:49",18.75,18.75,18.62,18.62,-0.21,-1.12%,0
"2021-04-30 15:48",18.98,18.98,18.83,18.83,-0.18,-0.95%,0
