expiry,strike,right,timestamp_et,price_last,price_high,price_low,volume
2025-12-23,6755,P,2025-12-23 09:30,0.25,0.30,0.24,33
2025-12-23,6820,P,2025-12-23 09:30,1.05,1.88,1.05,229
2025-12-23,6880,P,2025-12-23 09:30,10.20,17.66,10.20,187
2025-12-23,6755,P,2025-12-23 09:31,0.30,0.30,0.22,22
2025-12-23,6820,P,2025-12-23 09:31,1.15,1.26,1.00,683
2025-12-23,6880,P,2025-12-23 09:31,9.40,10.62,9.10,585
2025-12-23,6910,P,2025-12-23 09:31,28.30,29.46,28.30,5
2025-12-23,6755,P,2025-12-23 09:32,0.22,0.27,0.22,17
2025-12-23,6820,P,2025-12-23 09:32,1.20,1.27,1.10,603
2025-12-23,6880,P,2025-12-23 09:32,11.80,11.88,9.00,820
2025-12-23,6910,P,2025-12-23 09:32,32.50,32.70,30.30,32
2025-12-23,6755,P,2025-12-23 09:33,0.25,0.27,0.25,8
2025-12-23,6820,P,2025-12-23 09:33,1.10,1.27,1.05,654
2025-12-23,6880,P,2025-12-23 09:33,11.70,13.10,11.10,602
2025-12-23,6820,P,2025-12-23 09:34,1.08,1.20,1.07,153
2025-12-23,6880,P,2025-12-23 09:34,10.80,11.90,10.50,204
2025-12-23,6910,P,2025-12-23 09:34,31.95,31.95,31.95,2
2025-12-23,6755,P,2025-12-23 09:35,0.25,0.25,0.25,54
2025-12-23,6820,P,2025-12-23 09:35,1.07,1.20,1.07,142
2025-12-23,6880,P,2025-12-23 09:35,11.30,11.95,10.80,314
2025-12-23,6910,P,2025-12-23 09:35,33.51,33.51,33.51,1
2025-12-23,6755,P,2025-12-23 09:36,0.25,0.25,0.22,54
2025-12-23,6820,P,2025-12-23 09:36,1.00,1.10,0.95,77
2025-12-23,6880,P,2025-12-23 09:36,9.80,11.10,9.30,244
2025-12-23,6910,P,2025-12-23 09:36,30.00,30.00,30.00,10
2025-12-23,6755,P,2025-12-23 09:37,0.25,0.25,0.25,3
2025-12-23,6820,P,2025-12-23 09:37,0.95,1.05,0.95,83
2025-12-23,6880,P,2025-12-23 09:37,9.20,10.10,9.15,282
2025-12-23,6910,P,2025-12-23 09:37,30.73,30.73,30.73,1
2025-12-23,6755,P,2025-12-23 09:38,0.25,0.25,0.22,8
2025-12-23,6820,P,2025-12-23 09:38,0.92,1.00,0.92,85
2025-12-23,6880,P,2025-12-23 09:38,9.03,9.90,9.00,286
2025-12-23,6910,P,2025-12-23 09:38,30.80,30.80,30.80,1
2025-12-23,6755,P,2025-12-23 09:39,0.22,0.22,0.22,3
2025-12-23,6820,P,2025-12-23 09:39,0.80,0.92,0.77,109
2025-12-23,6880,P,2025-12-23 09:39,8.20,9.30,7.70,461
2025-12-23,6910,P,2025-12-23 09:39,29.68,29.68,29.61,20
2025-12-23,6755,P,2025-12-23 09:40,0.18,0.20,0.18,18
2025-12-23,6820,P,2025-12-23 09:40,0.75,0.85,0.70,125
2025-12-23,6880,P,2025-12-23 09:40,7.60,8.20,7.15,455
2025-12-23,6910,P,2025-12-23 09:40,26.80,27.55,26.80,4
2025-12-23,6755,P,2025-12-23 09:41,0.20,0.20,0.20,1
2025-12-23,6820,P,2025-12-23 09:41,0.70,0.85,0.70,49
2025-12-23,6880,P,2025-12-23 09:41,6.90,8.70,6.80,316
2025-12-23,6910,P,2025-12-23 09:41,28.50,28.50,27.89,4
2025-12-23,6755,P,2025-12-23 09:42,0.20,0.20,0.17,78
2025-12-23,6820,P,2025-12-23 09:42,0.70,0.72,0.65,71
2025-12-23,6880,P,2025-12-23 09:42,7.00,7.10,6.20,504
2025-12-23,6910,P,2025-12-23 09:42,26.26,26.60,25.40,8
2025-12-23,6755,P,2025-12-23 09:43,0.20,0.20,0.17,53
2025-12-23,6820,P,2025-12-23 09:43,0.72,0.75,0.70,46
2025-12-23,6880,P,2025-12-23 09:43,6.90,7.40,6.70,230
2025-12-23,6910,P,2025-12-23 09:43,26.60,27.40,26.60,6
2025-12-23,6755,P,2025-12-23 09:44,0.20,0.20,0.17,3
2025-12-23,6820,P,2025-12-23 09:44,0.62,0.72,0.62,31
2025-12-23,6880,P,2025-12-23 09:44,5.90,7.00,5.85,249
2025-12-23,6910,P,2025-12-23 09:44,25.10,26.17,25.10,6
2025-12-23,6940,P,2025-12-23 09:44,54.91,54.91,54.91,1
2025-12-23,6755,P,2025-12-23 09:45,0.20,0.20,0.17,5
2025-12-23,6820,P,2025-12-23 09:45,0.62,0.65,0.60,114
2025-12-23,6880,P,2025-12-23 09:45,5.90,6.20,5.55,326
2025-12-23,6910,P,2025-12-23 09:45,24.00,24.10,23.40,7
2025-12-23,6755,P,2025-12-23 09:46,0.20,0.20,0.20,5
2025-12-23,6820,P,2025-12-23 09:46,0.62,0.67,0.60,113
2025-12-23,6880,P,2025-12-23 09:46,5.80,6.20,5.30,337
2025-12-23,6910,P,2025-12-23 09:46,24.00,24.27,22.80,53
2025-12-23,6755,P,2025-12-23 09:47,0.20,0.20,0.17,26
2025-12-23,6820,P,2025-12-23 09:47,0.62,0.65,0.60,17
2025-12-23,6880,P,2025-12-23 09:47,5.10,5.90,5.00,348
2025-12-23,6910,P,2025-12-23 09:47,22.10,24.00,21.43,61
2025-12-23,6755,P,2025-12-23 09:48,0.17,0.20,0.17,82
2025-12-23,6820,P,2025-12-23 09:48,0.59,0.65,0.55,46
2025-12-23,6880,P,2025-12-23 09:48,4.95,5.42,4.60,488
2025-12-23,6910,P,2025-12-23 09:48,21.51,22.90,21.20,88
2025-12-23,6820,P,2025-12-23 09:49,0.62,0.65,0.60,36
2025-12-23,6880,P,2025-12-23 09:49,5.50,5.70,4.70,576
2025-12-23,6910,P,2025-12-23 09:49,22.70,23.41,22.70,15
2025-12-23,6755,P,2025-12-23 09:50,0.17,0.20,0.17,76
2025-12-23,6820,P,2025-12-23 09:50,0.70,0.70,0.62,91
2025-12-23,6880,P,2025-12-23 09:50,5.50,6.10,5.00,463
