Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-12-23 16:15",7.58,7.58,7.58,7.58,-0.01,-0.13%,0
"2025-12-23 16:14",7.58,7.6,7.58,7.59,0.05,+0.66%,0
"2025-12-23 16:13",7.52,7.54,7.52,7.54,0,0.00%,0
"2025-12-23 16:12",7.43,7.54,7.43,7.54,0.15,+2.03%,0
"2025-12-23 16:11",7.37,7.41,7.37,7.39,0.04,+0.54%,0
"2025-12-23 16:10",7.38,7.41,7.35,7.35,-0.03,-0.41%,0
"2025-12-23 16:09",7.34,7.41,7.34,7.38,0.04,+0.54%,0
"2025-12-23 16:08",7.35,7.35,7.33,7.34,0.01,+0.14%,0
"2025-12-23 16:07",7.31,7.35,7.31,7.33,0.05,+0.69%,0
"2025-12-23 16:06",7.23,7.31,7.23,7.28,0.07,+0.97%,0
"2025-12-23 16:05",7.13,7.21,7.13,7.21,0.11,+1.55%,0
"2025-12-23 16:04",6.93,7.14,6.93,7.1,0.17,+2.45%,0
"2025-12-23 16:03",6.85,6.95,6.85,6.93,-0.01,-0.14%,0
"2025-12-23 16:02",7.03,7.03,6.94,6.94,-0.14,-1.98%,0
"2025-12-23 16:01",7.03,7.08,7.02,7.08,0.03,+0.43%,0
"2025-12-23 16:00",6.93,7.05,6.93,7.05,0.18,+2.62%,0
"2025-12-23 15:59",6.98,7.01,6.87,6.87,-0.12,-1.72%,0
"2025-12-23 15:58",7,7.03,6.99,6.99,0.1,+1.45%,0
"2025-12-23 15:57",6.88,6.93,6.88,6.89,0.04,+0.58%,0
"2025-12-23 15:56",6.84,6.9,6.82,6.85,-0.01,-0.15%,0
"2025-12-23 15:55",6.92,6.96,6.85,6.86,-0.12,-1.72%,0
"2025-12-23 15:54",6.99,7.08,6.98,6.98,-0.05,-0.71%,0
"2025-12-23 15:53",6.99,7.03,6.99,7.03,0.02,+0.29%,0
"2025-12-23 15:52",6.98,7.01,6.97,7.01,0.11,+1.59%,0
"2025-12-23 15:51",6.88,6.94,6.88,6.9,0.03,+0.44%,0
