Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-04-30 17:07",5569.06,5569.06,5569.06,5569.06,0,0.00%,0
"2025-04-30 16:20",5569.06,5569.06,5569.06,5569.06,0,0.00%,0
"2025-04-30 16:19",5569.06,5569.06,5569.06,5569.06,0,0.00%,0
"2025-04-30 16:18",5569.06,5569.06,5569.06,5569.06,0,0.00%,0
"2025-04-30 16:17",5569.06,5569.06,5569.06,5569.06,0,0.00%,0
"2025-04-30 16:16",5569.06,5569.06,5569.06,5569.06,0,0.00%,0
"2025-04-30 16:15",5569.06,5569.06,5569.06,5569.06,0,0.00%,0
"2025-04-30 16:14",5569.06,5569.06,5569.06,5569.06,0,0.00%,0
"2025-04-30 16:13",5569.06,5569.06,5569.06,5569.06,0,0.00%,0
"2025-04-30 16:12",5569.06,5569.06,5569.06,5569.06,0,0.00%,0
"2025-04-30 16:11",5569.06,5569.06,5569.06,5569.06,0,0.00%,0
"2025-04-30 16:10",5569.06,5569.06,5569.06,5569.06,0,0.00%,0
"2025-04-30 16:09",5569.06,5569.06,5569.06,5569.06,0,0.00%,0
"2025-04-30 16:08",5569.06,5569.06,5569.06,5569.06,0,0.00%,0
"2025-04-30 16:07",5569.06,5569.06,5569.06,5569.06,0,0.00%,0
"2025-04-30 16:06",5569.06,5569.06,5569.06,5569.06,0,0.00%,0
"2025-04-30 16:05",5569.06,5569.06,5569.06,5569.06,0,0.00%,0
"2025-04-30 16:04",5569.06,5569.06,5569.06,5569.06,0,0.00%,0
"2025-04-30 16:03",5569.06,5569.06,5569.06,5569.06,0,0.00%,0
"2025-04-30 16:02",5569.02,5569.06,5569.02,5569.06,0.04,0.00%,0
"2025-04-30 16:01",5568.92,5569.02,5568.92,5569.02,0.1,0.00%,0
"2025-04-30 16:00",5564.52,5568.92,5564.52,5568.92,8.76,+0.16%,0
"2025-04-30 15:59",5570.34,5572.97,5560.16,5560.16,-10.11,-0.18%,0
"2025-04-30 15:58",5572.12,5573.15,5567.36,5570.27,-1.23,-0.02%,0
"2025-04-30 15:57",5575.08,5575.73,5571.5,5571.5,-4.02,-0.07%,0
"2025-04-30 15:56",5577.73,5581.84,5575.52,5575.52,-1.78,-0.03%,0
"2025-04-30 15:55",5568.73,5577.3,5568.73,5577.3,8.87,+0.16%,0
"2025-04-30 15:54",5566.45,5570.81,5565.59,5568.43,1.76,+0.03%,0
"2025-04-30 15:53",5568.74,5574.42,5566.09,5566.67,-2.09,-0.04%,0
"2025-04-30 15:52",5564.56,5568.97,5563.63,5568.76,4.38,+0.08%,0
"2025-04-30 15:51",5559.01,5564.38,5559.01,5564.38,5.57,+0.10%,0
"2025-04-30 15:50",5545.43,5559.74,5545.43,5558.81,13.4,+0.24%,0
"2025-04-30 15:49",5544.41,5546.78,5543.22,5545.41,1.07,+0.02%,0
"2025-04-30 15:48",5539.32,5544.37,5539.32,5544.34,5.13,+0.09%,0
"2025-04-30 15:47",5537.43,5540.55,5537.42,5539.21,1.76,+0.03%,0
"2025-04-30 15:46",5534.29,5538.01,5534.29,5537.45,3.21,+0.06%,0
"2025-04-30 15:45",5529.42,5534.5,5529.39,5534.24,4.91,+0.09%,0
"2025-04-30 15:44",5527.98,5529.53,5527.5,5529.33,1.47,+0.03%,0
"2025-04-30 15:43",5526.05,5527.86,5525.93,5527.86,1.64,+0.03%,0
"2025-04-30 15:42",5522.17,5526.26,5522.17,5526.22,4.31,+0.08%,0
"2025-04-30 15:41",5518.47,5521.91,5517.7,5521.91,3.41,+0.06%,0
"2025-04-30 15:40",5516.69,5518.9,5515.56,5518.5,2.01,+0.04%,0
"2025-04-30 15:39",5520.1,5520.27,5515.82,5516.49,-3.46,-0.06%,0
"2025-04-30 15:38",5518.63,5520.73,5518.63,5519.95,1.37,+0.02%,0
"2025-04-30 15:37",5514.41,5518.58,5514.15,5518.58,4.24,+0.08%,0
"2025-04-30 15:36",5512.04,5514.34,5511.99,5514.34,2.01,+0.04%,0
"2025-04-30 15:35",5514.51,5515.37,5512.25,5512.33,-2.23,-0.04%,0
"2025-04-30 15:34",5517.02,5517.02,5513.62,5514.56,-1.85,-0.03%,0
"2025-04-30 15:33",5517.18,5517.84,5515.34,5516.41,-0.56,-0.01%,0
"2025-04-30 15:32",5516.28,5517.91,5515.29,5516.97,0.79,+0.01%,0
"2025-04-30 15:31",5516.55,5516.85,5514.99,5516.18,-0.11,0.00%,0
"2025-04-30 15:30",5515.72,5517.48,5514.32,5516.29,0.63,+0.01%,0
"2025-04-30 15:29",5519.17,5521.03,5515.66,5515.66,-3.62,-0.07%,0
"2025-04-30 15:28",5516.74,5519.28,5515.21,5519.28,2.5,+0.05%,0
"2025-04-30 15:27",5515.52,5516.78,5514.38,5516.78,1.21,+0.02%,0
"2025-04-30 15:26",5517.02,5517.87,5515.57,5515.57,-1.43,-0.03%,0
"2025-04-30 15:25",5521.99,5522.1,5516.76,5517,-4.99,-0.09%,0
"2025-04-30 15:24",5522.17,5522.75,5520.86,5521.99,-0.17,0.00%,0
"2025-04-30 15:23",5522.33,5522.98,5520.73,5522.16,-0.21,0.00%,0
"2025-04-30 15:22",5525.42,5527.16,5522.37,5522.37,-3.05,-0.06%,0
"2025-04-30 15:21",5524.48,5525.47,5523.74,5525.42,1,+0.02%,0
"2025-04-30 15:20",5521.55,5524.42,5520.85,5524.42,2.8,+0.05%,0
"2025-04-30 15:19",5524.66,5524.66,5521.46,5521.62,-3.03,-0.05%,0
"2025-04-30 15:18",5523.16,5524.8,5522.31,5524.65,1.41,+0.03%,0
"2025-04-30 15:17",5525.46,5525.56,5523.24,5523.24,-2.46,-0.04%,0
"2025-04-30 15:16",5525.57,5526.31,5524.94,5525.7,0.11,0.00%,0
"2025-04-30 15:15",5525.58,5526.33,5525.19,5525.59,0.1,0.00%,0
"2025-04-30 15:14",5524.6,5525.72,5524.31,5525.49,0.98,+0.02%,0
"2025-04-30 15:13",5524.38,5524.78,5523.86,5524.51,-0.17,0.00%,0
"2025-04-30 15:12",5523.3,5525.29,5523.07,5524.68,1.4,+0.03%,0
"2025-04-30 15:11",5518.5,5523.29,5518.5,5523.28,4.71,+0.09%,0
"2025-04-30 15:10",5519.29,5519.29,5517.86,5518.57,-0.66,-0.01%,0
"2025-04-30 15:09",5520.81,5520.84,5519.23,5519.23,-1.54,-0.03%,0
"2025-04-30 15:08",5518.79,5520.85,5518.73,5520.77,2.02,+0.04%,0
"2025-04-30 15:07",5521.58,5522.02,5518.49,5518.75,-2.78,-0.05%,0
"2025-04-30 15:06",5520.71,5521.53,5519.7,5521.53,0.77,+0.01%,0
"2025-04-30 15:05",5520.01,5521.7,5519.58,5520.76,0.78,+0.01%,0
"2025-04-30 15:04",5519.63,5520.61,5519.6,5519.98,0.45,+0.01%,0
"2025-04-30 15:03",5518.74,5520.45,5518.07,5519.53,0.73,+0.01%,0
"2025-04-30 15:02",5517.72,5518.8,5515.82,5518.8,0.96,+0.02%,0
"2025-04-30 15:01",5517.3,5519.35,5517.13,5517.84,0.56,+0.01%,0
"2025-04-30 15:00",5513.56,5517.93,5513.56,5517.28,3.61,+0.07%,0
"2025-04-30 14:59",5515.03,5515.03,5512.95,5513.67,-1.3,-0.02%,0
"2025-04-30 14:58",5515.66,5515.78,5514.42,5514.97,-0.59,-0.01%,0
"2025-04-30 14:57",5517.44,5517.44,5514.69,5515.56,-2.04,-0.04%,0
"2025-04-30 14:56",5521.43,5521.43,5517.31,5517.6,-3.69,-0.07%,0
"2025-04-30 14:55",5519.06,5521.78,5519.03,5521.29,2.2,+0.04%,0
"2025-04-30 14:54",5519.58,5520.05,5518.68,5519.09,-0.35,-0.01%,0
"2025-04-30 14:53",5520.89,5520.89,5518.74,5519.44,-1.46,-0.03%,0
"2025-04-30 14:52",5522.93,5522.94,5520.21,5520.9,-2.03,-0.04%,0
"2025-04-30 14:51",5525.27,5525.63,5522.6,5522.93,-2.24,-0.04%,0
"2025-04-30 14:50",5523.5,5525.34,5522.62,5525.17,1.68,+0.03%,0
"2025-04-30 14:49",5520.74,5525.27,5520.74,5523.49,2.78,+0.05%,0
"2025-04-30 14:48",5519.46,5521.12,5519.32,5520.71,1.25,+0.02%,0
"2025-04-30 14:47",5517.33,5519.54,5517.33,5519.46,2.11,+0.04%,0
"2025-04-30 14:46",5515.61,5517.45,5514.96,5517.35,1.68,+0.03%,0
"2025-04-30 14:45",5511.29,5515.67,5511.01,5515.67,4.31,+0.08%,0
"2025-04-30 14:44",5512.69,5513.65,5511.14,5511.36,-1.48,-0.03%,0
"2025-04-30 14:43",5512.83,5514.27,5512.41,5512.84,0.46,+0.01%,0
"2025-04-30 14:42",5510.23,5512.51,5509.03,5512.38,2.02,+0.04%,0
"2025-04-30 14:41",5512.29,5512.3,5509.86,5510.36,-2.,-0.04%,0
"2025-04-30 14:40",5511.87,5513.97,5511.5,5512.36,0.52,+0.01%,0
"2025-04-30 14:39",5512.31,5512.97,5511.78,5511.84,-0.54,-0.01%,0
"2025-04-30 14:38",5515.3,5515.7,5511.97,5512.38,-2.26,-0.04%,0
"2025-04-30 14:37",5514.94,5515.35,5513.31,5514.64,-0.15,0.00%,0
"2025-04-30 14:36",5517.52,5517.52,5514.6,5514.79,-2.85,-0.05%,0
"2025-04-30 14:35",5522.25,5522.25,5517.39,5517.64,-4.62,-0.08%,0
"2025-04-30 14:34",5523.25,5524.47,5522.23,5522.26,-0.85,-0.02%,0
"2025-04-30 14:33",5525.01,5525.42,5522.96,5523.11,-1.79,-0.03%,0
"2025-04-30 14:32",5525.47,5527.42,5523.77,5524.9,-0.57,-0.01%,0
"2025-04-30 14:31",5522.85,5525.47,5521.25,5525.47,2.6,+0.05%,0
"2025-04-30 14:30",5521.75,5522.95,5521.06,5522.87,1.28,+0.02%,0
"2025-04-30 14:29",5526.56,5526.77,5516.5,5521.59,-4.94,-0.09%,0
"2025-04-30 14:28",5530.58,5530.84,5526.5,5526.53,-4.31,-0.08%,0
"2025-04-30 14:27",5532.82,5533.24,5530.28,5530.84,-1.88,-0.03%,0
"2025-04-30 14:26",5529.26,5532.72,5529.12,5532.72,3.71,+0.07%,0
"2025-04-30 14:25",5531.1,5531.62,5528.48,5529.01,-2.3,-0.04%,0
"2025-04-30 14:24",5531.55,5531.7,5530.81,5531.31,-0.23,0.00%,0
"2025-04-30 14:23",5531.08,5531.69,5530.5,5531.54,0.36,+0.01%,0
"2025-04-30 14:22",5531.06,5533.09,5529.41,5531.18,0.24,0.00%,0
"2025-04-30 14:21",5534.03,5534.21,5528.69,5530.94,-3.12,-0.06%,0
"2025-04-30 14:20",5534.49,5535.93,5534.01,5534.06,-0.39,-0.01%,0
"2025-04-30 14:19",5534.98,5534.98,5532.04,5534.45,-0.62,-0.01%,0
"2025-04-30 14:18",5534.2,5535.83,5534.2,5535.07,0.17,0.00%,0
"2025-04-30 14:17",5533.39,5536.54,5532.29,5534.9,1.41,+0.03%,0
"2025-04-30 14:16",5536.36,5536.36,5533.49,5533.49,-2.89,-0.05%,0
"2025-04-30 14:15",5530.32,5536.38,5529.36,5536.38,6.03,+0.11%,0
"2025-04-30 14:14",5530.77,5531.76,5528.69,5530.35,-0.23,0.00%,0
"2025-04-30 14:13",5536.81,5537.4,5530.58,5530.58,-6.25,-0.11%,0
"2025-04-30 14:12",5536.75,5539.09,5536.41,5536.83,0.18,0.00%,0
"2025-04-30 14:11",5536.08,5540.08,5536.08,5536.65,1.02,+0.02%,0
"2025-04-30 14:10",5527.74,5535.63,5526.65,5535.63,8,+0.14%,0
"2025-04-30 14:09",5530.27,5533.36,5524.99,5527.63,-2.76,-0.05%,0
"2025-04-30 14:08",5533.45,5534.58,5528.45,5530.39,-3.04,-0.05%,0
"2025-04-30 14:07",5518.3,5546.48,5518.3,5533.43,15.11,+0.27%,0
"2025-04-30 14:06",5519.71,5519.71,5517.43,5518.32,-1.4,-0.03%,0
"2025-04-30 14:05",5520.66,5521.56,5519.67,5519.72,-0.83,-0.02%,0
"2025-04-30 14:04",5519.48,5520.55,5518.33,5520.55,1.06,+0.02%,0
"2025-04-30 14:03",5519.83,5522.25,5519.49,5519.49,0.04,0.00%,0
"2025-04-30 14:02",5518.71,5519.45,5517.05,5519.45,0.74,+0.01%,0
"2025-04-30 14:01",5518.53,5519.01,5517.79,5518.71,0.09,0.00%,0
"2025-04-30 14:00",5522.14,5522.77,5518.62,5518.62,-4.09,-0.07%,0
"2025-04-30 13:59",5524.93,5524.97,5522.63,5522.71,-2.23,-0.04%,0
"2025-04-30 13:58",5525.03,5525.17,5524.5,5524.94,-0.09,0.00%,0
"2025-04-30 13:57",5521.96,5525.06,5521.71,5525.03,3.04,+0.06%,0
"2025-04-30 13:56",5526.19,5526.52,5521.89,5521.99,-4.46,-0.08%,0
"2025-04-30 13:55",5526.82,5527.8,5526.45,5526.45,-0.35,-0.01%,0
"2025-04-30 13:54",5525.05,5526.9,5524.72,5526.8,1.77,+0.03%,0
"2025-04-30 13:53",5526.55,5526.55,5524.42,5525.03,-1.53,-0.03%,0
"2025-04-30 13:52",5526.97,5526.97,5525.98,5526.56,-0.33,-0.01%,0
"2025-04-30 13:51",5525.85,5526.89,5525.64,5526.89,1.11,+0.02%,0
"2025-04-30 13:50",5522.61,5525.82,5522.61,5525.78,3.18,+0.06%,0
"2025-04-30 13:49",5521.55,5522.65,5521.35,5522.6,1.13,+0.02%,0
"2025-04-30 13:48",5522.88,5522.88,5521.21,5521.47,-1.38,-0.02%,0
"2025-04-30 13:47",5523.23,5523.41,5522.64,5522.85,-0.53,-0.01%,0
"2025-04-30 13:46",5523.06,5524.11,5521.73,5523.38,0.42,+0.01%,0
"2025-04-30 13:45",5526.46,5526.46,5521.56,5522.96,-3.51,-0.06%,0
"2025-04-30 13:44",5525.63,5526.68,5524.94,5526.47,0.83,+0.02%,0
"2025-04-30 13:43",5524.98,5525.82,5524.14,5525.64,0.66,+0.01%,0
"2025-04-30 13:42",5524.2,5524.98,5523.34,5524.98,0.77,+0.01%,0
"2025-04-30 13:41",5521.92,5525.37,5521.91,5524.21,2.25,+0.04%,0
"2025-04-30 13:40",5522.81,5522.94,5521.52,5521.96,-0.84,-0.02%,0
"2025-04-30 13:39",5527.01,5527.01,5522.8,5522.8,-4.47,-0.08%,0
"2025-04-30 13:38",5526.83,5527.27,5526.16,5527.27,0.49,+0.01%,0
"2025-04-30 13:37",5526.73,5527.6,5526.51,5526.78,0.02,0.00%,0
"2025-04-30 13:36",5525.56,5526.85,5525.42,5526.76,1.25,+0.02%,0
"2025-04-30 13:35",5523.87,5525.51,5522.55,5525.51,1.93,+0.03%,0
