Time,Open,High,Low,Latest,Change,%Change,Volume
"2018-08-31 16:48",2901.52,2901.52,2901.52,2901.52,0,0.00%,0
"2018-08-31 16:20",2901.52,2901.52,2901.52,2901.52,0,0.00%,0
"2018-08-31 16:19",2901.52,2901.52,2901.52,2901.52,0,0.00%,0
"2018-08-31 16:18",2901.52,2901.52,2901.52,2901.52,0,0.00%,0
"2018-08-31 16:17",2901.52,2901.52,2901.52,2901.52,0,0.00%,0
"2018-08-31 16:16",2901.52,2901.52,2901.52,2901.52,0,0.00%,0
"2018-08-31 16:15",2901.52,2901.52,2901.52,2901.52,0,0.00%,0
"2018-08-31 16:14",2901.52,2901.52,2901.52,2901.52,0,0.00%,0
"2018-08-31 16:13",2901.52,2901.52,2901.52,2901.52,0,0.00%,0
"2018-08-31 16:12",2901.52,2901.52,2901.52,2901.52,0,0.00%,0
"2018-08-31 16:11",2901.52,2901.52,2901.52,2901.52,0,0.00%,0
"2018-08-31 16:10",2901.52,2901.52,2901.52,2901.52,0,0.00%,0
"2018-08-31 16:09",2901.52,2901.52,2901.52,2901.52,0,0.00%,0
"2018-08-31 16:08",2901.52,2901.52,2901.52,2901.52,0,0.00%,0
"2018-08-31 16:07",2901.52,2901.52,2901.52,2901.52,0,0.00%,0
"2018-08-31 16:06",2901.52,2901.52,2901.52,2901.52,0,0.00%,0
"2018-08-31 16:05",2901.51,2901.52,2901.51,2901.52,0.01,0.00%,0
"2018-08-31 16:04",2901.5,2901.51,2901.5,2901.51,0.01,0.00%,0
"2018-08-31 16:03",2901.46,2901.5,2901.45,2901.5,0.04,0.00%,0
"2018-08-31 16:02",2901.37,2901.46,2901.37,2901.46,0.09,0.00%,0
"2018-08-31 16:01",2901.2,2901.37,2901.2,2901.37,0.18,+0.01%,0
"2018-08-31 16:00",2900.9,2901.19,2900.9,2901.19,0.12,0.00%,0
"2018-08-31 15:59",2902,2903.33,2901.07,2901.07,-0.88,-0.03%,0
"2018-08-31 15:58",2901.72,2902.24,2901.56,2901.95,0.24,+0.01%,0
"2018-08-31 15:57",2901.76,2901.76,2901.53,2901.71,-0.08,0.00%,0
"2018-08-31 15:56",2901.16,2901.8,2901.07,2901.79,0.64,+0.02%,0
