Time,Open,High,Low,Latest,Change,%Change,Volume
"2021-12-31 17:10",4766.18,4766.18,4766.18,4766.18,0,0.00%,0
"2021-12-31 16:20",4766.18,4766.18,4766.18,4766.18,0,0.00%,0
"2021-12-31 16:19",4766.18,4766.18,4766.18,4766.18,0,0.00%,0
"2021-12-31 16:18",4766.18,4766.18,4766.18,4766.18,0,0.00%,0
"2021-12-31 16:17",4766.18,4766.18,4766.18,4766.18,0,0.00%,0
"2021-12-31 16:16",4766.18,4766.18,4766.18,4766.18,0,0.00%,0
"2021-12-31 16:15",4766.18,4766.18,4766.18,4766.18,0,0.00%,0
"2021-12-31 16:14",4766.18,4766.18,4766.18,4766.18,0,0.00%,0
"2021-12-31 16:13",4766.18,4766.18,4766.18,4766.18,0,0.00%,0
"2021-12-31 16:12",4766.18,4766.18,4766.18,4766.18,0,0.00%,0
"2021-12-31 16:11",4766.18,4766.18,4766.18,4766.18,0,0.00%,0
"2021-12-31 16:10",4766.18,4766.18,4766.18,4766.18,0,0.00%,0
"2021-12-31 16:09",4766.18,4766.18,4766.18,4766.18,0,0.00%,0
"2021-12-31 16:08",4766.18,4766.18,4766.18,4766.18,0,0.00%,0
"2021-12-31 16:07",4766.18,4766.18,4766.18,4766.18,0,0.00%,0
"2021-12-31 16:06",4766.18,4766.18,4766.18,4766.18,0,0.00%,0
"2021-12-31 16:05",4766.18,4766.18,4766.18,4766.18,0,0.00%,0
"2021-12-31 16:04",4766.19,4766.19,4766.18,4766.18,-0.01,0.00%,0
"2021-12-31 16:03",4766.18,4766.19,4766.18,4766.19,0.01,0.00%,0
"2021-12-31 16:02",4766.2,4766.2,4766.17,4766.18,-0.02,0.00%,0
"2021-12-31 16:01",4766.24,4766.24,4766.19,4766.2,-0.04,0.00%,0
"2021-12-31 16:00",4766.39,4766.39,4766.24,4766.24,0.14,0.00%,0
"2021-12-31 15:59",4767.98,4768.01,4765.75,4766.1,-2.11,-0.04%,0
"2021-12-31 15:58",4768.02,4768.67,4766.94,4768.21,0.09,0.00%,0
"2021-12-31 15:57",4766.98,4768.41,4766.3,4768.12,1.13,+0.02%,0
"2021-12-31 15:56",4766.19,4769.37,4765.85,4766.99,0.68,+0.01%,0
"2021-12-31 15:55",4768.15,4768.15,4766.31,4766.31,-1.7,-0.04%,0
"2021-12-31 15:54",4772.63,4772.63,4767.83,4768.01,-4.65,-0.10%,0
"2021-12-31 15:53",4771.66,4772.66,4769.48,4772.66,1.01,+0.02%,0
"2021-12-31 15:52",4770,4771.76,4769.66,4771.65,1.67,+0.04%,0
"2021-12-31 15:51",4772.99,4772.99,4769.93,4769.98,-3.16,-0.07%,0
"2021-12-31 15:50",4780.44,4780.44,4772.82,4773.14,-7.42,-0.16%,0
"2021-12-31 15:49",4782.81,4782.81,4780.56,4780.56,-2.23,-0.05%,0
"2021-12-31 15:48",4782.24,4783.13,4782.16,4782.79,0.57,+0.01%,0
"2021-12-31 15:47",4783.53,4783.53,4781.83,4782.22,-1.29,-0.03%,0
"2021-12-31 15:46",4783.16,4784.99,4782.58,4783.51,0.41,+0.01%,0
"2021-12-31 15:45",4782.4,4783.13,4782.31,4783.1,0.65,+0.01%,0
"2021-12-31 15:44",4780.03,4782.52,4780.01,4782.45,2.48,+0.05%,0
