Time,Open,High,Low,Latest,Change,%Change,Volume
"2020-02-28 17:06",2954.22,2954.22,2954.22,2954.22,0,0.00%,0
"2020-02-28 16:20",2954.22,2954.22,2954.22,2954.22,0,0.00%,0
"2020-02-28 16:19",2954.22,2954.22,2954.22,2954.22,0,0.00%,0
"2020-02-28 16:18",2954.22,2954.22,2954.22,2954.22,0,0.00%,0
"2020-02-28 16:17",2954.22,2954.22,2954.22,2954.22,0,0.00%,0
"2020-02-28 16:16",2954.22,2954.22,2954.22,2954.22,0,0.00%,0
"2020-02-28 16:15",2954.22,2954.22,2954.22,2954.22,0,0.00%,0
"2020-02-28 16:14",2954.22,2954.22,2954.22,2954.22,0,0.00%,0
"2020-02-28 16:13",2954.22,2954.22,2954.22,2954.22,0,0.00%,0
"2020-02-28 16:12",2954.22,2954.22,2954.22,2954.22,0,0.00%,0
"2020-02-28 16:11",2954.22,2954.22,2954.22,2954.22,0,0.00%,0
"2020-02-28 16:10",2954.22,2954.22,2954.22,2954.22,0,0.00%,0
"2020-02-28 16:09",2954.22,2954.22,2954.22,2954.22,0,0.00%,0
"2020-02-28 16:08",2954.22,2954.22,2954.22,2954.22,0,0.00%,0
"2020-02-28 16:07",2954.22,2954.23,2954.22,2954.22,0,0.00%,0
"2020-02-28 16:06",2954.2,2954.22,2954.2,2954.22,0.02,0.00%,0
"2020-02-28 16:05",2954.14,2954.23,2954.1,2954.2,0.06,0.00%,0
"2020-02-28 16:04",2954.08,2954.16,2954.08,2954.14,0.06,0.00%,0
"2020-02-28 16:03",2954.09,2954.09,2954.05,2954.08,-0.01,0.00%,0
"2020-02-28 16:02",2954.1,2954.1,2954.08,2954.09,-0.01,0.00%,0
"2020-02-28 16:01",2954.2,2954.2,2954.1,2954.1,-0.11,0.00%,0
"2020-02-28 16:00",2956.69,2956.69,2954.21,2954.21,-0.6,-0.02%,0
"2020-02-28 15:59",2938.51,2954.81,2938.51,2954.81,16.4,+0.56%,0
"2020-02-28 15:58",2929.76,2938.64,2929.76,2938.41,8.36,+0.29%,0
"2020-02-28 15:57",2927,2930.05,2926.98,2930.05,3.26,+0.11%,0
"2020-02-28 15:56",2929.66,2932.49,2924.94,2926.79,-2.5,-0.09%,0
"2020-02-28 15:55",2919.54,2929.46,2919.29,2929.29,9.94,+0.34%,0
"2020-02-28 15:54",2911.16,2919.64,2909.36,2919.35,7.96,+0.27%,0
"2020-02-28 15:53",2910.26,2911.6,2909.1,2911.39,1.29,+0.04%,0
"2020-02-28 15:52",2911.61,2912.21,2908.13,2910.1,-1.36,-0.05%,0
"2020-02-28 15:51",2905.24,2911.63,2904.96,2911.46,6.29,+0.22%,0
"2020-02-28 15:50",2906.72,2906.72,2900.02,2905.17,-1.13,-0.04%,0
"2020-02-28 15:49",2898.13,2907.71,2898.13,2906.3,8.13,+0.28%,0
"2020-02-28 15:48",2899.35,2900.71,2897.78,2898.17,-1.27,-0.04%,0
"2020-02-28 15:47",2902.37,2902.37,2895.65,2899.44,-3.15,-0.11%,0
"2020-02-28 15:46",2898,2903,2891.8,2902.59,5.65,+0.20%,0
"2020-02-28 15:45",2881.37,2897.82,2881.29,2896.94,15.56,+0.54%,0
"2020-02-28 15:44",2883.24,2883.24,2881,2881.38,-1.91,-0.07%,0
"2020-02-28 15:43",2884.36,2886.07,2883.29,2883.29,-1.37,-0.05%,0
"2020-02-28 15:42",2889.85,2890.38,2884.33,2884.66,-5.03,-0.17%,0
"2020-02-28 15:41",2893.75,2894.34,2889.69,2889.69,-3.48,-0.12%,0
"2020-02-28 15:40",2896.71,2898.96,2892.43,2893.17,-3.37,-0.12%,0
"2020-02-28 15:39",2895.96,2898.49,2894.86,2896.54,0.54,+0.02%,0
"2020-02-28 15:38",2897.62,2898.44,2894.3,2896,-1.62,-0.06%,0
"2020-02-28 15:37",2896.05,2897.86,2894.45,2897.62,1.57,+0.05%,0
"2020-02-28 15:36",2893.85,2896.9,2892.49,2896.05,2.24,+0.08%,0
"2020-02-28 15:35",2896.58,2896.83,2892.77,2893.81,-2.58,-0.09%,0
"2020-02-28 15:34",2897.28,2898.63,2893.58,2896.39,-0.98,-0.03%,0
"2020-02-28 15:33",2902.51,2902.51,2897.11,2897.37,-5.04,-0.17%,0
"2020-02-28 15:32",2902.4,2902.43,2898.49,2902.41,-0.99,-0.03%,0
"2020-02-28 15:31",2895.46,2905.38,2893.83,2903.4,8.26,+0.29%,0
"2020-02-28 15:30",2889,2895.14,2888.4,2895.14,5.22,+0.18%,0
"2020-02-28 15:29",2897.36,2897.76,2889.92,2889.92,-7.38,-0.25%,0
"2020-02-28 15:28",2899.09,2899.61,2896.08,2897.3,-1.71,-0.06%,0
"2020-02-28 15:27",2900.09,2900.78,2895.66,2899.01,-0.99,-0.03%,0
"2020-02-28 15:26",2904.74,2904.74,2899.35,2900,-4.84,-0.17%,0
"2020-02-28 15:25",2907.45,2912.48,2904.84,2904.84,-2.54,-0.09%,0
"2020-02-28 15:24",2908.82,2909.06,2905.85,2907.38,-1.53,-0.05%,0
