Time,Open,High,Low,Latest,Change,%Change,Volume
"2017-01-31 16:55",2278.87,2278.87,2278.87,2278.87,0,0.00%,0
"2017-01-31 16:20",2278.87,2278.87,2278.87,2278.87,0,0.00%,0
"2017-01-31 16:19",2278.87,2278.87,2278.87,2278.87,0,0.00%,0
"2017-01-31 16:18",2278.87,2278.87,2278.87,2278.87,0,0.00%,0
"2017-01-31 16:17",2278.87,2278.87,2278.87,2278.87,0,0.00%,0
"2017-01-31 16:16",2278.87,2278.87,2278.87,2278.87,0,0.00%,0
"2017-01-31 16:15",2278.87,2278.87,2278.87,2278.87,0,0.00%,0
"2017-01-31 16:14",2278.87,2278.87,2278.87,2278.87,0,0.00%,0
"2017-01-31 16:13",2278.87,2278.87,2278.87,2278.87,0,0.00%,0
"2017-01-31 16:12",2278.87,2278.87,2278.87,2278.87,0,0.00%,0
"2017-01-31 16:11",2278.87,2278.87,2278.87,2278.87,0,0.00%,0
"2017-01-31 16:10",2278.87,2278.87,2278.87,2278.87,0,0.00%,0
"2017-01-31 16:09",2278.87,2278.87,2278.87,2278.87,0,0.00%,0
"2017-01-31 16:08",2278.87,2278.87,2278.87,2278.87,0,0.00%,0
"2017-01-31 16:07",2278.87,2278.87,2278.87,2278.87,0,0.00%,0
"2017-01-31 16:06",2278.87,2278.87,2278.87,2278.87,0,0.00%,0
"2017-01-31 16:05",2278.87,2278.87,2278.87,2278.87,0,0.00%,0
"2017-01-31 16:04",2278.87,2278.87,2278.87,2278.87,0,0.00%,0
"2017-01-31 16:03",2278.88,2278.88,2278.87,2278.87,-0.01,0.00%,0
"2017-01-31 16:02",2278.9,2278.9,2278.88,2278.88,-0.02,0.00%,0
"2017-01-31 16:01",2278.92,2278.92,2278.9,2278.9,-0.02,0.00%,0
"2017-01-31 16:00",2278.98,2278.98,2278.92,2278.92,0.2,+0.01%,0
"2017-01-31 15:59",2277.97,2279.09,2277.97,2278.72,0.77,+0.03%,0
"2017-01-31 15:58",2277.14,2277.95,2277.11,2277.95,0.83,+0.04%,0
"2017-01-31 15:57",2277.1,2277.17,2276.96,2277.12,0.01,0.00%,0
"2017-01-31 15:56",2277.2,2277.26,2277.09,2277.11,-0.09,0.00%,0
"2017-01-31 15:55",2277.25,2277.25,2277.02,2277.2,-0.05,0.00%,0
"2017-01-31 15:54",2277.13,2277.36,2277.13,2277.25,0.14,+0.01%,0
"2017-01-31 15:53",2277.15,2277.23,2277.09,2277.11,-0.06,0.00%,0
"2017-01-31 15:52",2277.56,2277.56,2277.03,2277.17,-0.41,-0.02%,0
"2017-01-31 15:51",2277.87,2277.95,2277.57,2277.58,-0.3,-0.01%,0
"2017-01-31 15:50",2277.68,2277.92,2277.65,2277.88,0.2,+0.01%,0
"2017-01-31 15:49",2278.55,2278.55,2277.68,2277.68,-0.9,-0.04%,0
"2017-01-31 15:48",2278.86,2278.89,2278.58,2278.58,-0.28,-0.01%,0
"2017-01-31 15:47",2278.9,2278.9,2278.82,2278.86,-0.04,0.00%,0
"2017-01-31 15:46",2278.78,2279.03,2278.78,2278.9,0.14,+0.01%,0
"2017-01-31 15:45",2278.12,2278.96,2278.12,2278.76,0.64,+0.03%,0
"2017-01-31 15:44",2278.31,2278.31,2278.1,2278.12,-0.19,-0.01%,0
"2017-01-31 15:43",2277.99,2278.35,2277.99,2278.31,0.37,+0.02%,0
"2017-01-31 15:42",2277.93,2278.37,2277.87,2277.94,0.02,0.00%,0
"2017-01-31 15:41",2277.88,2277.93,2277.82,2277.92,0.04,0.00%,0
"2017-01-31 15:40",2277.09,2277.98,2276.91,2277.88,0.76,+0.03%,0
"2017-01-31 15:39",2276.97,2277.15,2276.97,2277.12,0.13,+0.01%,0
"2017-01-31 15:38",2276.89,2277,2276.88,2276.99,0.09,0.00%,0
"2017-01-31 15:37",2276.96,2277.03,2276.74,2276.9,-0.04,0.00%,0
"2017-01-31 15:36",2277.24,2277.46,2276.91,2276.94,-0.28,-0.01%,0
"2017-01-31 15:35",2276.99,2277.22,2276.81,2277.22,0.21,+0.01%,0
"2017-01-31 15:34",2276.71,2277.18,2276.67,2277.01,0.28,+0.01%,0
"2017-01-31 15:33",2276.7,2276.95,2276.57,2276.73,0.06,0.00%,0
"2017-01-31 15:32",2275.8,2276.67,2275.8,2276.67,0.86,+0.04%,0
"2017-01-31 15:31",2275.74,2275.81,2275.62,2275.81,0.08,0.00%,0
"2017-01-31 15:30",2275.58,2275.82,2275.58,2275.73,0.13,+0.01%,0
"2017-01-31 15:29",2275.62,2275.68,2275.6,2275.6,-0.04,0.00%,0
"2017-01-31 15:28",2275.71,2275.76,2275.55,2275.64,-0.07,0.00%,0
"2017-01-31 15:27",2276.2,2276.2,2275.71,2275.71,-0.52,-0.02%,0
