Time,Open,High,Low,Latest,Change,%Change,Volume
"2019-06-28 17:04",2941.76,2941.76,2941.76,2941.76,0,0.00%,0
"2019-06-28 16:20",2941.76,2941.76,2941.76,2941.76,0,0.00%,0
"2019-06-28 16:19",2941.76,2941.76,2941.76,2941.76,0,0.00%,0
"2019-06-28 16:18",2941.76,2941.76,2941.76,2941.76,0,0.00%,0
"2019-06-28 16:17",2941.76,2941.76,2941.76,2941.76,0,0.00%,0
"2019-06-28 16:16",2941.76,2941.76,2941.76,2941.76,0,0.00%,0
"2019-06-28 16:15",2941.76,2941.76,2941.76,2941.76,0,0.00%,0
"2019-06-28 16:14",2941.76,2941.76,2941.76,2941.76,0,0.00%,0
"2019-06-28 16:13",2941.76,2941.76,2941.76,2941.76,0,0.00%,0
"2019-06-28 16:12",2941.76,2941.76,2941.76,2941.76,0,0.00%,0
"2019-06-28 16:11",2941.76,2941.76,2941.76,2941.76,0,0.00%,0
"2019-06-28 16:10",2941.76,2941.76,2941.76,2941.76,0,0.00%,0
"2019-06-28 16:09",2941.76,2941.76,2941.76,2941.76,0,0.00%,0
"2019-06-28 16:08",2941.75,2941.76,2941.75,2941.76,0.01,0.00%,0
"2019-06-28 16:07",2941.74,2941.75,2941.73,2941.75,0.01,0.00%,0
"2019-06-28 16:06",2941.73,2941.74,2941.73,2941.74,0.01,0.00%,0
"2019-06-28 16:05",2941.55,2941.74,2941.55,2941.73,0.18,+0.01%,0
"2019-06-28 16:04",2941.46,2941.55,2941.46,2941.55,0.09,0.00%,0
"2019-06-28 16:03",2941.4,2941.46,2941.4,2941.46,0.06,0.00%,0
"2019-06-28 16:02",2941.23,2941.4,2941.22,2941.4,0.17,+0.01%,0
"2019-06-28 16:01",2940.87,2941.23,2940.87,2941.23,0.36,+0.01%,0
"2019-06-28 16:00",2940.46,2940.88,2940.46,2940.87,-0.05,0.00%,0
"2019-06-28 15:59",2940.58,2941.21,2939.48,2940.92,-0.32,-0.01%,0
"2019-06-28 15:58",2942.53,2943.98,2941.24,2941.24,-1.39,-0.05%,0
"2019-06-28 15:57",2940.21,2942.71,2940.19,2942.63,2.47,+0.08%,0
"2019-06-28 15:56",2939.11,2940.16,2939.11,2940.16,1.17,+0.04%,0
"2019-06-28 15:55",2936.17,2939.26,2936.17,2938.99,2.87,+0.10%,0
"2019-06-28 15:54",2934.53,2937.06,2934.53,2936.12,1.95,+0.07%,0
"2019-06-28 15:53",2936.78,2936.8,2933.82,2934.17,-2.61,-0.09%,0
"2019-06-28 15:52",2936.01,2936.86,2936.01,2936.78,0.74,+0.03%,0
"2019-06-28 15:51",2935.34,2936.04,2935.2,2936.04,0.69,+0.02%,0
"2019-06-28 15:50",2934.15,2935.45,2934.15,2935.35,1.21,+0.04%,0
"2019-06-28 15:49",2933.52,2934.21,2933.52,2934.14,0.62,+0.02%,0
