Time,Open,High,Low,Latest,Change,%Change,Volume
"2018-03-29 16:46",2640.87,2640.87,2640.87,2640.87,0,0.00%,0
"2018-03-29 16:20",2640.87,2640.87,2640.87,2640.87,0,0.00%,0
"2018-03-29 16:19",2640.87,2640.87,2640.87,2640.87,0,0.00%,0
"2018-03-29 16:18",2640.87,2640.87,2640.87,2640.87,0,0.00%,0
"2018-03-29 16:17",2640.87,2640.87,2640.87,2640.87,0,0.00%,0
"2018-03-29 16:16",2640.87,2640.87,2640.87,2640.87,0,0.00%,0
"2018-03-29 16:15",2640.87,2640.87,2640.87,2640.87,0,0.00%,0
"2018-03-29 16:14",2640.87,2640.87,2640.87,2640.87,0,0.00%,0
"2018-03-29 16:13",2640.87,2640.87,2640.87,2640.87,0,0.00%,0
"2018-03-29 16:12",2640.87,2640.87,2640.87,2640.87,0,0.00%,0
"2018-03-29 16:11",2640.87,2640.87,2640.87,2640.87,0,0.00%,0
"2018-03-29 16:10",2640.87,2640.87,2640.87,2640.87,0,0.00%,0
"2018-03-29 16:09",2640.87,2640.87,2640.87,2640.87,0,0.00%,0
"2018-03-29 16:08",2641.53,2641.53,2640.87,2640.87,-0.66,-0.02%,0
"2018-03-29 16:07",2641.78,2641.78,2641.53,2641.53,-0.25,-0.01%,0
"2018-03-29 16:06",2641.72,2641.78,2641.72,2641.78,0.06,0.00%,0
"2018-03-29 16:05",2641.46,2641.72,2641.46,2641.72,0.26,+0.01%,0
"2018-03-29 16:04",2641.46,2641.49,2641.46,2641.46,0,0.00%,0
"2018-03-29 16:03",2641.92,2641.93,2641.44,2641.46,-0.46,-0.02%,0
"2018-03-29 16:02",2641.89,2641.92,2641.89,2641.92,0.03,0.00%,0
"2018-03-29 16:01",2641.9,2641.9,2641.88,2641.89,-0.01,0.00%,0
"2018-03-29 16:00",2641.6,2641.92,2641.6,2641.9,0.11,0.00%,0
"2018-03-29 15:59",2644.54,2645.9,2641.79,2641.79,-2.72,-0.10%,0
"2018-03-29 15:58",2644.49,2645.07,2643.97,2644.51,0.48,+0.02%,0
"2018-03-29 15:57",2643.25,2645.18,2643.24,2644.03,1.06,+0.04%,0
"2018-03-29 15:56",2642.94,2644.79,2642.38,2642.97,-0.09,0.00%,0
"2018-03-29 15:55",2646.61,2646.74,2643.06,2643.06,-3.52,-0.13%,0
"2018-03-29 15:54",2647.75,2647.9,2646.35,2646.58,-1.32,-0.05%,0
"2018-03-29 15:53",2650.88,2650.88,2646.92,2647.9,-3.25,-0.12%,0
"2018-03-29 15:52",2651.06,2651.56,2650.7,2651.15,0.07,0.00%,0
"2018-03-29 15:51",2651.35,2651.46,2650.52,2651.08,-0.29,-0.01%,0
"2018-03-29 15:50",2652.68,2653.41,2650.37,2651.37,-1.26,-0.05%,0
"2018-03-29 15:49",2652.13,2652.63,2651.26,2652.63,0.6,+0.02%,0
"2018-03-29 15:48",2649.79,2652.64,2649.56,2652.03,2.33,+0.09%,0
"2018-03-29 15:47",2648.76,2649.7,2648.46,2649.7,1.06,+0.04%,0
"2018-03-29 15:46",2648.65,2649,2647.67,2648.64,0.04,0.00%,0
"2018-03-29 15:45",2645.06,2649.18,2645.06,2648.6,3.55,+0.13%,0
"2018-03-29 15:44",2646.83,2647.03,2645.01,2645.05,-1.86,-0.07%,0
"2018-03-29 15:43",2644.73,2647.16,2644.39,2646.91,2.16,+0.08%,0
"2018-03-29 15:42",2645.35,2646.09,2644.75,2644.75,-0.56,-0.02%,0
"2018-03-29 15:41",2647.06,2647.06,2644.58,2645.31,-1.72,-0.06%,0
"2018-03-29 15:40",2645.76,2647.94,2645.76,2647.03,1.21,+0.05%,0
"2018-03-29 15:39",2643.58,2646.36,2643.58,2645.82,2.26,+0.09%,0
"2018-03-29 15:38",2641.99,2643.58,2641.9,2643.56,1.49,+0.06%,0
"2018-03-29 15:37",2641.52,2642.75,2640.95,2642.07,0.66,+0.02%,0
"2018-03-29 15:36",2642.24,2643.08,2641.41,2641.41,-0.85,-0.03%,0
"2018-03-29 15:35",2643.53,2643.53,2641.66,2642.26,-1.14,-0.04%,0
"2018-03-29 15:34",2644.22,2645.37,2643.34,2643.4,-0.84,-0.03%,0
"2018-03-29 15:33",2643.57,2644.35,2642.41,2644.24,0.69,+0.03%,0
"2018-03-29 15:32",2646.1,2646.74,2642.79,2643.55,-2.57,-0.10%,0
"2018-03-29 15:31",2646.91,2648.27,2646.09,2646.12,-0.75,-0.03%,0
"2018-03-29 15:30",2649.05,2649.05,2646.07,2646.87,-2.18,-0.08%,0
"2018-03-29 15:29",2646.58,2649.05,2646.58,2649.05,2.56,+0.10%,0
"2018-03-29 15:28",2647.26,2647.26,2645.51,2646.49,-0.72,-0.03%,0
"2018-03-29 15:27",2648.23,2648.42,2647.21,2647.21,-1.01,-0.04%,0
"2018-03-29 15:26",2648.72,2648.89,2647.96,2648.22,-0.5,-0.02%,0
"2018-03-29 15:25",2650.44,2650.44,2648.16,2648.72,-1.76,-0.07%,0
"2018-03-29 15:24",2651.72,2652.26,2650.48,2650.48,-1.25,-0.05%,0
"2018-03-29 15:23",2650.71,2651.8,2650.35,2651.73,0.96,+0.04%,0
"2018-03-29 15:22",2650.96,2651.64,2650.69,2650.77,-0.27,-0.01%,0
"2018-03-29 15:21",2652.96,2652.96,2650.86,2651.04,-1.95,-0.07%,0
"2018-03-29 15:20",2653.85,2654.23,2652.99,2652.99,-0.84,-0.03%,0
"2018-03-29 15:19",2653.89,2654.53,2653.5,2653.83,-0.09,0.00%,0
"2018-03-29 15:18",2654.34,2654.5,2653.85,2653.92,-0.47,-0.02%,0
"2018-03-29 15:17",2654.74,2655.2,2653.86,2654.39,-0.37,-0.01%,0
"2018-03-29 15:16",2655.62,2657.09,2654.72,2654.76,-0.86,-0.03%,0
"2018-03-29 15:15",2656.12,2656.12,2655.03,2655.62,-0.55,-0.02%,0
"2018-03-29 15:14",2657.62,2657.62,2656.16,2656.17,-1.48,-0.06%,0
"2018-03-29 15:13",2657.85,2659.07,2657.65,2657.65,-0.18,-0.01%,0
"2018-03-29 15:12",2657.8,2658.1,2657.44,2657.83,0.03,0.00%,0
"2018-03-29 15:11",2656.75,2658.21,2656.56,2657.8,1.03,+0.04%,0
"2018-03-29 15:10",2657.71,2657.71,2656.41,2656.77,-0.95,-0.04%,0
"2018-03-29 15:09",2656.66,2657.74,2656.3,2657.72,1.1,+0.04%,0
"2018-03-29 15:08",2657.04,2657.14,2656.47,2656.62,-0.43,-0.02%,0
"2018-03-29 15:07",2657.53,2657.73,2657.05,2657.05,-0.41,-0.02%,0
"2018-03-29 15:06",2656.84,2657.67,2656.84,2657.46,0.63,+0.02%,0
"2018-03-29 15:05",2655.51,2656.83,2655.51,2656.83,1.3,+0.05%,0
"2018-03-29 15:04",2655.3,2655.67,2654.59,2655.53,0.15,+0.01%,0
"2018-03-29 15:03",2651.21,2655.39,2651.21,2655.38,4.2,+0.16%,0
"2018-03-29 15:02",2649.8,2651.18,2649.56,2651.18,1.39,+0.05%,0
"2018-03-29 15:01",2650.69,2650.75,2649.33,2649.79,-0.91,-0.03%,0
"2018-03-29 15:00",2651,2651.66,2649.78,2650.7,-0.31,-0.01%,0
"2018-03-29 14:59",2652.38,2652.66,2651,2651.01,-1.43,-0.05%,0
"2018-03-29 14:58",2652.54,2652.66,2652.07,2652.44,-0.1,0.00%,0
"2018-03-29 14:57",2653.4,2653.65,2652.2,2652.54,-0.8,-0.03%,0
"2018-03-29 14:56",2654.47,2654.56,2652.99,2653.34,-1.11,-0.04%,0
"2018-03-29 14:55",2652.65,2654.7,2652.65,2654.45,1.8,+0.07%,0
"2018-03-29 14:54",2651.57,2652.65,2651.38,2652.65,1.11,+0.04%,0
"2018-03-29 14:53",2653.38,2653.68,2651.17,2651.54,-1.59,-0.06%,0
"2018-03-29 14:52",2652.45,2653.13,2651.42,2653.13,0.71,+0.03%,0
"2018-03-29 14:51",2653.04,2653.2,2651.67,2652.42,-0.65,-0.02%,0
"2018-03-29 14:50",2653.89,2653.9,2652.59,2653.07,-0.8,-0.03%,0
"2018-03-29 14:49",2651.63,2654.02,2651.63,2653.87,2.29,+0.09%,0
"2018-03-29 14:48",2651.2,2652,2650.64,2651.58,0.39,+0.01%,0
"2018-03-29 14:47",2653.4,2653.46,2651.05,2651.19,-2.21,-0.08%,0
"2018-03-29 14:46",2651.9,2653.4,2651.9,2653.4,1.55,+0.06%,0
"2018-03-29 14:45",2651.16,2651.85,2651.12,2651.85,0.68,+0.03%,0
"2018-03-29 14:44",2650.68,2651.41,2650.68,2651.17,0.48,+0.02%,0
"2018-03-29 14:43",2649.01,2651.43,2648.97,2650.69,1.62,+0.06%,0
"2018-03-29 14:42",2648.27,2649.29,2648.27,2649.07,0.84,+0.03%,0
"2018-03-29 14:41",2647.43,2648.25,2647.15,2648.23,0.8,+0.03%,0
"2018-03-29 14:40",2647.82,2648.21,2647.22,2647.43,-0.38,-0.01%,0
"2018-03-29 14:39",2647.88,2648.47,2647.76,2647.81,-0.08,0.00%,0
"2018-03-29 14:38",2648.94,2649,2647.77,2647.89,-1.01,-0.04%,0
"2018-03-29 14:37",2648.99,2649.01,2648.03,2648.9,-0.09,0.00%,0
"2018-03-29 14:36",2648.83,2648.99,2648.32,2648.99,0.16,+0.01%,0
