Time,Open,High,Low,Latest,Change,%Change,Volume
"2019-05-31 17:11",2752.06,2752.06,2752.06,2752.06,0,0.00%,0
"2019-05-31 16:20",2752.06,2752.06,2752.06,2752.06,0,0.00%,0
"2019-05-31 16:19",2752.06,2752.06,2752.06,2752.06,0,0.00%,0
"2019-05-31 16:18",2752.06,2752.06,2752.06,2752.06,0,0.00%,0
"2019-05-31 16:17",2752.06,2752.06,2752.06,2752.06,0,0.00%,0
"2019-05-31 16:16",2752.06,2752.06,2752.06,2752.06,0,0.00%,0
"2019-05-31 16:15",2752.06,2752.06,2752.06,2752.06,0,0.00%,0
"2019-05-31 16:14",2752.06,2752.06,2752.06,2752.06,0,0.00%,0
"2019-05-31 16:13",2752.06,2752.06,2752.06,2752.06,0,0.00%,0
"2019-05-31 16:12",2752.06,2752.06,2752.06,2752.06,0,0.00%,0
"2019-05-31 16:11",2752.06,2752.06,2752.06,2752.06,0,0.00%,0
"2019-05-31 16:10",2752.06,2752.06,2752.06,2752.06,0,0.00%,0
"2019-05-31 16:09",2752.06,2752.06,2752.06,2752.06,0,0.00%,0
"2019-05-31 16:08",2752.06,2752.06,2752.06,2752.06,0,0.00%,0
"2019-05-31 16:07",2752.06,2752.06,2752.06,2752.06,0,0.00%,0
"2019-05-31 16:06",2752.06,2752.06,2752.06,2752.06,0,0.00%,0
"2019-05-31 16:05",2752.06,2752.06,2752.06,2752.06,0,0.00%,0
"2019-05-31 16:04",2752.07,2752.07,2752.06,2752.06,-0.01,0.00%,0
"2019-05-31 16:03",2752.05,2752.07,2752.05,2752.07,0.02,0.00%,0
"2019-05-31 16:02",2752.03,2752.05,2752.03,2752.05,0.03,0.00%,0
"2019-05-31 16:01",2752.02,2752.04,2752.02,2752.02,0,0.00%,0
"2019-05-31 16:00",2751.75,2752.02,2751.75,2752.02,-0.06,0.00%,0
"2019-05-31 15:59",2752.85,2753.27,2751.8,2752.08,-0.76,-0.03%,0
"2019-05-31 15:58",2753.45,2753.63,2752.71,2752.84,-0.61,-0.02%,0
"2019-05-31 15:57",2752.97,2753.53,2752.93,2753.45,0.57,+0.02%,0
"2019-05-31 15:56",2752.82,2753.13,2752.72,2752.88,-0.07,0.00%,0
"2019-05-31 15:55",2753.52,2753.52,2752.56,2752.95,-0.63,-0.02%,0
"2019-05-31 15:54",2754.32,2754.96,2753.58,2753.58,-0.76,-0.03%,0
"2019-05-31 15:53",2755.14,2755.37,2754.15,2754.34,-0.79,-0.03%,0
"2019-05-31 15:52",2753.79,2755.15,2753.79,2755.13,1.32,+0.05%,0
"2019-05-31 15:51",2754.89,2754.95,2753.81,2753.81,-1.2,-0.04%,0
"2019-05-31 15:50",2754.84,2755.44,2754.55,2755.01,0.18,+0.01%,0
"2019-05-31 15:49",2755.38,2755.41,2754.31,2754.83,-0.54,-0.02%,0
"2019-05-31 15:48",2754.98,2755.37,2754.64,2755.37,0.43,+0.02%,0
"2019-05-31 15:47",2754.59,2754.97,2754.46,2754.94,0.38,+0.01%,0
"2019-05-31 15:46",2753.75,2754.56,2753.61,2754.56,1.11,+0.04%,0
"2019-05-31 15:45",2752.57,2753.45,2752.25,2753.45,0.87,+0.03%,0
"2019-05-31 15:44",2752.76,2752.77,2751.97,2752.58,-0.28,-0.01%,0
"2019-05-31 15:43",2751.59,2752.87,2751.59,2752.86,1.34,+0.05%,0
"2019-05-31 15:42",2751.46,2751.55,2751.01,2751.52,0.13,0.00%,0
"2019-05-31 15:41",2751.56,2752.03,2751.26,2751.39,-0.15,-0.01%,0
"2019-05-31 15:40",2751.29,2752.12,2751.21,2751.54,0.24,+0.01%,0
"2019-05-31 15:39",2750.96,2752.44,2750.96,2751.3,0.35,+0.01%,0
"2019-05-31 15:38",2751.93,2751.93,2750.52,2750.95,-0.98,-0.04%,0
"2019-05-31 15:37",2752.33,2752.82,2751.93,2751.93,-0.4,-0.01%,0
"2019-05-31 15:36",2753.33,2753.6,2752.32,2752.33,-1.01,-0.04%,0
"2019-05-31 15:35",2754.39,2754.43,2752.9,2753.34,-1.04,-0.04%,0
"2019-05-31 15:34",2754.56,2754.67,2754.22,2754.38,-0.19,-0.01%,0
"2019-05-31 15:33",2755.69,2755.86,2754.57,2754.57,-1.1,-0.04%,0
"2019-05-31 15:32",2755.26,2755.67,2754.65,2755.67,0.39,+0.01%,0
"2019-05-31 15:31",2753.7,2755.75,2753.53,2755.28,1.59,+0.06%,0
"2019-05-31 15:30",2754.68,2754.68,2753.29,2753.69,-1.15,-0.04%,0
"2019-05-31 15:29",2752.72,2754.92,2752.72,2754.84,2.25,+0.08%,0
"2019-05-31 15:28",2753,2753,2752.23,2752.59,-0.38,-0.01%,0
"2019-05-31 15:27",2753.46,2753.47,2752.66,2752.97,-0.49,-0.02%,0
"2019-05-31 15:26",2752.94,2753.64,2752.94,2753.46,0.62,+0.02%,0
"2019-05-31 15:25",2753.81,2753.99,2751.87,2752.84,-1.01,-0.04%,0
"2019-05-31 15:24",2753.06,2754.03,2753.06,2753.85,0.87,+0.03%,0
"2019-05-31 15:23",2753.43,2753.51,2752.81,2752.98,-0.44,-0.02%,0
"2019-05-31 15:22",2755.72,2755.74,2753,2753.42,-2.31,-0.08%,0
"2019-05-31 15:21",2756.15,2756.15,2754.81,2755.73,-0.56,-0.02%,0
"2019-05-31 15:20",2755.77,2756.35,2755.77,2756.29,0.51,+0.02%,0
"2019-05-31 15:19",2756.05,2756.1,2755.74,2755.78,-0.24,-0.01%,0
"2019-05-31 15:18",2755.54,2756.02,2755.51,2756.02,0.48,+0.02%,0
"2019-05-31 15:17",2755.83,2756.1,2755.47,2755.54,-0.3,-0.01%,0
"2019-05-31 15:16",2757.33,2757.4,2755.81,2755.84,-1.46,-0.05%,0
"2019-05-31 15:15",2757.51,2758.03,2757.3,2757.3,-0.18,-0.01%,0
"2019-05-31 15:14",2757.27,2757.48,2756.55,2757.48,0.2,+0.01%,0
"2019-05-31 15:13",2757.1,2757.58,2757.09,2757.28,0.19,+0.01%,0
"2019-05-31 15:12",2756.43,2757.44,2756.43,2757.09,0.66,+0.02%,0
"2019-05-31 15:11",2756.41,2756.44,2755.97,2756.43,0.04,0.00%,0
"2019-05-31 15:10",2756.26,2756.43,2755.58,2756.39,0.16,+0.01%,0
"2019-05-31 15:09",2755.95,2756.24,2755.72,2756.23,0.24,+0.01%,0
"2019-05-31 15:08",2756.46,2756.74,2755.99,2755.99,-0.52,-0.02%,0
"2019-05-31 15:07",2755.99,2756.52,2755.74,2756.51,0.55,+0.02%,0
"2019-05-31 15:06",2755.65,2756.48,2755.65,2755.96,0.31,+0.01%,0
"2019-05-31 15:05",2755.13,2755.67,2755.12,2755.65,0.52,+0.02%,0
"2019-05-31 15:04",2756.55,2756.56,2754.69,2755.13,-1.41,-0.05%,0
"2019-05-31 15:03",2756.44,2756.76,2756.21,2756.54,0.08,0.00%,0
"2019-05-31 15:02",2756.91,2757,2756.44,2756.46,-0.46,-0.02%,0
"2019-05-31 15:01",2757.67,2757.75,2756.49,2756.92,-0.75,-0.03%,0
"2019-05-31 15:00",2758.33,2758.45,2757.51,2757.67,-0.66,-0.02%,0
"2019-05-31 14:59",2759.01,2759.01,2758.31,2758.33,-0.69,-0.03%,0
"2019-05-31 14:58",2758.84,2759.27,2758.77,2759.02,0.19,+0.01%,0
