Time,Open,High,Low,Latest,Change,%Change,Volume
"2016-09-30 17:01",2168.27,2168.27,2168.27,2168.27,0,0.00%,0
"2016-09-30 16:20",2168.27,2168.27,2168.27,2168.27,0,0.00%,0
"2016-09-30 16:19",2168.27,2168.27,2168.27,2168.27,0,0.00%,0
"2016-09-30 16:18",2168.27,2168.27,2168.27,2168.27,0,0.00%,0
"2016-09-30 16:17",2168.27,2168.27,2168.27,2168.27,0,0.00%,0
"2016-09-30 16:16",2168.27,2168.27,2168.27,2168.27,0,0.00%,0
"2016-09-30 16:15",2168.27,2168.27,2168.27,2168.27,0,0.00%,0
"2016-09-30 16:14",2168.27,2168.27,2168.27,2168.27,0,0.00%,0
"2016-09-30 16:13",2168.27,2168.27,2168.27,2168.27,0,0.00%,0
"2016-09-30 16:12",2168.27,2168.27,2168.27,2168.27,0,0.00%,0
"2016-09-30 16:11",2168.27,2168.27,2168.27,2168.27,0,0.00%,0
"2016-09-30 16:10",2168.27,2168.27,2168.27,2168.27,0,0.00%,0
"2016-09-30 16:09",2168.27,2168.27,2168.27,2168.27,0,0.00%,0
"2016-09-30 16:08",2168.27,2168.27,2168.27,2168.27,0,0.00%,0
"2016-09-30 16:07",2168.27,2168.27,2168.27,2168.27,0,0.00%,0
"2016-09-30 16:06",2168.27,2168.27,2168.27,2168.27,0,0.00%,0
"2016-09-30 16:05",2168.25,2168.27,2168.25,2168.27,0.02,0.00%,0
"2016-09-30 16:04",2168.23,2168.25,2168.23,2168.25,0.02,0.00%,0
"2016-09-30 16:03",2168.22,2168.23,2168.22,2168.23,0.01,0.00%,0
"2016-09-30 16:02",2168.2,2168.22,2168.2,2168.22,0.02,0.00%,0
"2016-09-30 16:01",2168.1,2168.2,2168.1,2168.2,0.11,+0.01%,0
"2016-09-30 16:00",2168,2168.09,2168,2168.09,0.03,0.00%,0
"2016-09-30 15:59",2169.68,2170.17,2167.77,2168.06,-1.65,-0.08%,0
"2016-09-30 15:58",2169.47,2170.19,2168.89,2169.71,0.33,+0.02%,0
"2016-09-30 15:57",2170.61,2170.61,2169.32,2169.38,-1.27,-0.06%,0
"2016-09-30 15:56",2171.03,2171.07,2169.91,2170.65,-0.5,-0.02%,0
"2016-09-30 15:55",2172.92,2172.92,2170.72,2171.15,-1.74,-0.08%,0
"2016-09-30 15:54",2173.4,2173.41,2172.86,2172.89,-0.52,-0.02%,0
"2016-09-30 15:53",2173.63,2173.95,2173.41,2173.41,-0.22,-0.01%,0
"2016-09-30 15:52",2173.64,2173.67,2173.54,2173.63,0,0.00%,0
"2016-09-30 15:51",2173.26,2173.69,2173.24,2173.63,0.35,+0.02%,0
"2016-09-30 15:50",2173.19,2173.52,2173.19,2173.28,0.12,+0.01%,0
"2016-09-30 15:49",2172.68,2173.16,2172.68,2173.16,0.47,+0.02%,0
"2016-09-30 15:48",2173.37,2173.37,2172.61,2172.69,-0.68,-0.03%,0
"2016-09-30 15:47",2173.6,2173.72,2173.27,2173.37,-0.22,-0.01%,0
"2016-09-30 15:46",2173.94,2173.99,2173.47,2173.59,-0.34,-0.02%,0
"2016-09-30 15:45",2174.37,2174.82,2173.89,2173.93,-0.46,-0.02%,0
"2016-09-30 15:44",2174.59,2174.59,2174.23,2174.39,-0.18,-0.01%,0
"2016-09-30 15:43",2174.13,2174.57,2174.08,2174.57,0.44,+0.02%,0
"2016-09-30 15:42",2173.81,2174.18,2173.81,2174.13,0.34,+0.02%,0
"2016-09-30 15:41",2172.57,2173.79,2172.57,2173.79,1.23,+0.06%,0
"2016-09-30 15:40",2172.9,2172.91,2172.49,2172.56,-0.32,-0.01%,0
"2016-09-30 15:39",2173.04,2173.13,2172.81,2172.88,-0.16,-0.01%,0
"2016-09-30 15:38",2173.03,2173.11,2173.03,2173.04,0.01,0.00%,0
"2016-09-30 15:37",2173.19,2173.32,2172.99,2173.03,-0.16,-0.01%,0
"2016-09-30 15:36",2173.47,2173.48,2173.12,2173.19,-0.31,-0.01%,0
"2016-09-30 15:35",2172.92,2173.56,2172.92,2173.5,0.59,+0.03%,0
"2016-09-30 15:34",2174,2174.04,2172.8,2172.91,-1.08,-0.05%,0
"2016-09-30 15:33",2174.02,2174.22,2173.99,2173.99,-0.03,0.00%,0
"2016-09-30 15:32",2174.04,2174.06,2173.77,2174.02,-0.03,0.00%,0
"2016-09-30 15:31",2173.93,2174.15,2173.93,2174.05,0.13,+0.01%,0
"2016-09-30 15:30",2173.63,2173.92,2173.63,2173.92,0.29,+0.01%,0
"2016-09-30 15:29",2173.68,2173.82,2173.63,2173.63,-0.04,0.00%,0
"2016-09-30 15:28",2174.03,2174.03,2173.56,2173.67,-0.37,-0.02%,0
"2016-09-30 15:27",2174.44,2174.44,2174.04,2174.04,-0.4,-0.02%,0
"2016-09-30 15:26",2174.5,2174.51,2174.44,2174.44,-0.05,0.00%,0
"2016-09-30 15:25",2174.18,2174.52,2174.18,2174.49,0.32,+0.01%,0
"2016-09-30 15:24",2173.92,2174.17,2173.92,2174.17,0.26,+0.01%,0
"2016-09-30 15:23",2173.91,2173.99,2173.81,2173.91,0,0.00%,0
"2016-09-30 15:22",2174.2,2174.21,2173.91,2173.91,-0.29,-0.01%,0
"2016-09-30 15:21",2174.57,2174.57,2174.2,2174.2,-0.37,-0.02%,0
"2016-09-30 15:20",2174.39,2174.57,2174.3,2174.57,0.19,+0.01%,0
"2016-09-30 15:19",2174.38,2174.47,2174.36,2174.38,0,0.00%,0
"2016-09-30 15:18",2174.3,2174.44,2174.28,2174.38,0.08,0.00%,0
"2016-09-30 15:17",2174.65,2174.65,2174.2,2174.3,-0.33,-0.02%,0
"2016-09-30 15:16",2174.6,2175.3,2174.6,2174.63,0.03,0.00%,0
"2016-09-30 15:15",2174.56,2174.6,2174.55,2174.6,0.05,0.00%,0
"2016-09-30 15:14",2174.29,2174.56,2174.29,2174.55,0.26,+0.01%,0
"2016-09-30 15:13",2174.02,2174.29,2174.01,2174.29,0.27,+0.01%,0
"2016-09-30 15:12",2174.18,2174.25,2174.02,2174.02,-0.16,-0.01%,0
"2016-09-30 15:11",2173.85,2174.18,2173.83,2174.18,0.33,+0.02%,0
"2016-09-30 15:10",2173.8,2173.86,2173.65,2173.85,0.03,0.00%,0
"2016-09-30 15:09",2173.88,2173.91,2173.82,2173.82,-0.05,0.00%,0
"2016-09-30 15:08",2173.83,2173.87,2173.76,2173.87,0.03,0.00%,0
"2016-09-30 15:07",2173.93,2173.97,2173.84,2173.84,-0.09,0.00%,0
"2016-09-30 15:06",2173.92,2173.95,2173.9,2173.93,0.01,0.00%,0
"2016-09-30 15:05",2173.95,2173.95,2173.73,2173.92,-0.03,0.00%,0
"2016-09-30 15:04",2174.02,2174.02,2173.83,2173.95,-0.08,0.00%,0
"2016-09-30 15:03",2174.14,2174.14,2174.03,2174.03,-0.14,-0.01%,0
"2016-09-30 15:02",2174.18,2174.18,2173.84,2174.17,0.01,0.00%,0
"2016-09-30 15:01",2173.29,2174.16,2173.29,2174.16,0.88,+0.04%,0
"2016-09-30 15:00",2172.94,2173.28,2172.92,2173.28,0.34,+0.02%,0
"2016-09-30 14:59",2172.88,2172.95,2172.76,2172.94,0.06,0.00%,0
"2016-09-30 14:58",2172.68,2172.89,2172.68,2172.88,0.23,+0.01%,0
