Time,Open,High,Low,Latest,Change,%Change,Volume
"2016-12-30 16:14",14.03,14.05,14.03,14.04,0,0.00%,0
"2016-12-30 16:13",14.02,14.04,14.02,14.04,0,0.00%,0
"2016-12-30 16:12",14.04,14.05,14.04,14.04,0,0.00%,0
"2016-12-30 16:11",14.03,14.04,14.03,14.04,0,0.00%,0
"2016-12-30 16:10",14.05,14.05,14.03,14.04,-0.01,-0.07%,0
"2016-12-30 16:09",14.05,14.05,14.05,14.05,-0.01,-0.07%,0
"2016-12-30 16:08",14.03,14.06,14.03,14.06,0.01,+0.07%,0
"2016-12-30 16:07",14.05,14.06,14.05,14.05,-0.01,-0.07%,0
"2016-12-30 16:06",14.07,14.08,14.06,14.06,0.03,+0.21%,0
"2016-12-30 16:05",14.06,14.06,14.03,14.03,-0.07,-0.50%,0
"2016-12-30 16:04",14.07,14.11,14.07,14.1,0.05,+0.36%,0
"2016-12-30 16:03",14.04,14.07,14.04,14.05,0,0.00%,0
"2016-12-30 16:02",14.16,14.16,14.05,14.05,-0.11,-0.78%,0
"2016-12-30 16:01",14.11,14.17,14.09,14.16,0.01,+0.07%,0
"2016-12-30 16:00",14.04,14.15,14.04,14.15,0.08,+0.57%,0
"2016-12-30 15:59",14.1,14.1,13.86,14.07,-0.07,-0.50%,0
"2016-12-30 15:58",14.17,14.17,14.12,14.14,-0.03,-0.21%,0
"2016-12-30 15:57",14.27,14.27,14.15,14.17,-0.14,-0.98%,0
"2016-12-30 15:56",14.27,14.32,14.27,14.31,0,0.00%,0
"2016-12-30 15:55",14.37,14.37,14.31,14.31,-0.06,-0.42%,0
"2016-12-30 15:54",14.34,14.37,14.34,14.37,-0.01,-0.07%,0
"2016-12-30 15:53",14.38,14.38,14.37,14.38,0.01,+0.07%,0
"2016-12-30 15:52",14.38,14.38,14.36,14.37,-0.01,-0.07%,0
"2016-12-30 15:51",14.37,14.38,14.37,14.38,0.04,+0.28%,0
"2016-12-30 15:50",14.33,14.38,14.33,14.34,0.04,+0.28%,0
"2016-12-30 15:49",14.31,14.32,14.3,14.3,0,0.00%,0
"2016-12-30 15:48",14.29,14.3,14.29,14.3,-0.01,-0.07%,0
"2016-12-30 15:47",14.31,14.32,14.31,14.31,0.02,+0.14%,0
"2016-12-30 15:46",14.29,14.3,14.28,14.29,0,0.00%,0
"2016-12-30 15:45",14.33,14.34,14.29,14.29,-0.02,-0.14%,0
"2016-12-30 15:44",14.3,14.32,14.3,14.31,0,0.00%,0
"2016-12-30 15:43",14.29,14.31,14.29,14.31,0.04,+0.28%,0
"2016-12-30 15:42",14.25,14.28,14.25,14.27,0.03,+0.21%,0
"2016-12-30 15:41",14.23,14.24,14.23,14.24,0.01,+0.07%,0
