Time,Open,High,Low,Latest,Change,%Change,Volume
"2020-02-28 16:14",40.32,40.32,40.11,40.11,0,0.00%,0
"2020-02-28 16:13",40.02,40.12,40.02,40.11,0.04,+0.10%,0
"2020-02-28 16:12",39.92,40.1,39.92,40.07,0.23,+0.58%,0
"2020-02-28 16:11",39.89,39.91,39.84,39.84,-0.21,-0.52%,0
"2020-02-28 16:10",39.98,40.05,39.96,40.05,0.08,+0.20%,0
"2020-02-28 16:09",40.16,40.16,39.97,39.97,-0.14,-0.35%,0
"2020-02-28 16:08",39.64,40.21,39.64,40.11,0.52,+1.31%,0
"2020-02-28 16:07",40.05,40.05,39.59,39.59,-0.59,-1.47%,0
"2020-02-28 16:06",40.27,40.27,40.18,40.18,-0.16,-0.40%,0
"2020-02-28 16:05",40.45,40.49,40.34,40.34,-0.31,-0.76%,0
"2020-02-28 16:04",40.76,40.81,40.65,40.65,0,0.00%,0
"2020-02-28 16:03",40.72,40.72,40.6,40.65,0.04,+0.10%,0
"2020-02-28 16:02",42.24,42.24,40.61,40.61,-1.63,-3.86%,0
"2020-02-28 16:01",42.24,42.24,42.24,42.24,0,0.00%,0
"2020-02-28 16:00",42.24,42.24,42.24,42.24,-0.38,-0.89%,0
"2020-02-28 15:59",43.51,43.51,42.62,42.62,-1.06,-2.43%,0
"2020-02-28 15:58",43.98,43.98,43.68,43.68,-0.5,-1.13%,0
"2020-02-28 15:57",44.24,44.24,44.03,44.18,-0.23,-0.52%,0
"2020-02-28 15:56",44.37,44.41,44.11,44.41,-0.04,-0.09%,0
"2020-02-28 15:55",45.14,45.14,44.45,44.45,-0.87,-1.92%,0
"2020-02-28 15:54",45.32,45.4,45.32,45.32,-0.04,-0.09%,0
"2020-02-28 15:53",45.43,45.54,45.36,45.36,-0.09,-0.20%,0
"2020-02-28 15:52",45.39,45.45,45.3,45.45,-0.06,-0.13%,0
"2020-02-28 15:51",46.05,46.05,45.51,45.51,-0.52,-1.13%,0
"2020-02-28 15:50",46.17,46.47,45.99,46.03,-0.19,-0.41%,0
"2020-02-28 15:49",46.62,46.62,46.22,46.22,-0.56,-1.20%,0
"2020-02-28 15:48",47.31,47.31,46.78,46.78,-0.57,-1.20%,0
"2020-02-28 15:47",47.73,47.73,47.35,47.35,-0.38,-0.80%,0
"2020-02-28 15:46",47.7,47.73,47.49,47.73,-0.37,-0.77%,0
"2020-02-28 15:45",48.4,48.4,48.07,48.1,-0.41,-0.85%,0
"2020-02-28 15:44",48.28,48.51,48.28,48.51,0.34,+0.71%,0
"2020-02-28 15:43",48.22,48.24,48.17,48.17,0.23,+0.48%,0
"2020-02-28 15:42",47.71,47.94,47.71,47.94,0.32,+0.67%,0
"2020-02-28 15:41",47.38,47.62,47.29,47.62,0.54,+1.15%,0
