Time,Open,High,Low,Latest,Change,%Change,Volume
"2021-01-29 16:14",33.11,33.12,33.05,33.09,-0.01,-0.03%,0
"2021-01-29 16:13",32.92,33.1,32.92,33.1,0.07,+0.21%,0
"2021-01-29 16:12",33.11,33.11,33.03,33.03,-0.15,-0.45%,0
"2021-01-29 16:11",33,33.18,33,33.18,0.08,+0.24%,0
"2021-01-29 16:10",33.17,33.17,33.04,33.1,-0.09,-0.27%,0
"2021-01-29 16:09",33.26,33.34,33.19,33.19,-0.03,-0.09%,0
"2021-01-29 16:08",33.49,33.49,33.22,33.22,-0.32,-0.95%,0
"2021-01-29 16:07",33.72,33.72,33.54,33.54,-0.35,-1.03%,0
"2021-01-29 16:06",34,34,33.82,33.89,-0.06,-0.18%,0
"2021-01-29 16:05",33.84,33.95,33.84,33.95,0.38,+1.13%,0
"2021-01-29 16:04",33.34,33.64,33.34,33.57,0.32,+0.96%,0
"2021-01-29 16:03",33.09,33.25,33.05,33.25,0.28,+0.85%,0
"2021-01-29 16:02",32.91,32.97,32.9,32.97,0.11,+0.33%,0
"2021-01-29 16:01",32.62,32.86,32.62,32.86,0.3,+0.92%,0
"2021-01-29 16:00",33.19,33.19,32.56,32.56,-0.65,-1.96%,0
"2021-01-29 15:59",32.57,33.21,32.57,33.21,0.73,+2.25%,0
"2021-01-29 15:58",31.9,32.48,31.9,32.48,0.67,+2.11%,0
"2021-01-29 15:57",31.51,31.85,31.51,31.81,0.35,+1.11%,0
"2021-01-29 15:56",31.72,31.72,31.46,31.46,0.02,+0.06%,0
"2021-01-29 15:55",32,32,31.44,31.44,-0.2,-0.63%,0
"2021-01-29 15:54",31.59,31.88,31.59,31.64,-0.02,-0.06%,0
"2021-01-29 15:53",32.03,32.03,31.66,31.66,-0.28,-0.88%,0
"2021-01-29 15:52",32.28,32.28,31.94,31.94,-0.23,-0.71%,0
"2021-01-29 15:51",32.06,32.2,32.06,32.17,0.04,+0.12%,0
"2021-01-29 15:50",32.62,32.62,32.1,32.13,-0.46,-1.41%,0
"2021-01-29 15:49",32.75,32.75,32.57,32.59,-0.06,-0.18%,0
"2021-01-29 15:48",32.82,32.82,32.57,32.65,-0.1,-0.31%,0
"2021-01-29 15:47",32.65,32.77,32.65,32.75,0.09,+0.28%,0
"2021-01-29 15:46",32.54,32.66,32.52,32.66,0.05,+0.15%,0
"2021-01-29 15:45",32.19,32.61,32.1,32.61,0.39,+1.21%,0
"2021-01-29 15:44",32.2,32.35,32.2,32.22,0.1,+0.31%,0
"2021-01-29 15:43",31.89,32.12,31.89,32.12,0.19,+0.60%,0
"2021-01-29 15:42",31.78,31.93,31.7,31.93,-0.02,-0.06%,0
"2021-01-29 15:41",31.97,32.01,31.9,31.95,-0.08,-0.25%,0
"2021-01-29 15:40",32.05,32.09,32.03,32.03,0.17,+0.53%,0
"2021-01-29 15:39",31.94,31.94,31.86,31.86,-0.03,-0.09%,0
"2021-01-29 15:38",31.89,31.98,31.85,31.89,0.06,+0.19%,0
"2021-01-29 15:37",31.46,31.89,31.46,31.83,0.41,+1.30%,0
"2021-01-29 15:36",31.29,31.42,31.29,31.42,0.29,+0.93%,0
"2021-01-29 15:35",31.09,31.18,31.09,31.13,-0.06,-0.19%,0
"2021-01-29 15:34",31.07,31.23,31.07,31.19,0.13,+0.42%,0
"2021-01-29 15:33",31,31.06,30.94,31.06,-0.03,-0.10%,0
"2021-01-29 15:32",31.3,31.31,31.09,31.09,-0.17,-0.54%,0
"2021-01-29 15:31",31.38,31.42,31.26,31.26,-0.09,-0.29%,0
"2021-01-29 15:30",31.56,31.56,31.34,31.35,-0.15,-0.48%,0
"2021-01-29 15:29",31.48,31.54,31.44,31.5,0.09,+0.29%,0
