Time,Open,High,Low,Latest,Change,%Change,Volume
"2020-06-30 16:14",30.47,30.47,30.4,30.43,-0.06,-0.20%,0
"2020-06-30 16:13",30.44,30.51,30.44,30.49,0.05,+0.16%,0
"2020-06-30 16:12",30.43,30.45,30.43,30.44,-0.01,-0.03%,0
"2020-06-30 16:11",30.47,30.47,30.45,30.45,-0.04,-0.13%,0
"2020-06-30 16:10",30.48,30.49,30.2,30.49,0.02,+0.07%,0
"2020-06-30 16:09",30.46,30.47,30.46,30.47,0.03,+0.10%,0
"2020-06-30 16:08",30.39,30.49,30.39,30.44,0.06,+0.20%,0
"2020-06-30 16:07",30.4,30.4,30.38,30.38,-0.03,-0.10%,0
"2020-06-30 16:06",30.48,30.48,30.41,30.41,-0.03,-0.10%,0
"2020-06-30 16:05",30.21,30.47,30.21,30.44,0.02,+0.07%,0
"2020-06-30 16:04",30.33,30.42,30.33,30.42,0.06,+0.20%,0
"2020-06-30 16:03",30.35,30.36,30.33,30.36,0.02,+0.07%,0
"2020-06-30 16:02",30.26,30.34,30.24,30.34,0.09,+0.30%,0
"2020-06-30 16:01",30.3,30.3,30.25,30.25,-0.06,-0.20%,0
"2020-06-30 16:00",29.92,30.37,29.92,30.31,0.39,+1.30%,0
"2020-06-30 15:59",29.97,30.2,29.92,29.92,-0.26,-0.86%,0
"2020-06-30 15:58",30.17,30.19,30.17,30.18,-0.05,-0.17%,0
"2020-06-30 15:57",29.98,30.23,29.98,30.23,0.14,+0.47%,0
"2020-06-30 15:56",30.1,30.14,30.07,30.09,-0.01,-0.03%,0
"2020-06-30 15:55",29.9,30.16,29.9,30.1,0.28,+0.94%,0
"2020-06-30 15:54",29.56,29.84,29.56,29.82,-0.04,-0.13%,0
"2020-06-30 15:53",29.95,29.95,29.86,29.86,-0.1,-0.33%,0
"2020-06-30 15:52",29.95,29.96,29.93,29.96,0.04,+0.13%,0
"2020-06-30 15:51",30.07,30.07,29.92,29.92,-0.06,-0.20%,0
"2020-06-30 15:50",30.3,30.3,29.82,29.98,-0.32,-1.06%,0
"2020-06-30 15:49",30.4,30.4,30.3,30.3,-0.08,-0.26%,0
"2020-06-30 15:48",30.36,30.4,30.36,30.38,0.03,+0.10%,0
"2020-06-30 15:47",30.13,30.35,30.13,30.35,0.21,+0.70%,0
"2020-06-30 15:46",30.04,30.14,30.04,30.14,0.14,+0.47%,0
"2020-06-30 15:45",30.12,30.12,30,30,-0.12,-0.40%,0
"2020-06-30 15:44",30.13,30.15,30.12,30.12,0,0.00%,0
"2020-06-30 15:43",30.09,30.12,30.09,30.12,0.03,+0.10%,0
"2020-06-30 15:42",30.05,30.09,30.05,30.09,0.03,+0.10%,0
"2020-06-30 15:41",30,30.06,30,30.06,0.05,+0.17%,0
"2020-06-30 15:40",30.02,30.02,30,30.01,0.11,+0.37%,0
"2020-06-30 15:39",29.89,30.01,29.89,29.9,0.01,+0.03%,0
"2020-06-30 15:38",29.86,29.89,29.84,29.89,0,0.00%,0
"2020-06-30 15:37",29.92,29.93,29.89,29.89,-0.04,-0.13%,0
"2020-06-30 15:36",29.93,29.93,29.92,29.93,0,0.00%,0
"2020-06-30 15:35",29.92,29.93,29.92,29.93,0.02,+0.07%,0
"2020-06-30 15:34",29.96,29.96,29.86,29.91,-0.06,-0.20%,0
