Time,Open,High,Low,Latest,Change,%Change,Volume
"2024-03-28 16:15",13.01,13.01,13.01,13.01,0.02,+0.15%,0
"2024-03-28 16:14",13,13,12.99,12.99,-0.01,-0.08%,0
"2024-03-28 16:13",13,13,13,13,0,0.00%,0
"2024-03-28 16:12",12.99,13,12.99,13,0,0.00%,0
"2024-03-28 16:11",13.01,13.01,13,13,-0.02,-0.15%,0
"2024-03-28 16:10",13.02,13.02,13.02,13.02,-0.01,-0.08%,0
"2024-03-28 16:09",13.03,13.03,13.02,13.03,0,0.00%,0
"2024-03-28 16:08",13.03,13.03,13.03,13.03,-0.02,-0.15%,0
"2024-03-28 16:07",13.04,13.05,13.04,13.05,0,0.00%,0
"2024-03-28 16:06",13.05,13.05,13.05,13.05,0,0.00%,0
"2024-03-28 16:05",13.06,13.06,13.05,13.05,0.01,+0.08%,0
"2024-03-28 16:04",13.04,13.05,13.04,13.04,0,0.00%,0
"2024-03-28 16:03",13.04,13.04,13.03,13.04,0.01,+0.08%,0
"2024-03-28 16:02",13.07,13.07,13.03,13.03,-0.05,-0.38%,0
"2024-03-28 16:01",13.08,13.1,13.08,13.08,-0.01,-0.08%,0
"2024-03-28 16:00",13.05,13.09,13.05,13.09,0.1,+0.77%,0
"2024-03-28 15:59",12.97,12.99,12.96,12.99,0.03,+0.23%,0
"2024-03-28 15:58",12.95,12.96,12.95,12.96,0.01,+0.08%,0
"2024-03-28 15:57",12.98,12.98,12.95,12.95,-0.04,-0.31%,0
"2024-03-28 15:56",12.99,13.01,12.99,12.99,0,0.00%,0
"2024-03-28 15:55",12.99,12.99,12.99,12.99,-0.01,-0.08%,0
"2024-03-28 15:54",13,13,13,13,0,0.00%,0
"2024-03-28 15:53",12.98,13,12.98,13,0.02,+0.15%,0
"2024-03-28 15:52",12.98,12.98,12.97,12.98,0.01,+0.08%,0
"2024-03-28 15:51",13.01,13.01,12.97,12.97,-0.04,-0.31%,0
"2024-03-28 15:50",13.02,13.02,13.01,13.01,-0.02,-0.15%,0
"2024-03-28 15:49",13.03,13.03,13.03,13.03,-0.01,-0.08%,0
"2024-03-28 15:48",13.04,13.05,13.04,13.04,0,0.00%,0
"2024-03-28 15:47",13.04,13.04,13.03,13.04,0,0.00%,0
"2024-03-28 15:46",13.04,13.04,13.04,13.04,0,0.00%,0
"2024-03-28 15:45",13.04,13.04,13.03,13.04,0,0.00%,0
"2024-03-28 15:44",13.04,13.05,13.04,13.04,-0.01,-0.08%,0
"2024-03-28 15:43",13.05,13.05,13.05,13.05,0,0.00%,0
