Time,Open,High,Low,Latest,Change,%Change,Volume
"2023-05-31 16:15",17.94,17.94,17.94,17.94,-0.01,-0.06%,0
"2023-05-31 16:14",17.89,17.96,17.89,17.95,0.07,+0.39%,0
"2023-05-31 16:13",17.87,17.88,17.87,17.88,0.03,+0.17%,0
"2023-05-31 16:12",17.81,17.85,17.81,17.85,0.03,+0.17%,0
"2023-05-31 16:11",17.79,17.82,17.78,17.82,0.03,+0.17%,0
"2023-05-31 16:10",17.79,17.8,17.78,17.79,0.03,+0.17%,0
"2023-05-31 16:09",17.74,17.76,17.72,17.76,0.02,+0.11%,0
"2023-05-31 16:08",17.72,17.75,17.71,17.74,0.02,+0.11%,0
"2023-05-31 16:07",17.73,17.73,17.71,17.72,0,0.00%,0
"2023-05-31 16:06",17.72,17.72,17.72,17.72,0.01,+0.06%,0
"2023-05-31 16:05",17.75,17.75,17.69,17.71,0,0.00%,0
"2023-05-31 16:04",17.66,17.71,17.66,17.71,0.04,+0.23%,0
"2023-05-31 16:03",17.67,17.67,17.66,17.67,-0.06,-0.34%,0
"2023-05-31 16:02",17.59,17.73,17.58,17.73,0.2,+1.14%,0
"2023-05-31 16:01",17.56,17.6,17.53,17.53,-0.03,-0.17%,0
"2023-05-31 16:00",17.68,17.68,17.56,17.56,-0.08,-0.45%,0
"2023-05-31 15:59",17.51,17.64,17.51,17.64,0.12,+0.68%,0
"2023-05-31 15:58",17.61,17.61,17.52,17.52,-0.11,-0.62%,0
"2023-05-31 15:57",17.58,17.66,17.58,17.63,0.05,+0.28%,0
"2023-05-31 15:56",17.54,17.58,17.54,17.58,0.08,+0.46%,0
"2023-05-31 15:55",17.49,17.53,17.49,17.5,0.01,+0.06%,0
"2023-05-31 15:54",17.49,17.49,17.47,17.49,0.01,+0.06%,0
"2023-05-31 15:53",17.41,17.48,17.41,17.48,0.1,+0.58%,0
"2023-05-31 15:52",17.43,17.43,17.38,17.38,-0.05,-0.29%,0
"2023-05-31 15:51",17.39,17.43,17.39,17.43,0.06,+0.35%,0
"2023-05-31 15:50",17.24,17.37,17.24,17.37,0.13,+0.75%,0
"2023-05-31 15:49",17.21,17.24,17.21,17.24,0.06,+0.35%,0
"2023-05-31 15:48",17.2,17.22,17.18,17.18,-0.03,-0.17%,0
"2023-05-31 15:47",17.24,17.24,17.21,17.21,0.06,+0.35%,0
"2023-05-31 15:46",17.16,17.16,17.12,17.15,-0.02,-0.12%,0
"2023-05-31 15:45",17.18,17.18,17.14,17.17,-0.01,-0.06%,0
"2023-05-31 15:44",17.25,17.25,17.18,17.18,-0.09,-0.52%,0
"2023-05-31 15:43",17.33,17.33,17.27,17.27,-0.06,-0.35%,0
"2023-05-31 15:42",17.34,17.34,17.33,17.33,-0.01,-0.06%,0
"2023-05-31 15:41",17.36,17.36,17.34,17.34,-0.04,-0.23%,0
"2023-05-31 15:40",17.37,17.39,17.37,17.38,-0.01,-0.06%,0
"2023-05-31 15:39",17.37,17.39,17.37,17.39,0.03,+0.17%,0
"2023-05-31 15:38",17.35,17.36,17.35,17.36,0.01,+0.06%,0
"2023-05-31 15:37",17.35,17.37,17.35,17.35,0,0.00%,0
"2023-05-31 15:36",17.37,17.37,17.35,17.35,-0.01,-0.06%,0
"2023-05-31 15:35",17.32,17.36,17.31,17.36,0.04,+0.23%,0
"2023-05-31 15:34",17.31,17.32,17.31,17.32,0.01,+0.06%,0
"2023-05-31 15:33",17.33,17.33,17.31,17.31,-0.03,-0.17%,0
"2023-05-31 15:32",17.34,17.35,17.32,17.34,-0.02,-0.12%,0
"2023-05-31 15:31",17.37,17.38,17.36,17.36,-0.01,-0.06%,0
"2023-05-31 15:30",17.33,17.4,17.33,17.37,0.03,+0.17%,0
"2023-05-31 15:29",17.33,17.34,17.33,17.34,0,0.00%,0
"2023-05-31 15:28",17.34,17.36,17.34,17.34,-0.02,-0.12%,0
"2023-05-31 15:27",17.38,17.38,17.36,17.36,-0.04,-0.23%,0
"2023-05-31 15:26",17.37,17.41,17.37,17.4,0.03,+0.17%,0
"2023-05-31 15:25",17.34,17.38,17.34,17.37,0.04,+0.23%,0
"2023-05-31 15:24",17.38,17.38,17.33,17.33,-0.02,-0.12%,0
"2023-05-31 15:23",17.34,17.35,17.33,17.35,-0.01,-0.06%,0
"2023-05-31 15:22",17.35,17.36,17.35,17.36,0,0.00%,0
"2023-05-31 15:21",17.38,17.39,17.36,17.36,-0.03,-0.17%,0
"2023-05-31 15:20",17.42,17.43,17.38,17.39,-0.02,-0.11%,0
"2023-05-31 15:19",17.39,17.42,17.39,17.41,-0.01,-0.06%,0
"2023-05-31 15:18",17.41,17.43,17.41,17.42,0.02,+0.11%,0
"2023-05-31 15:17",17.38,17.4,17.38,17.4,-0.01,-0.06%,0
"2023-05-31 15:16",17.39,17.41,17.37,17.41,0.02,+0.12%,0
"2023-05-31 15:15",17.39,17.39,17.38,17.39,0.01,+0.06%,0
"2023-05-31 15:14",17.38,17.38,17.36,17.38,-0.01,-0.06%,0
"2023-05-31 15:13",17.45,17.45,17.39,17.39,-0.07,-0.40%,0
"2023-05-31 15:12",17.48,17.48,17.45,17.46,-0.03,-0.17%,0
"2023-05-31 15:11",17.49,17.49,17.47,17.49,0.01,+0.06%,0
"2023-05-31 15:10",17.45,17.48,17.45,17.48,0.01,+0.06%,0
"2023-05-31 15:09",17.45,17.47,17.45,17.47,0.03,+0.17%,0
"2023-05-31 15:08",17.48,17.48,17.44,17.44,-0.04,-0.23%,0
"2023-05-31 15:07",17.48,17.49,17.48,17.48,0.03,+0.17%,0
"2023-05-31 15:06",17.43,17.45,17.43,17.45,0.01,+0.06%,0
"2023-05-31 15:05",17.41,17.44,17.41,17.44,0,0.00%,0
"2023-05-31 15:04",17.4,17.46,17.4,17.44,0.05,+0.29%,0
"2023-05-31 15:03",17.38,17.39,17.38,17.39,0.02,+0.12%,0
"2023-05-31 15:02",17.41,17.41,17.37,17.37,-0.02,-0.12%,0
"2023-05-31 15:01",17.37,17.39,17.35,17.39,0.02,+0.12%,0
"2023-05-31 15:00",17.38,17.38,17.34,17.37,-0.03,-0.17%,0
"2023-05-31 14:59",17.37,17.4,17.36,17.4,0.02,+0.12%,0
"2023-05-31 14:58",17.35,17.38,17.35,17.38,0,0.00%,0
"2023-05-31 14:57",17.39,17.39,17.37,17.38,0,0.00%,0
"2023-05-31 14:56",17.41,17.41,17.38,17.38,-0.03,-0.17%,0
"2023-05-31 14:55",17.41,17.41,17.39,17.41,-0.02,-0.11%,0
"2023-05-31 14:54",17.46,17.46,17.43,17.43,-0.03,-0.17%,0
"2023-05-31 14:53",17.44,17.47,17.44,17.46,0,0.00%,0
"2023-05-31 14:52",17.55,17.55,17.45,17.46,-0.05,-0.29%,0
"2023-05-31 14:51",17.44,17.51,17.44,17.51,0.19,+1.10%,0
"2023-05-31 14:50",17.26,17.32,17.26,17.32,0.05,+0.29%,0
"2023-05-31 14:49",17.25,17.3,17.25,17.27,0.01,+0.06%,0
"2023-05-31 14:48",17.18,17.26,17.18,17.26,0.1,+0.58%,0
"2023-05-31 14:47",17.17,17.17,17.15,17.16,-0.01,-0.06%,0
"2023-05-31 14:46",17.2,17.2,17.17,17.17,-0.02,-0.12%,0
"2023-05-31 14:45",17.19,17.19,17.17,17.19,-0.01,-0.06%,0
"2023-05-31 14:44",17.2,17.2,17.2,17.2,0.01,+0.06%,0
"2023-05-31 14:43",17.18,17.19,17.18,17.19,0,0.00%,0
"2023-05-31 14:42",17.23,17.23,17.19,17.19,-0.05,-0.29%,0
"2023-05-31 14:41",17.22,17.24,17.22,17.24,0.03,+0.17%,0
"2023-05-31 14:40",17.2,17.21,17.2,17.21,0.01,+0.06%,0
