Time,Open,High,Low,Latest,Change,%Change,Volume
"2019-11-29 13:14",12.61,12.62,12.59,12.62,0.01,+0.08%,0
"2019-11-29 13:13",12.62,12.62,12.6,12.61,-0.01,-0.08%,0
"2019-11-29 13:12",12.61,12.62,12.61,12.62,0.01,+0.08%,0
"2019-11-29 13:11",12.63,12.63,12.6,12.61,-0.02,-0.16%,0
"2019-11-29 13:10",12.65,12.65,12.63,12.63,0.01,+0.08%,0
"2019-11-29 13:09",12.61,12.62,12.59,12.62,0.01,+0.08%,0
"2019-11-29 13:08",12.57,12.61,12.57,12.61,0.03,+0.24%,0
"2019-11-29 13:07",12.55,12.58,12.55,12.58,0.03,+0.24%,0
"2019-11-29 13:06",12.55,12.55,12.55,12.55,-0.01,-0.08%,0
"2019-11-29 13:05",12.56,12.56,12.55,12.56,0.01,+0.08%,0
"2019-11-29 13:04",12.58,12.58,12.54,12.55,-0.06,-0.48%,0
"2019-11-29 13:03",12.58,12.61,12.58,12.61,0.01,+0.08%,0
"2019-11-29 13:02",12.59,12.6,12.58,12.6,0.01,+0.08%,0
"2019-11-29 13:01",12.6,12.6,12.58,12.59,-0.04,-0.32%,0
"2019-11-29 13:00",12.7,12.7,12.63,12.63,0.03,+0.24%,0
"2019-11-29 12:59",12.81,12.81,12.6,12.6,-0.21,-1.64%,0
"2019-11-29 12:58",12.81,12.83,12.81,12.81,0,0.00%,0
"2019-11-29 12:57",12.8,12.81,12.79,12.81,0.03,+0.23%,0
"2019-11-29 12:56",12.72,12.78,12.72,12.78,0.08,+0.63%,0
"2019-11-29 12:55",12.72,12.72,12.7,12.7,-0.03,-0.24%,0
"2019-11-29 12:54",12.73,12.73,12.71,12.73,0.01,+0.08%,0
"2019-11-29 12:53",12.71,12.72,12.69,12.72,0,0.00%,0
"2019-11-29 12:52",12.72,12.72,12.71,12.72,0,0.00%,0
"2019-11-29 12:51",12.74,12.75,12.72,12.72,-0.05,-0.39%,0
"2019-11-29 12:50",12.79,12.79,12.77,12.77,-0.01,-0.08%,0
"2019-11-29 12:49",12.76,12.78,12.76,12.78,0.03,+0.24%,0
"2019-11-29 12:48",12.75,12.75,12.75,12.75,0,0.00%,0
"2019-11-29 12:47",12.78,12.78,12.75,12.75,-0.03,-0.23%,0
"2019-11-29 12:46",12.79,12.8,12.78,12.78,-0.01,-0.08%,0
"2019-11-29 12:45",12.81,12.81,12.79,12.79,-0.03,-0.23%,0
"2019-11-29 12:44",12.81,12.82,12.81,12.82,0.03,+0.23%,0
"2019-11-29 12:43",12.75,12.79,12.75,12.79,0.04,+0.31%,0
"2019-11-29 12:42",12.74,12.75,12.74,12.75,-0.01,-0.08%,0
"2019-11-29 12:41",12.74,12.76,12.74,12.76,0.03,+0.24%,0
"2019-11-29 12:40",12.69,12.73,12.69,12.73,0.04,+0.32%,0
"2019-11-29 12:39",12.66,12.69,12.66,12.69,0.06,+0.48%,0
"2019-11-29 12:38",12.61,12.63,12.61,12.63,0.01,+0.08%,0
"2019-11-29 12:37",12.64,12.64,12.62,12.62,-0.02,-0.16%,0
"2019-11-29 12:36",12.62,12.64,12.62,12.64,0.03,+0.24%,0
"2019-11-29 12:35",12.61,12.61,12.6,12.61,0.01,+0.08%,0
"2019-11-29 12:34",12.61,12.61,12.6,12.6,-0.01,-0.08%,0
"2019-11-29 12:33",12.59,12.61,12.59,12.61,0.02,+0.16%,0
"2019-11-29 12:32",12.58,12.59,12.58,12.59,0.02,+0.16%,0
"2019-11-29 12:31",12.57,12.58,12.57,12.57,0,0.00%,0
"2019-11-29 12:30",12.59,12.59,12.57,12.57,-0.02,-0.16%,0
"2019-11-29 12:29",12.58,12.59,12.58,12.59,0.01,+0.08%,0
"2019-11-29 12:28",12.56,12.58,12.56,12.58,0.02,+0.16%,0
"2019-11-29 12:27",12.55,12.56,12.55,12.56,0,0.00%,0
"2019-11-29 12:26",12.55,12.56,12.55,12.56,0.02,+0.16%,0
"2019-11-29 12:25",12.52,12.54,12.52,12.54,0.01,+0.08%,0
"2019-11-29 12:24",12.52,12.53,12.51,12.53,0.01,+0.08%,0
"2019-11-29 12:23",12.54,12.54,12.52,12.52,-0.02,-0.16%,0
"2019-11-29 12:22",12.54,12.54,12.54,12.54,0,0.00%,0
"2019-11-29 12:21",12.53,12.54,12.51,12.54,0.01,+0.08%,0
"2019-11-29 12:20",12.53,12.53,12.52,12.53,0,0.00%,0
"2019-11-29 12:19",12.54,12.54,12.53,12.53,0.01,+0.08%,0
"2019-11-29 12:18",12.52,12.52,12.52,12.52,0.01,+0.08%,0
"2019-11-29 12:17",12.48,12.52,12.48,12.51,0.03,+0.24%,0
"2019-11-29 12:16",12.47,12.48,12.47,12.48,0.01,+0.08%,0
"2019-11-29 12:15",12.49,12.5,12.47,12.47,-0.03,-0.24%,0
"2019-11-29 12:14",12.49,12.5,12.49,12.5,0.02,+0.16%,0
"2019-11-29 12:13",12.47,12.48,12.47,12.48,0.02,+0.16%,0
"2019-11-29 12:12",12.44,12.46,12.44,12.46,0.02,+0.16%,0
"2019-11-29 12:11",12.42,12.44,12.42,12.44,0.02,+0.16%,0
"2019-11-29 12:10",12.41,12.42,12.41,12.42,0.01,+0.08%,0
"2019-11-29 12:09",12.41,12.42,12.41,12.41,0.01,+0.08%,0
"2019-11-29 12:08",12.42,12.42,12.4,12.4,-0.02,-0.16%,0
"2019-11-29 12:07",12.43,12.44,12.42,12.42,-0.01,-0.08%,0
"2019-11-29 12:06",12.44,12.44,12.43,12.43,-0.01,-0.08%,0
