Time,Open,High,Low,Latest,Change,%Change,Volume
"2016-09-30 16:14",13.21,13.29,13.21,13.29,0.11,+0.83%,0
"2016-09-30 16:13",13.1,13.18,13.1,13.18,0.07,+0.53%,0
"2016-09-30 16:12",13.14,13.14,13.1,13.11,-0.03,-0.23%,0
"2016-09-30 16:11",13.18,13.18,13.14,13.14,-0.03,-0.23%,0
"2016-09-30 16:10",13.2,13.2,13.17,13.17,-0.03,-0.23%,0
"2016-09-30 16:09",13.2,13.2,13.18,13.2,0.01,+0.08%,0
"2016-09-30 16:08",13.17,13.19,13.16,13.19,0.01,+0.08%,0
"2016-09-30 16:07",13.19,13.19,13.18,13.18,-0.03,-0.23%,0
"2016-09-30 16:06",13.23,13.23,13.21,13.21,-0.02,-0.15%,0
"2016-09-30 16:05",13.23,13.23,13.22,13.23,0,0.00%,0
"2016-09-30 16:04",13.24,13.24,13.23,13.23,-0.01,-0.08%,0
"2016-09-30 16:03",13.27,13.27,13.24,13.24,-0.02,-0.15%,0
"2016-09-30 16:02",13.27,13.27,13.26,13.26,-0.02,-0.15%,0
"2016-09-30 16:01",13.27,13.28,13.27,13.28,0.05,+0.38%,0
"2016-09-30 16:00",13.21,13.24,13.21,13.23,-0.06,-0.45%,0
"2016-09-30 15:59",13.09,13.29,13.09,13.29,0.19,+1.45%,0
"2016-09-30 15:58",13.14,13.18,13.07,13.1,-0.04,-0.30%,0
"2016-09-30 15:57",13.04,13.14,13.04,13.14,0.09,+0.69%,0
"2016-09-30 15:56",13,13.06,13,13.05,0.06,+0.46%,0
"2016-09-30 15:55",12.87,13.01,12.87,12.99,0.14,+1.09%,0
"2016-09-30 15:54",12.8,12.85,12.8,12.85,0.07,+0.55%,0
"2016-09-30 15:53",12.74,12.78,12.74,12.78,0,0.00%,0
"2016-09-30 15:52",12.78,12.78,12.78,12.78,0.01,+0.08%,0
"2016-09-30 15:51",12.79,12.79,12.77,12.77,-0.03,-0.23%,0
"2016-09-30 15:50",12.79,12.8,12.78,12.8,-0.02,-0.16%,0
"2016-09-30 15:49",12.84,12.84,12.82,12.82,-0.03,-0.23%,0
"2016-09-30 15:48",12.81,12.85,12.81,12.85,0.04,+0.31%,0
"2016-09-30 15:47",12.78,12.81,12.78,12.81,0.01,+0.08%,0
"2016-09-30 15:46",12.77,12.8,12.77,12.8,0.02,+0.16%,0
"2016-09-30 15:45",12.73,12.78,12.73,12.78,0.02,+0.16%,0
"2016-09-30 15:44",12.73,12.76,12.73,12.76,0.01,+0.08%,0
"2016-09-30 15:43",12.77,12.77,12.75,12.75,-0.02,-0.16%,0
"2016-09-30 15:42",12.76,12.78,12.76,12.77,0,0.00%,0
"2016-09-30 15:41",12.87,12.87,12.77,12.77,-0.1,-0.78%,0
"2016-09-30 15:40",12.86,12.87,12.86,12.87,0.01,+0.08%,0
"2016-09-30 15:39",12.84,12.86,12.84,12.86,0.02,+0.16%,0
"2016-09-30 15:38",12.84,12.85,12.84,12.84,0,0.00%,0
"2016-09-30 15:37",12.82,12.84,12.82,12.84,0.02,+0.16%,0
"2016-09-30 15:36",12.8,12.83,12.8,12.82,0.03,+0.23%,0
"2016-09-30 15:35",12.81,12.81,12.79,12.79,0.02,+0.16%,0
"2016-09-30 15:34",12.74,12.77,12.74,12.77,0.04,+0.31%,0
"2016-09-30 15:33",12.72,12.73,12.72,12.73,0.01,+0.08%,0
"2016-09-30 15:32",12.71,12.73,12.71,12.72,0.01,+0.08%,0
"2016-09-30 15:31",12.72,12.72,12.7,12.71,-0.01,-0.08%,0
"2016-09-30 15:30",12.73,12.73,12.72,12.72,-0.02,-0.16%,0
"2016-09-30 15:29",12.73,12.74,12.73,12.74,0,0.00%,0
"2016-09-30 15:28",12.7,12.75,12.7,12.74,0.05,+0.39%,0
"2016-09-30 15:27",12.67,12.69,12.67,12.69,0.03,+0.24%,0
"2016-09-30 15:26",12.66,12.66,12.66,12.66,-0.01,-0.08%,0
"2016-09-30 15:25",12.68,12.68,12.65,12.67,-0.01,-0.08%,0
"2016-09-30 15:24",12.66,12.68,12.63,12.68,0.03,+0.24%,0
"2016-09-30 15:23",12.65,12.65,12.65,12.65,-0.01,-0.08%,0
"2016-09-30 15:22",12.61,12.66,12.61,12.66,0.05,+0.40%,0
"2016-09-30 15:21",12.59,12.61,12.59,12.61,0.01,+0.08%,0
"2016-09-30 15:20",12.6,12.61,12.6,12.6,0.01,+0.08%,0
"2016-09-30 15:19",12.6,12.6,12.59,12.59,-0.01,-0.08%,0
"2016-09-30 15:18",12.62,12.62,12.6,12.6,-0.03,-0.24%,0
"2016-09-30 15:17",12.58,12.63,12.58,12.63,0.1,+0.80%,0
"2016-09-30 15:16",12.59,12.59,12.53,12.53,-0.06,-0.48%,0
"2016-09-30 15:15",12.59,12.59,12.59,12.59,0,0.00%,0
"2016-09-30 15:14",12.6,12.6,12.59,12.59,0.02,+0.16%,0
"2016-09-30 15:13",12.59,12.59,12.57,12.57,-0.02,-0.16%,0
"2016-09-30 15:12",12.57,12.59,12.57,12.59,0.02,+0.16%,0
"2016-09-30 15:11",12.61,12.61,12.57,12.57,-0.06,-0.48%,0
"2016-09-30 15:10",12.63,12.63,12.63,12.63,0,0.00%,0
"2016-09-30 15:09",12.62,12.63,12.62,12.63,-0.02,-0.16%,0
"2016-09-30 15:08",12.65,12.65,12.64,12.65,0.01,+0.08%,0
"2016-09-30 15:07",12.65,12.65,12.64,12.64,-0.01,-0.08%,0
"2016-09-30 15:06",12.65,12.66,12.65,12.65,-0.02,-0.16%,0
"2016-09-30 15:05",12.64,12.68,12.64,12.67,0.01,+0.08%,0
"2016-09-30 15:04",12.65,12.66,12.65,12.66,0.02,+0.16%,0
"2016-09-30 15:03",12.64,12.64,12.64,12.64,0,0.00%,0
"2016-09-30 15:02",12.63,12.65,12.63,12.64,-0.07,-0.55%,0
"2016-09-30 15:01",12.7,12.72,12.7,12.71,-0.01,-0.08%,0
"2016-09-30 15:00",12.74,12.74,12.72,12.72,-0.02,-0.16%,0
"2016-09-30 14:59",12.74,12.75,12.74,12.74,0,0.00%,0
"2016-09-30 14:58",12.78,12.78,12.74,12.74,-0.05,-0.39%,0
"2016-09-30 14:57",12.78,12.79,12.78,12.79,0,0.00%,0
"2016-09-30 14:56",12.8,12.8,12.79,12.79,-0.02,-0.16%,0
"2016-09-30 14:55",12.81,12.81,12.8,12.81,0,0.00%,0
"2016-09-30 14:54",12.81,12.82,12.8,12.81,-0.01,-0.08%,0
"2016-09-30 14:53",12.82,12.82,12.81,12.82,0.01,+0.08%,0
"2016-09-30 14:52",12.81,12.82,12.8,12.81,0.01,+0.08%,0
"2016-09-30 14:51",12.78,12.8,12.78,12.8,0.04,+0.31%,0
"2016-09-30 14:50",12.75,12.76,12.75,12.76,0.01,+0.08%,0
"2016-09-30 14:49",12.73,12.75,12.72,12.75,0,0.00%,0
"2016-09-30 14:48",12.75,12.75,12.75,12.75,0.01,+0.08%,0
"2016-09-30 14:47",12.74,12.74,12.74,12.74,0,0.00%,0
"2016-09-30 14:46",12.72,12.74,12.72,12.74,0.02,+0.16%,0
"2016-09-30 14:45",12.76,12.76,12.72,12.72,-0.04,-0.31%,0
"2016-09-30 14:44",12.75,12.77,12.75,12.76,0.03,+0.24%,0
"2016-09-30 14:43",12.69,12.73,12.69,12.73,0.02,+0.16%,0
"2016-09-30 14:42",12.7,12.71,12.7,12.71,0.01,+0.08%,0
"2016-09-30 14:41",12.72,12.72,12.7,12.7,-0.02,-0.16%,0
"2016-09-30 14:40",12.72,12.72,12.72,12.72,0.01,+0.08%,0
"2016-09-30 14:39",12.72,12.73,12.71,12.71,-0.04,-0.31%,0
"2016-09-30 14:38",12.75,12.75,12.75,12.75,-0.01,-0.08%,0
"2016-09-30 14:37",12.77,12.77,12.76,12.76,0,0.00%,0
"2016-09-30 14:36",12.73,12.76,12.73,12.76,0.03,+0.24%,0
"2016-09-30 14:35",12.73,12.73,12.72,12.73,0,0.00%,0
"2016-09-30 14:34",12.73,12.73,12.73,12.73,-0.01,-0.08%,0
"2016-09-30 14:33",12.73,12.75,12.73,12.74,0.02,+0.16%,0
"2016-09-30 14:32",12.7,12.72,12.7,12.72,0.02,+0.16%,0
"2016-09-30 14:31",12.71,12.71,12.69,12.7,-0.01,-0.08%,0
"2016-09-30 14:30",12.75,12.75,12.71,12.71,-0.03,-0.24%,0
"2016-09-30 14:29",12.74,12.74,12.74,12.74,0,0.00%,0
"2016-09-30 14:28",12.75,12.75,12.74,12.74,-0.02,-0.16%,0
"2016-09-30 14:27",12.77,12.77,12.75,12.76,0,0.00%,0
"2016-09-30 14:26",12.78,12.78,12.76,12.76,-0.03,-0.23%,0
"2016-09-30 14:25",12.79,12.79,12.79,12.79,0,0.00%,0
"2016-09-30 14:24",12.8,12.81,12.79,12.79,0.01,+0.08%,0
"2016-09-30 14:23",12.78,12.79,12.78,12.78,-0.01,-0.08%,0
"2016-09-30 14:22",12.79,12.81,12.79,12.79,0,0.00%,0
"2016-09-30 14:21",12.78,12.79,12.78,12.79,0.01,+0.08%,0
"2016-09-30 14:20",12.81,12.81,12.78,12.78,-0.03,-0.23%,0
"2016-09-30 14:19",12.82,12.82,12.81,12.81,-0.01,-0.08%,0
"2016-09-30 14:18",12.79,12.82,12.79,12.82,0.03,+0.23%,0
"2016-09-30 14:17",12.75,12.79,12.75,12.79,0.05,+0.39%,0
"2016-09-30 14:16",12.78,12.78,12.74,12.74,-0.01,-0.08%,0
"2016-09-30 14:15",12.82,12.82,12.75,12.75,-0.05,-0.39%,0
"2016-09-30 14:14",12.75,12.8,12.75,12.8,0.05,+0.39%,0
"2016-09-30 14:13",12.76,12.76,12.75,12.75,-0.01,-0.08%,0
"2016-09-30 14:12",12.81,12.81,12.76,12.76,-0.06,-0.47%,0
"2016-09-30 14:11",12.85,12.85,12.82,12.82,-0.04,-0.31%,0
"2016-09-30 14:10",12.86,12.86,12.85,12.86,0.01,+0.08%,0
"2016-09-30 14:09",12.84,12.86,12.84,12.85,0.01,+0.08%,0
"2016-09-30 14:08",12.84,12.84,12.83,12.84,0,0.00%,0
"2016-09-30 14:07",12.83,12.84,12.83,12.84,0.01,+0.08%,0
"2016-09-30 14:06",12.83,12.83,12.83,12.83,-0.01,-0.08%,0
"2016-09-30 14:05",12.85,12.85,12.84,12.84,0.02,+0.16%,0
"2016-09-30 14:04",12.84,12.84,12.82,12.82,-0.02,-0.16%,0
"2016-09-30 14:03",12.82,12.84,12.81,12.84,0,0.00%,0
"2016-09-30 14:02",12.84,12.84,12.82,12.84,-0.02,-0.16%,0
"2016-09-30 14:01",12.86,12.87,12.86,12.86,0.01,+0.08%,0
"2016-09-30 14:00",12.85,12.88,12.85,12.85,0.02,+0.16%,0
"2016-09-30 13:59",12.84,12.84,12.83,12.83,-0.05,-0.39%,0
"2016-09-30 13:58",12.85,12.88,12.85,12.88,0.02,+0.16%,0
"2016-09-30 13:57",12.87,12.87,12.86,12.86,-0.01,-0.08%,0
"2016-09-30 13:56",12.89,12.89,12.87,12.87,0,0.00%,0
"2016-09-30 13:55",12.83,12.87,12.83,12.87,0.05,+0.39%,0
"2016-09-30 13:54",12.82,12.82,12.82,12.82,0,0.00%,0
"2016-09-30 13:53",12.84,12.84,12.82,12.82,-0.03,-0.23%,0
"2016-09-30 13:52",12.85,12.86,12.85,12.85,0.01,+0.08%,0
"2016-09-30 13:51",12.88,12.88,12.84,12.84,-0.04,-0.31%,0
"2016-09-30 13:50",12.84,12.88,12.83,12.88,0.02,+0.16%,0
"2016-09-30 13:49",12.87,12.87,12.84,12.86,-0.01,-0.08%,0
"2016-09-30 13:48",12.86,12.87,12.86,12.87,0,0.00%,0
"2016-09-30 13:47",12.9,12.9,12.87,12.87,-0.02,-0.16%,0
"2016-09-30 13:46",12.89,12.89,12.89,12.89,0.01,+0.08%,0
"2016-09-30 13:45",12.89,12.89,12.87,12.88,0,0.00%,0
"2016-09-30 13:44",12.91,12.91,12.88,12.88,-0.04,-0.31%,0
"2016-09-30 13:43",12.97,12.97,12.92,12.92,-0.06,-0.46%,0
"2016-09-30 13:42",12.97,12.98,12.97,12.98,0.01,+0.08%,0
"2016-09-30 13:41",12.94,12.97,12.94,12.97,0.05,+0.39%,0
"2016-09-30 13:40",12.98,12.98,12.92,12.92,-0.06,-0.46%,0
"2016-09-30 13:39",12.98,12.98,12.98,12.98,-0.01,-0.08%,0
"2016-09-30 13:38",13.02,13.02,12.99,12.99,-0.05,-0.38%,0
"2016-09-30 13:37",13.03,13.04,13.03,13.04,0.01,+0.08%,0
"2016-09-30 13:36",13.02,13.03,13.02,13.03,0.02,+0.15%,0
"2016-09-30 13:35",13.02,13.02,13.01,13.01,-0.04,-0.31%,0
"2016-09-30 13:34",13.07,13.07,13.05,13.05,-0.04,-0.31%,0
"2016-09-30 13:33",13.1,13.12,13.09,13.09,-0.01,-0.08%,0
"2016-09-30 13:32",13.08,13.1,13.08,13.1,0.02,+0.15%,0
"2016-09-30 13:31",13.06,13.08,13.06,13.08,0.02,+0.15%,0
"2016-09-30 13:30",13.06,13.07,13.06,13.06,0,0.00%,0
"2016-09-30 13:29",13.07,13.07,13.06,13.06,0,0.00%,0
"2016-09-30 13:28",13.01,13.06,13.01,13.06,0.05,+0.38%,0
"2016-09-30 13:27",12.97,13.01,12.97,13.01,0.04,+0.31%,0
"2016-09-30 13:26",12.97,12.97,12.97,12.97,0,0.00%,0
"2016-09-30 13:25",12.96,12.97,12.96,12.97,0.01,+0.08%,0
"2016-09-30 13:24",12.93,12.97,12.93,12.96,0.05,+0.39%,0
"2016-09-30 13:23",12.91,12.91,12.91,12.91,0.01,+0.08%,0
"2016-09-30 13:22",12.92,12.92,12.9,12.9,-0.02,-0.15%,0
"2016-09-30 13:21",12.9,12.92,12.9,12.92,0.01,+0.08%,0
"2016-09-30 13:20",12.93,12.93,12.91,12.91,-0.02,-0.15%,0
"2016-09-30 13:19",12.91,12.94,12.91,12.93,0.03,+0.23%,0
"2016-09-30 13:18",12.93,12.93,12.9,12.9,-0.04,-0.31%,0
"2016-09-30 13:17",12.9,12.94,12.9,12.94,0.09,+0.70%,0
"2016-09-30 13:16",12.84,12.85,12.83,12.85,0.02,+0.16%,0
"2016-09-30 13:15",12.83,12.84,12.83,12.83,0,0.00%,0
"2016-09-30 13:14",12.84,12.84,12.83,12.83,0,0.00%,0
"2016-09-30 13:13",12.83,12.83,12.83,12.83,0,0.00%,0
"2016-09-30 13:12",12.8,12.83,12.8,12.83,0.03,+0.23%,0
"2016-09-30 13:11",12.8,12.8,12.79,12.8,-0.01,-0.08%,0
"2016-09-30 13:10",12.82,12.82,12.81,12.81,-0.01,-0.08%,0
"2016-09-30 13:09",12.82,12.82,12.81,12.82,0,0.00%,0
"2016-09-30 13:08",12.78,12.82,12.78,12.82,0.05,+0.39%,0
"2016-09-30 13:07",12.76,12.78,12.76,12.77,0.01,+0.08%,0
"2016-09-30 13:06",12.77,12.77,12.74,12.76,-0.01,-0.08%,0
"2016-09-30 13:05",12.77,12.77,12.77,12.77,-0.01,-0.08%,0
"2016-09-30 13:04",12.78,12.78,12.77,12.78,0.01,+0.08%,0
"2016-09-30 13:03",12.81,12.81,12.77,12.77,-0.05,-0.39%,0
"2016-09-30 13:02",12.79,12.82,12.79,12.82,0.02,+0.16%,0
"2016-09-30 13:01",12.81,12.81,12.8,12.8,-0.02,-0.16%,0
"2016-09-30 13:00",12.84,12.84,12.82,12.82,0.02,+0.16%,0
"2016-09-30 12:59",12.78,12.8,12.75,12.8,0.02,+0.16%,0
"2016-09-30 12:58",12.76,12.78,12.76,12.78,0.02,+0.16%,0
"2016-09-30 12:57",12.75,12.76,12.74,12.76,0.04,+0.31%,0
"2016-09-30 12:56",12.7,12.72,12.69,12.72,0.01,+0.08%,0
"2016-09-30 12:55",12.73,12.73,12.71,12.71,-0.01,-0.08%,0
"2016-09-30 12:54",12.71,12.72,12.71,12.72,0.01,+0.08%,0
"2016-09-30 12:53",12.7,12.71,12.7,12.71,0,0.00%,0
"2016-09-30 12:52",12.74,12.74,12.7,12.71,-0.03,-0.24%,0
"2016-09-30 12:51",12.75,12.76,12.74,12.74,-0.01,-0.08%,0
"2016-09-30 12:50",12.7,12.75,12.7,12.75,0,0.00%,0
"2016-09-30 12:49",12.76,12.76,12.75,12.75,-0.01,-0.08%,0
"2016-09-30 12:48",12.76,12.76,12.75,12.76,0.01,+0.08%,0
"2016-09-30 12:47",12.75,12.75,12.73,12.75,0.01,+0.08%,0
"2016-09-30 12:46",12.72,12.74,12.72,12.74,0.02,+0.16%,0
"2016-09-30 12:45",12.71,12.72,12.71,12.72,-0.03,-0.24%,0
"2016-09-30 12:44",12.77,12.77,12.75,12.75,0,0.00%,0
"2016-09-30 12:43",12.76,12.76,12.74,12.75,0,0.00%,0
"2016-09-30 12:42",12.83,12.83,12.75,12.75,-0.07,-0.55%,0
"2016-09-30 12:41",12.7,12.82,12.7,12.82,0.17,+1.34%,0
"2016-09-30 12:40",12.67,12.67,12.64,12.65,-0.05,-0.39%,0
"2016-09-30 12:39",12.72,12.72,12.7,12.7,-0.03,-0.24%,0
