Time,Open,High,Low,Latest,Change,%Change,Volume
"2024-08-01 09:31",12.95,13.04,12.89,12.89,-3.07,-19.24%,0
"2024-08-01 09:32",12.82,12.82,12.57,12.57,-0.32,-2.48%,0
"2024-08-01 09:33",12.47,12.48,12.45,12.47,-0.1,-0.80%,0
"2024-08-01 09:34",12.5,12.5,12.4,12.42,-0.05,-0.40%,0
"2024-08-01 09:35",12.42,12.52,12.42,12.48,0.06,+0.48%,0
"2024-08-01 09:36",12.52,12.57,12.52,12.57,0.09,+0.72%,0
"2024-08-01 09:37",12.46,12.46,12.41,12.45,-0.12,-0.95%,0
"2024-08-01 09:38",12.46,12.49,12.43,12.49,0.04,+0.32%,0
"2024-08-01 09:39",12.5,12.57,12.4,12.4,-0.09,-0.72%,0
"2024-08-01 09:40",12.43,12.49,12.43,12.43,0.03,+0.24%,0
"2024-08-01 09:41",12.37,12.38,12.27,12.29,-0.14,-1.13%,0
"2024-08-01 09:42",12.31,12.33,12.25,12.25,-0.04,-0.33%,0
"2024-08-01 09:43",12.21,12.21,12.11,12.11,-0.14,-1.14%,0
"2024-08-01 09:44",11.97,12.14,11.97,12.14,0.03,+0.25%,0
"2024-08-01 09:45",12.22,12.22,12.19,12.2,0.06,+0.49%,0
"2024-08-01 09:46",12.28,12.31,12.26,12.27,0.07,+0.57%,0
"2024-08-01 09:47",12.3,12.3,12.22,12.29,0.02,+0.16%,0
"2024-08-01 09:48",12.39,12.42,12.34,12.34,0.05,+0.41%,0
"2024-08-01 09:49",12.28,12.35,12.28,12.35,0.01,+0.08%,0
"2024-08-01 09:50",12.35,12.42,12.35,12.42,0.07,+0.57%,0
"2024-08-01 09:51",12.43,12.43,12.39,12.42,0,0.00%,0
"2024-08-01 09:52",12.53,12.57,12.38,12.38,-0.04,-0.32%,0
"2024-08-01 09:53",12.42,12.42,12.37,12.41,0.03,+0.24%,0
"2024-08-01 09:54",12.37,12.47,12.37,12.47,0.06,+0.48%,0
"2024-08-01 09:55",12.51,12.54,12.51,12.54,0.07,+0.56%,0
"2024-08-01 09:56",12.5,12.53,12.47,12.47,-0.07,-0.56%,0
"2024-08-01 09:57",12.45,12.45,12.4,12.4,-0.07,-0.56%,0
"2024-08-01 09:58",12.44,12.61,12.44,12.61,0.21,+1.69%,0
"2024-08-01 09:59",12.56,12.62,12.56,12.59,-0.02,-0.16%,0
"2024-08-01 10:00",12.63,12.63,12.36,12.52,-0.07,-0.56%,0
"2024-08-01 10:01",12.38,12.6,12.38,12.55,0.03,+0.24%,0
"2024-08-01 10:02",12.45,12.49,12.38,12.38,-0.17,-1.35%,0
"2024-08-01 10:03",12.25,12.35,12.25,12.35,-0.03,-0.24%,0
"2024-08-01 10:04",12.4,12.59,12.4,12.59,0.24,+1.94%,0
"2024-08-01 10:05",12.7,12.81,12.7,12.81,0.22,+1.75%,0
"2024-08-01 10:06",12.88,12.88,12.85,12.85,0.04,+0.31%,0
"2024-08-01 10:07",12.88,13.1,12.88,12.96,0.11,+0.86%,0
"2024-08-01 10:08",12.85,12.85,12.66,12.66,-0.3,-2.31%,0
"2024-08-01 10:09",12.77,13.07,12.77,13.07,0.41,+3.24%,0
"2024-08-01 10:10",13.12,13.23,13.07,13.23,0.16,+1.22%,0
"2024-08-01 10:11",13.35,13.35,13.23,13.25,0.02,+0.15%,0
"2024-08-01 10:12",13.33,13.33,13.29,13.3,0.05,+0.38%,0
"2024-08-01 10:13",13.26,13.26,13.01,13.01,-0.29,-2.18%,0
"2024-08-01 10:14",12.97,13.17,12.97,13.17,0.16,+1.23%,0
"2024-08-01 10:15",13.21,13.43,13.21,13.43,0.26,+1.97%,0
"2024-08-01 10:16",13.43,13.46,13.26,13.46,0.03,+0.22%,0
"2024-08-01 10:17",13.5,13.5,13.4,13.4,-0.06,-0.45%,0
"2024-08-01 10:18",13.36,13.46,13.31,13.44,0.04,+0.30%,0
"2024-08-01 10:19",13.45,13.46,13.28,13.28,-0.16,-1.19%,0
"2024-08-01 10:20",13.3,13.3,13.21,13.24,-0.04,-0.30%,0
"2024-08-01 10:21",13.34,13.66,13.34,13.66,0.42,+3.17%,0
"2024-08-01 10:22",13.59,14.08,13.59,14.08,0.42,+3.07%,0
"2024-08-01 10:23",14.18,14.29,14.18,14.29,0.21,+1.49%,0
"2024-08-01 10:24",14.21,14.21,13.87,13.87,-0.42,-2.94%,0
"2024-08-01 10:25",13.89,13.91,13.88,13.89,0.02,+0.14%,0
"2024-08-01 10:26",13.96,14.08,13.92,13.92,0.03,+0.22%,0
"2024-08-01 10:27",13.86,13.96,13.86,13.96,0.04,+0.29%,0
"2024-08-01 10:28",13.96,14.01,13.96,14,0.04,+0.29%,0
"2024-08-01 10:29",14.04,14.34,14.04,14.32,0.32,+2.29%,0
"2024-08-01 10:30",14.4,14.4,14.24,14.24,-0.08,-0.56%,0
"2024-08-01 10:31",14.22,14.55,14.22,14.55,0.31,+2.18%,0
"2024-08-01 10:32",14.64,14.85,14.64,14.85,0.3,+2.06%,0
"2024-08-01 10:33",14.94,15.07,14.89,14.89,0.04,+0.27%,0
"2024-08-01 10:34",14.83,14.83,14.67,14.67,-0.22,-1.48%,0
"2024-08-01 10:35",14.63,15.07,14.63,15.07,0.4,+2.73%,0
"2024-08-01 10:36",15.12,15.39,15.12,15.39,0.32,+2.12%,0
"2024-08-01 10:37",15.48,15.48,15.35,15.48,0.09,+0.58%,0
"2024-08-01 10:38",15.56,15.56,15.04,15.04,-0.44,-2.84%,0
"2024-08-01 10:39",15.09,15.26,15.09,15.26,0.22,+1.46%,0
"2024-08-01 10:40",15.26,15.28,15.22,15.22,-0.04,-0.26%,0
"2024-08-01 10:41",15.16,15.31,15.16,15.31,0.09,+0.59%,0
"2024-08-01 10:42",15.29,15.38,15.29,15.31,0,0.00%,0
"2024-08-01 10:43",15.37,15.51,15.37,15.41,0.1,+0.65%,0
"2024-08-01 10:44",15.39,15.39,15.23,15.23,-0.18,-1.17%,0
"2024-08-01 10:45",15.29,15.49,15.29,15.49,0.26,+1.71%,0
"2024-08-01 10:46",15.49,15.49,15.37,15.38,-0.11,-0.71%,0
"2024-08-01 10:47",15.41,15.51,15.41,15.51,0.13,+0.85%,0
"2024-08-01 10:48",15.39,15.84,15.39,15.84,0.33,+2.13%,0
"2024-08-01 10:49",15.9,15.9,15.83,15.87,0.03,+0.19%,0
"2024-08-01 10:50",15.94,15.94,15.52,15.52,-0.35,-2.21%,0
"2024-08-01 10:51",15.48,15.63,15.48,15.63,0.11,+0.71%,0
"2024-08-01 10:52",15.55,15.65,15.55,15.56,-0.07,-0.45%,0
"2024-08-01 10:53",15.53,15.56,15.53,15.55,-0.01,-0.06%,0
"2024-08-01 10:54",15.53,15.57,15.52,15.52,-0.03,-0.19%,0
"2024-08-01 10:55",15.57,15.65,15.57,15.65,0.13,+0.84%,0
"2024-08-01 10:56",15.59,15.68,15.59,15.6,-0.05,-0.32%,0
"2024-08-01 10:57",15.58,15.67,15.58,15.67,0.07,+0.45%,0
"2024-08-01 10:58",15.68,15.74,15.68,15.72,0.05,+0.32%,0
"2024-08-01 10:59",15.75,15.88,15.75,15.88,0.16,+1.02%,0
"2024-08-01 11:00",15.87,16.11,15.87,16.11,0.23,+1.45%,0
