Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-07-01 09:31",8.66,8.66,8.54,8.55,-1.62,-15.93%,0
"2025-07-01 09:32",8.52,8.52,8.37,8.38,-0.17,-1.99%,0
"2025-07-01 09:33",8.31,8.41,8.31,8.38,0,0.00%,0
"2025-07-01 09:34",8.38,8.42,8.37,8.37,-0.01,-0.12%,0
"2025-07-01 09:35",8.32,8.35,8.32,8.33,-0.04,-0.48%,0
"2025-07-01 09:36",8.31,8.33,8.31,8.33,0,0.00%,0
"2025-07-01 09:37",8.36,8.4,8.36,8.39,0.06,+0.72%,0
"2025-07-01 09:38",8.36,8.36,8.33,8.36,-0.03,-0.36%,0
"2025-07-01 09:39",8.34,8.36,8.34,8.35,-0.01,-0.12%,0
"2025-07-01 09:40",8.29,8.3,8.26,8.3,-0.05,-0.60%,0
"2025-07-01 09:41",8.32,8.35,8.3,8.3,0,0.00%,0
"2025-07-01 09:42",8.29,8.37,8.29,8.37,0.07,+0.84%,0
"2025-07-01 09:43",8.32,8.39,8.32,8.38,0.01,+0.12%,0
"2025-07-01 09:44",8.39,8.46,8.39,8.42,0.04,+0.48%,0
"2025-07-01 09:45",8.37,8.37,8.24,8.26,-0.16,-1.90%,0
"2025-07-01 09:46",8.23,8.25,8.22,8.25,-0.01,-0.12%,0
"2025-07-01 09:47",8.24,8.26,8.22,8.26,0.01,+0.12%,0
"2025-07-01 09:48",8.25,8.27,8.22,8.24,-0.02,-0.24%,0
"2025-07-01 09:49",8.21,8.3,8.21,8.27,0.03,+0.36%,0
"2025-07-01 09:50",8.23,8.31,8.23,8.31,0.04,+0.48%,0
"2025-07-01 09:51",8.34,8.34,8.28,8.33,0.02,+0.24%,0
"2025-07-01 09:52",8.36,8.39,8.32,8.32,-0.01,-0.12%,0
"2025-07-01 09:53",8.28,8.28,8.24,8.24,-0.08,-0.96%,0
"2025-07-01 09:54",8.23,8.26,8.23,8.26,0.02,+0.24%,0
"2025-07-01 09:55",8.28,8.3,8.27,8.3,0.04,+0.48%,0
"2025-07-01 09:56",8.29,8.36,8.29,8.36,0.06,+0.72%,0
"2025-07-01 09:57",8.36,8.37,8.32,8.35,-0.01,-0.12%,0
"2025-07-01 09:58",8.36,8.39,8.36,8.39,0.04,+0.48%,0
"2025-07-01 09:59",8.38,8.41,8.38,8.41,0.02,+0.24%,0
"2025-07-01 10:00",8.4,8.4,8,8,-0.41,-4.88%,0
"2025-07-01 10:01",8.01,8.06,7.99,8.01,0.01,+0.13%,0
"2025-07-01 10:02",7.96,8.01,7.91,7.91,-0.1,-1.25%,0
"2025-07-01 10:03",7.9,7.91,7.86,7.91,0,0.00%,0
"2025-07-01 10:04",7.91,7.91,7.88,7.88,-0.03,-0.38%,0
"2025-07-01 10:05",7.88,7.88,7.77,7.77,-0.11,-1.40%,0
"2025-07-01 10:06",7.75,7.77,7.75,7.77,0,0.00%,0
"2025-07-01 10:07",7.8,7.8,7.79,7.79,0.02,+0.26%,0
"2025-07-01 10:08",7.79,7.79,7.77,7.77,-0.02,-0.26%,0
"2025-07-01 10:09",7.77,7.8,7.77,7.8,0.03,+0.39%,0
