Time,Open,High,Low,Latest,Change,%Change,Volume
"2023-06-01 09:31",10.52,10.72,10.52,10.72,-4.38,-29.01%,0
"2023-06-01 09:32",10.86,10.98,10.86,10.96,0.24,+2.24%,0
"2023-06-01 09:33",10.66,10.66,10.37,10.37,-0.59,-5.38%,0
"2023-06-01 09:34",10.35,10.53,10.35,10.5,0.13,+1.25%,0
"2023-06-01 09:35",10.52,10.55,10.52,10.54,0.04,+0.38%,0
"2023-06-01 09:36",10.52,10.56,10.51,10.51,-0.03,-0.28%,0
"2023-06-01 09:37",10.38,10.38,10.37,10.38,-0.13,-1.24%,0
"2023-06-01 09:38",10.38,10.41,10.38,10.4,0.02,+0.19%,0
"2023-06-01 09:39",10.4,10.4,10.31,10.31,-0.09,-0.87%,0
"2023-06-01 09:40",10.26,10.31,10.26,10.31,0,0.00%,0
"2023-06-01 09:41",10.29,10.29,10.23,10.23,-0.08,-0.78%,0
"2023-06-01 09:42",10.27,10.29,10.27,10.28,0.05,+0.49%,0
"2023-06-01 09:43",10.28,10.36,10.28,10.36,0.08,+0.78%,0
"2023-06-01 09:44",10.35,10.45,10.35,10.45,0.09,+0.87%,0
"2023-06-01 09:45",10.46,10.46,10.37,10.39,-0.06,-0.57%,0
"2023-06-01 09:46",10.36,10.36,10.32,10.32,-0.07,-0.67%,0
"2023-06-01 09:47",10.35,10.35,10.3,10.3,-0.02,-0.19%,0
"2023-06-01 09:48",10.29,10.39,10.29,10.39,0.09,+0.87%,0
"2023-06-01 09:49",10.37,10.42,10.35,10.35,-0.04,-0.38%,0
"2023-06-01 09:50",10.31,10.4,10.31,10.4,0.05,+0.48%,0
"2023-06-01 09:51",10.38,10.41,10.38,10.39,-0.01,-0.10%,0
"2023-06-01 09:52",10.35,10.35,10.23,10.27,-0.12,-1.15%,0
"2023-06-01 09:53",10.29,10.36,10.29,10.36,0.09,+0.88%,0
"2023-06-01 09:54",10.32,10.36,10.32,10.36,0,0.00%,0
"2023-06-01 09:55",10.34,10.4,10.34,10.4,0.04,+0.39%,0
"2023-06-01 09:56",10.41,10.41,10.31,10.31,-0.09,-0.87%,0
"2023-06-01 09:57",10.27,10.33,10.27,10.3,-0.01,-0.10%,0
"2023-06-01 09:58",10.25,10.29,10.25,10.29,-0.01,-0.10%,0
"2023-06-01 09:59",10.27,10.32,10.27,10.31,0.02,+0.19%,0
"2023-06-01 10:00",10.28,10.28,9.93,9.93,-0.38,-3.69%,0
"2023-06-01 10:01",9.99,10.1,9.99,10.09,0.16,+1.61%,0
"2023-06-01 10:02",10.09,10.15,10.09,10.15,0.06,+0.59%,0
"2023-06-01 10:03",10.15,10.23,10.1,10.1,-0.05,-0.49%,0
"2023-06-01 10:04",10.1,10.22,10.08,10.08,-0.02,-0.20%,0
"2023-06-01 10:05",10.13,10.14,10.13,10.14,0.06,+0.60%,0
"2023-06-01 10:06",10.09,10.12,10.06,10.06,-0.08,-0.79%,0
"2023-06-01 10:07",10.06,10.07,9.93,9.93,-0.13,-1.29%,0
"2023-06-01 10:08",9.97,9.99,9.97,9.99,0.06,+0.60%,0
"2023-06-01 10:09",9.94,9.99,9.94,9.97,-0.02,-0.20%,0
"2023-06-01 10:10",9.99,10.04,9.99,10,0.03,+0.30%,0
"2023-06-01 10:11",10,10.05,10,10.05,0.05,+0.50%,0
"2023-06-01 10:12",10.03,10.05,9.92,9.92,-0.13,-1.29%,0
"2023-06-01 10:13",9.92,10,9.92,9.98,0.06,+0.60%,0
"2023-06-01 10:14",9.99,10.03,9.98,10.03,0.05,+0.50%,0
"2023-06-01 10:15",9.96,10.03,9.96,10.03,0,0.00%,0
"2023-06-01 10:16",10.03,10.05,10.02,10.04,0.01,+0.10%,0
"2023-06-01 10:17",10,10.16,10,10.14,0.1,+1.00%,0
"2023-06-01 10:18",10.17,10.34,10.17,10.34,0.2,+1.97%,0
"2023-06-01 10:19",10.32,10.32,10.28,10.31,-0.03,-0.29%,0
"2023-06-01 10:20",10.29,10.31,10.29,10.3,-0.01,-0.10%,0
"2023-06-01 10:21",10.28,10.31,10.28,10.29,-0.01,-0.10%,0
"2023-06-01 10:22",10.3,10.32,10.18,10.18,-0.11,-1.07%,0
"2023-06-01 10:23",10.18,10.28,10.18,10.28,0.1,+0.98%,0
"2023-06-01 10:24",10.26,10.3,10.26,10.27,-0.01,-0.10%,0
"2023-06-01 10:25",10.26,10.3,10.26,10.28,0.01,+0.10%,0
"2023-06-01 10:26",10.3,10.35,10.3,10.33,0.05,+0.49%,0
"2023-06-01 10:27",10.27,10.31,10.27,10.29,-0.04,-0.39%,0
"2023-06-01 10:28",10.28,10.28,10.18,10.19,-0.1,-0.97%,0
"2023-06-01 10:29",10.2,10.23,10.2,10.22,0.03,+0.29%,0
"2023-06-01 10:30",10.22,10.24,10.21,10.21,-0.01,-0.10%,0
"2023-06-01 10:31",10.18,10.24,10.18,10.24,0.03,+0.29%,0
"2023-06-01 10:32",10.22,10.26,10.21,10.21,-0.03,-0.29%,0
"2023-06-01 10:33",10.21,10.24,10.21,10.22,0.01,+0.10%,0
"2023-06-01 10:34",10.2,10.24,10.18,10.18,-0.04,-0.39%,0
"2023-06-01 10:35",10.16,10.21,10.16,10.16,-0.02,-0.20%,0
"2023-06-01 10:36",10.12,10.17,10.12,10.16,0,0.00%,0
"2023-06-01 10:37",10.16,10.19,10.15,10.16,0,0.00%,0
"2023-06-01 10:38",10.13,10.15,10.13,10.13,-0.03,-0.30%,0
"2023-06-01 10:39",10.14,10.17,10.09,10.09,-0.04,-0.39%,0
"2023-06-01 10:40",10.07,10.07,10.05,10.06,-0.03,-0.30%,0
"2023-06-01 10:41",10.05,10.11,10.05,10.06,0,0.00%,0
"2023-06-01 10:42",10.06,10.13,10.04,10.11,0.05,+0.50%,0
"2023-06-01 10:43",10,10.13,10,10.13,0.02,+0.20%,0
"2023-06-01 10:44",10.17,10.17,10.11,10.12,-0.01,-0.10%,0
"2023-06-01 10:45",10.1,10.14,10.1,10.1,-0.02,-0.20%,0
"2023-06-01 10:46",10.14,10.31,10.14,10.3,0.2,+1.98%,0
"2023-06-01 10:47",10.37,10.44,10.36,10.36,0.06,+0.58%,0
"2023-06-01 10:48",10.26,10.4,10.26,10.36,0,0.00%,0
"2023-06-01 10:49",10.34,10.44,10.34,10.37,0.01,+0.10%,0
"2023-06-01 10:50",10.39,10.41,10.39,10.39,0.02,+0.19%,0
"2023-06-01 10:51",10.43,10.45,10.43,10.44,0.05,+0.48%,0
"2023-06-01 10:52",10.46,10.48,10.46,10.46,0.02,+0.19%,0
"2023-06-01 10:53",10.45,10.47,10.45,10.47,0.01,+0.10%,0
"2023-06-01 10:54",10.46,10.53,10.46,10.53,0.06,+0.57%,0
"2023-06-01 10:55",10.51,10.58,10.51,10.56,0.03,+0.28%,0
"2023-06-01 10:56",10.56,10.6,10.56,10.6,0.04,+0.38%,0
"2023-06-01 10:57",10.56,10.56,10.46,10.48,-0.12,-1.13%,0
"2023-06-01 10:58",10.47,10.52,10.47,10.52,0.04,+0.38%,0
