Time,Open,High,Low,Latest,Change,%Change,Volume
"2024-03-01 09:31",8.95,8.95,8.79,8.79,-2.16,-19.73%,0
"2024-03-01 09:32",8.73,8.74,8.73,8.73,-0.06,-0.68%,0
"2024-03-01 09:33",8.72,8.82,8.72,8.82,0.09,+1.03%,0
"2024-03-01 09:34",8.81,8.85,8.81,8.84,0.02,+0.23%,0
"2024-03-01 09:35",8.85,8.86,8.84,8.84,0,0.00%,0
"2024-03-01 09:36",8.85,8.85,8.81,8.82,-0.02,-0.23%,0
"2024-03-01 09:37",8.78,8.81,8.78,8.8,-0.02,-0.23%,0
"2024-03-01 09:38",8.82,8.82,8.77,8.77,-0.03,-0.34%,0
"2024-03-01 09:39",8.79,8.88,8.79,8.88,0.11,+1.25%,0
"2024-03-01 09:40",8.86,8.91,8.86,8.91,0.03,+0.34%,0
"2024-03-01 09:41",8.92,9.08,8.92,9.08,0.17,+1.91%,0
"2024-03-01 09:42",9.11,9.12,8.92,8.92,-0.16,-1.76%,0
"2024-03-01 09:43",8.9,8.9,8.88,8.9,-0.02,-0.22%,0
"2024-03-01 09:44",8.91,9.02,8.91,9.02,0.12,+1.35%,0
"2024-03-01 09:45",9.01,9.06,8.92,8.92,-0.1,-1.11%,0
"2024-03-01 09:46",8.91,8.91,8.9,8.9,-0.02,-0.22%,0
"2024-03-01 09:47",8.85,8.91,8.85,8.91,0.01,+0.11%,0
"2024-03-01 09:48",8.91,8.99,8.9,8.9,-0.01,-0.11%,0
"2024-03-01 09:49",8.84,8.88,8.84,8.87,-0.03,-0.34%,0
"2024-03-01 09:50",8.84,8.89,8.84,8.88,0.01,+0.11%,0
"2024-03-01 09:51",8.89,8.93,8.89,8.9,0.02,+0.23%,0
"2024-03-01 09:52",8.89,8.91,8.89,8.91,0.01,+0.11%,0
"2024-03-01 09:53",8.9,8.96,8.9,8.96,0.05,+0.56%,0
"2024-03-01 09:54",8.95,8.95,8.94,8.95,-0.01,-0.11%,0
"2024-03-01 09:55",8.99,9.04,8.98,8.98,0.03,+0.34%,0
"2024-03-01 09:56",8.92,8.96,8.89,8.89,-0.09,-1.00%,0
"2024-03-01 09:57",8.88,8.88,8.85,8.86,-0.03,-0.34%,0
"2024-03-01 09:58",8.87,8.89,8.87,8.89,0.03,+0.34%,0
"2024-03-01 09:59",8.87,8.91,8.87,8.88,-0.01,-0.11%,0
"2024-03-01 10:00",8.86,8.86,8.48,8.57,-0.31,-3.49%,0
"2024-03-01 10:01",8.58,8.61,8.57,8.57,0,0.00%,0
"2024-03-01 10:02",8.48,8.56,8.48,8.54,-0.03,-0.35%,0
"2024-03-01 10:03",8.59,8.59,8.55,8.58,0.04,+0.47%,0
"2024-03-01 10:04",8.54,8.86,8.54,8.86,0.28,+3.26%,0
"2024-03-01 10:05",8.85,8.85,8.57,8.57,-0.29,-3.27%,0
"2024-03-01 10:06",8.5,8.54,8.5,8.52,-0.05,-0.58%,0
"2024-03-01 10:07",8.54,8.54,8.51,8.52,0,0.00%,0
"2024-03-01 10:08",8.45,8.45,8.33,8.36,-0.16,-1.88%,0
"2024-03-01 10:09",8.37,8.47,8.37,8.47,0.11,+1.32%,0
"2024-03-01 10:10",8.46,8.57,8.46,8.57,0.1,+1.18%,0
"2024-03-01 10:11",8.56,8.59,8.47,8.47,-0.1,-1.17%,0
"2024-03-01 10:12",8.5,8.52,8.49,8.52,0.05,+0.59%,0
"2024-03-01 10:13",8.56,8.56,8.55,8.56,0.04,+0.47%,0
"2024-03-01 10:14",8.58,8.62,8.58,8.59,0.03,+0.35%,0
"2024-03-01 10:15",8.59,8.59,8.45,8.45,-0.14,-1.63%,0
"2024-03-01 10:16",8.46,8.49,8.46,8.49,0.04,+0.47%,0
"2024-03-01 10:17",8.5,8.51,8.5,8.51,0.02,+0.24%,0
"2024-03-01 10:18",8.49,8.5,8.48,8.48,-0.03,-0.35%,0
"2024-03-01 10:19",8.45,8.51,8.45,8.51,0.03,+0.35%,0
"2024-03-01 10:20",8.5,8.5,8.44,8.44,-0.07,-0.82%,0
"2024-03-01 10:21",8.45,8.5,8.45,8.47,0.03,+0.36%,0
"2024-03-01 10:22",8.48,8.51,8.48,8.49,0.02,+0.24%,0
"2024-03-01 10:23",8.5,8.52,8.5,8.52,0.03,+0.35%,0
"2024-03-01 10:24",8.49,8.49,8.43,8.43,-0.09,-1.06%,0
"2024-03-01 10:25",8.41,8.42,8.41,8.42,-0.01,-0.12%,0
