Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-05-01 09:31",19.5,19.5,19.1,19.18,-3.73,-16.28%,0
"2025-05-01 09:32",19.62,19.62,19.29,19.36,0.18,+0.94%,0
"2025-05-01 09:33",19.46,19.58,19.39,19.58,0.22,+1.14%,0
"2025-05-01 09:34",19.64,19.71,19.59,19.59,0.01,+0.05%,0
"2025-05-01 09:35",19.46,19.54,19.4,19.4,-0.19,-0.97%,0
"2025-05-01 09:36",19.36,19.37,19.19,19.19,-0.21,-1.08%,0
"2025-05-01 09:37",19.04,19.12,19,19.12,-0.07,-0.36%,0
"2025-05-01 09:38",18.97,19.14,18.97,19.14,0.02,+0.10%,0
"2025-05-01 09:39",19.28,19.64,19.28,19.61,0.47,+2.46%,0
"2025-05-01 09:40",19.55,19.55,19.35,19.35,-0.26,-1.33%,0
"2025-05-01 09:41",19.52,19.78,19.52,19.78,0.43,+2.22%,0
"2025-05-01 09:42",19.56,19.65,19.55,19.63,-0.15,-0.76%,0
"2025-05-01 09:43",19.66,19.88,19.66,19.8,0.17,+0.87%,0
"2025-05-01 09:44",19.76,19.84,19.54,19.54,-0.26,-1.31%,0
"2025-05-01 09:45",19.55,19.55,19.17,19.17,-0.37,-1.89%,0
"2025-05-01 09:46",19.21,19.21,19.07,19.07,-0.1,-0.52%,0
"2025-05-01 09:47",19.01,19.1,18.96,18.96,-0.11,-0.58%,0
"2025-05-01 09:48",18.97,18.97,18.92,18.92,-0.04,-0.21%,0
"2025-05-01 09:49",18.89,19.2,18.89,19.2,0.28,+1.48%,0
"2025-05-01 09:50",19.17,19.21,19.11,19.14,-0.06,-0.31%,0
"2025-05-01 09:51",19.07,19.18,19,19.18,0.04,+0.21%,0
"2025-05-01 09:52",19.07,19.24,19.07,19.24,0.06,+0.31%,0
"2025-05-01 09:53",19.19,19.23,19.16,19.23,-0.01,-0.05%,0
"2025-05-01 09:54",19.39,19.48,19.39,19.48,0.25,+1.30%,0
"2025-05-01 09:55",19.5,19.76,19.5,19.73,0.25,+1.28%,0
"2025-05-01 09:56",19.6,19.73,19.6,19.73,0,0.00%,0
"2025-05-01 09:57",19.73,19.85,19.73,19.85,0.12,+0.61%,0
"2025-05-01 09:58",19.81,20.12,19.81,20.05,0.2,+1.01%,0
"2025-05-01 09:59",20.04,20.23,20.01,20.23,0.18,+0.90%,0
"2025-05-01 10:00",20.39,20.39,19.74,19.74,-0.49,-2.42%,0
"2025-05-01 10:01",19.74,19.81,19.53,19.53,-0.21,-1.06%,0
"2025-05-01 10:02",19.24,19.54,19.24,19.33,-0.2,-1.02%,0
"2025-05-01 10:03",19.3,19.3,19.14,19.19,-0.14,-0.72%,0
"2025-05-01 10:04",19.1,19.12,19.04,19.12,-0.07,-0.36%,0
"2025-05-01 10:05",19.07,19.07,18.8,18.8,-0.32,-1.67%,0
"2025-05-01 10:06",18.77,18.86,18.72,18.84,0.04,+0.21%,0
"2025-05-01 10:07",18.97,19.1,18.94,19.1,0.26,+1.38%,0
"2025-05-01 10:08",19.05,19.33,19.05,19.14,0.04,+0.21%,0
"2025-05-01 10:09",19.04,19.31,19.04,19.31,0.17,+0.89%,0
"2025-05-01 10:10",19.24,19.29,19.19,19.19,-0.12,-0.62%,0
"2025-05-01 10:11",19.27,19.27,19.18,19.21,0.02,+0.10%,0
"2025-05-01 10:12",19.08,19.18,19.04,19.04,-0.17,-0.88%,0
"2025-05-01 10:13",19.02,19.09,18.9,18.9,-0.14,-0.74%,0
"2025-05-01 10:14",18.73,18.74,18.7,18.7,-0.2,-1.06%,0
"2025-05-01 10:15",18.63,18.63,18.27,18.27,-0.43,-2.30%,0
"2025-05-01 10:16",18.35,18.51,18.35,18.51,0.24,+1.31%,0
"2025-05-01 10:17",18.57,18.62,18.41,18.41,-0.1,-0.54%,0
"2025-05-01 10:18",18.35,18.44,18.34,18.44,0.03,+0.16%,0
"2025-05-01 10:19",18.42,18.48,18.42,18.44,0,0.00%,0
"2025-05-01 10:20",18.49,18.49,18.42,18.47,0.03,+0.16%,0
"2025-05-01 10:21",18.41,18.6,18.41,18.52,0.05,+0.27%,0
"2025-05-01 10:22",18.4,18.47,18.35,18.47,-0.05,-0.27%,0
"2025-05-01 10:23",18.47,18.52,18.44,18.5,0.03,+0.16%,0
"2025-05-01 10:24",18.5,18.5,18.44,18.44,-0.06,-0.32%,0
"2025-05-01 10:25",18.48,18.6,18.48,18.57,0.13,+0.70%,0
"2025-05-01 10:26",18.55,18.59,18.55,18.57,0,0.00%,0
"2025-05-01 10:27",18.54,18.54,18.48,18.5,-0.07,-0.38%,0
"2025-05-01 10:28",18.41,18.45,18.41,18.44,-0.06,-0.32%,0
"2025-05-01 10:29",18.43,18.51,18.43,18.5,0.06,+0.33%,0
"2025-05-01 10:30",18.53,18.56,18.49,18.52,0.02,+0.11%,0
"2025-05-01 10:31",18.55,18.74,18.55,18.74,0.22,+1.19%,0
"2025-05-01 10:32",18.68,18.83,18.68,18.83,0.09,+0.48%,0
"2025-05-01 10:33",18.76,18.89,18.76,18.8,-0.03,-0.16%,0
"2025-05-01 10:34",18.8,18.8,18.67,18.67,-0.13,-0.69%,0
"2025-05-01 10:35",18.66,18.72,18.66,18.68,0.01,+0.05%,0
"2025-05-01 10:36",18.64,18.67,18.56,18.56,-0.12,-0.64%,0
"2025-05-01 10:37",18.55,18.62,18.55,18.59,0.03,+0.16%,0
"2025-05-01 10:38",18.58,18.68,18.58,18.63,0.04,+0.22%,0
"2025-05-01 10:39",18.66,18.66,18.61,18.61,-0.02,-0.11%,0
"2025-05-01 10:40",18.53,18.56,18.47,18.47,-0.14,-0.75%,0
"2025-05-01 10:41",18.41,18.52,18.41,18.52,0.05,+0.27%,0
"2025-05-01 10:42",18.52,18.56,18.49,18.49,-0.03,-0.16%,0
"2025-05-01 10:43",18.51,18.63,18.51,18.61,0.12,+0.65%,0
"2025-05-01 10:44",18.67,18.8,18.67,18.8,0.19,+1.02%,0
"2025-05-01 10:45",18.79,18.81,18.75,18.8,0,0.00%,0
"2025-05-01 10:46",18.84,18.94,18.84,18.91,0.11,+0.59%,0
"2025-05-01 10:47",18.89,18.91,18.76,18.76,-0.15,-0.79%,0
"2025-05-01 10:48",18.71,18.84,18.71,18.84,0.08,+0.43%,0
"2025-05-01 10:49",18.82,18.91,18.82,18.87,0.03,+0.16%,0
"2025-05-01 10:50",18.85,18.92,18.85,18.92,0.05,+0.26%,0
"2025-05-01 10:51",18.95,19.04,18.95,18.96,0.04,+0.21%,0
"2025-05-01 10:52",18.97,18.98,18.95,18.95,-0.01,-0.05%,0
"2025-05-01 10:53",18.94,19,18.94,18.98,0.03,+0.16%,0
"2025-05-01 10:54",18.98,19.06,18.98,19.06,0.08,+0.42%,0
"2025-05-01 10:55",18.98,19.04,18.98,19.01,-0.05,-0.26%,0
"2025-05-01 10:56",18.91,19.08,18.91,19.08,0.07,+0.37%,0
"2025-05-01 10:57",19.07,19.13,19.07,19.09,0.01,+0.05%,0
"2025-05-01 10:58",19.1,19.1,19,19,-0.09,-0.47%,0
