Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-11-03 09:31",9.19,9.23,9.13,9.17,-4.6,-33.41%,0
"2025-11-03 09:32",9.18,9.18,9.06,9.13,-0.04,-0.44%,0
"2025-11-03 09:33",9.19,9.25,9.19,9.25,0.12,+1.31%,0
"2025-11-03 09:34",9.28,9.34,9.24,9.34,0.09,+0.97%,0
"2025-11-03 09:35",9.33,9.63,9.33,9.63,0.29,+3.10%,0
"2025-11-03 09:36",9.69,9.71,9.6,9.66,0.03,+0.31%,0
"2025-11-03 09:37",9.59,9.69,9.59,9.69,0.03,+0.31%,0
"2025-11-03 09:38",9.87,9.91,9.81,9.91,0.22,+2.27%,0
"2025-11-03 09:39",9.94,10.02,9.94,10.02,0.11,+1.11%,0
"2025-11-03 09:40",10.08,10.41,10.08,10.41,0.39,+3.89%,0
"2025-11-03 09:41",10.35,10.46,10.33,10.33,-0.08,-0.77%,0
"2025-11-03 09:42",10.39,10.64,10.39,10.64,0.31,+3.00%,0
"2025-11-03 09:43",10.66,10.66,10.47,10.47,-0.17,-1.60%,0
"2025-11-03 09:44",10.56,10.58,10.56,10.58,0.11,+1.05%,0
"2025-11-03 09:45",10.46,10.53,10.43,10.49,-0.09,-0.85%,0
"2025-11-03 09:46",10.41,10.49,10.41,10.43,-0.06,-0.57%,0
"2025-11-03 09:47",10.39,10.39,10.12,10.12,-0.31,-2.97%,0
"2025-11-03 09:48",10.19,10.43,10.19,10.43,0.31,+3.06%,0
"2025-11-03 09:49",10.44,10.47,10.41,10.43,0,0.00%,0
"2025-11-03 09:50",10.48,10.75,10.48,10.75,0.32,+3.07%,0
"2025-11-03 09:51",10.78,10.94,10.7,10.83,0.08,+0.74%,0
"2025-11-03 09:52",10.71,10.88,10.71,10.85,0.02,+0.18%,0
"2025-11-03 09:53",10.86,10.86,10.71,10.76,-0.09,-0.83%,0
"2025-11-03 09:54",10.88,10.88,10.74,10.83,0.07,+0.65%,0
"2025-11-03 09:55",10.95,11.11,10.95,11.11,0.28,+2.59%,0
"2025-11-03 09:56",11.03,11.03,10.74,10.79,-0.32,-2.88%,0
"2025-11-03 09:57",10.64,11.02,10.64,10.99,0.2,+1.85%,0
"2025-11-03 09:58",11.05,11.13,11.05,11.1,0.11,+1.00%,0
"2025-11-03 09:59",10.95,11,10.83,10.92,-0.18,-1.62%,0
"2025-11-03 10:00",10.86,11.13,10.78,11.13,0.21,+1.92%,0
"2025-11-03 10:01",11.2,11.28,11.01,11.01,-0.12,-1.08%,0
"2025-11-03 10:02",11.05,11.05,10.78,10.81,-0.2,-1.82%,0
"2025-11-03 10:03",10.86,10.86,10.74,10.81,0,0.00%,0
"2025-11-03 10:04",10.66,10.91,10.66,10.88,0.07,+0.65%,0
"2025-11-03 10:05",11.06,11.06,10.92,11.05,0.17,+1.56%,0
"2025-11-03 10:06",11.33,11.33,11.08,11.08,0.03,+0.27%,0
"2025-11-03 10:07",11.16,11.3,11.16,11.2,0.12,+1.08%,0
"2025-11-03 10:08",11.25,11.25,11.01,11.01,-0.19,-1.70%,0
"2025-11-03 10:09",10.84,10.84,10.59,10.59,-0.42,-3.81%,0
"2025-11-03 10:10",10.55,10.65,10.45,10.45,-0.14,-1.32%,0
"2025-11-03 10:11",10.48,10.61,10.48,10.6,0.15,+1.44%,0
"2025-11-03 10:12",10.6,10.6,10.44,10.44,-0.16,-1.51%,0
"2025-11-03 10:13",10.33,10.5,10.33,10.5,0.06,+0.57%,0
"2025-11-03 10:14",10.57,10.63,10.53,10.63,0.13,+1.24%,0
"2025-11-03 10:15",10.73,10.87,10.73,10.81,0.18,+1.69%,0
"2025-11-03 10:16",10.83,11.24,10.83,11.24,0.43,+3.98%,0
"2025-11-03 10:17",11.26,11.28,10.93,10.93,-0.31,-2.76%,0
"2025-11-03 10:18",11.06,11.2,10.97,11.14,0.21,+1.92%,0
"2025-11-03 10:19",11.14,11.14,10.83,10.83,-0.31,-2.78%,0
"2025-11-03 10:20",10.89,11.35,10.89,11.35,0.52,+4.80%,0
"2025-11-03 10:21",11.38,11.38,11.13,11.14,-0.21,-1.85%,0
"2025-11-03 10:22",11.15,11.21,11.13,11.13,-0.01,-0.09%,0
"2025-11-03 10:23",11.09,11.11,11,11,-0.13,-1.17%,0
"2025-11-03 10:24",11.13,11.43,11.13,11.43,0.43,+3.91%,0
"2025-11-03 10:25",11.37,11.64,11.37,11.56,0.13,+1.14%,0
"2025-11-03 10:26",11.54,11.82,11.54,11.82,0.26,+2.25%,0
"2025-11-03 10:27",11.9,11.9,11.7,11.71,-0.11,-0.93%,0
"2025-11-03 10:28",11.79,12.02,11.79,12.02,0.31,+2.65%,0
"2025-11-03 10:29",11.93,12.05,11.87,11.94,-0.08,-0.67%,0
"2025-11-03 10:30",11.84,12.09,11.84,12.09,0.15,+1.26%,0
"2025-11-03 10:31",12.08,12.15,12.02,12.14,0.05,+0.41%,0
"2025-11-03 10:32",12.2,12.2,11.94,11.94,-0.2,-1.65%,0
"2025-11-03 10:33",11.94,12.11,11.94,12.04,0.1,+0.84%,0
"2025-11-03 10:34",11.81,11.95,11.81,11.83,-0.21,-1.74%,0
"2025-11-03 10:35",11.87,11.93,11.72,11.93,0.1,+0.85%,0
"2025-11-03 10:36",11.92,11.92,11.86,11.87,-0.06,-0.50%,0
"2025-11-03 10:37",11.78,11.82,11.64,11.64,-0.23,-1.94%,0
"2025-11-03 10:38",11.52,11.52,11.32,11.35,-0.29,-2.49%,0
"2025-11-03 10:39",11.23,11.28,11.06,11.06,-0.29,-2.56%,0
"2025-11-03 10:40",11.05,11.1,11,11,-0.06,-0.54%,0
"2025-11-03 10:41",10.93,10.94,10.9,10.94,-0.06,-0.55%,0
"2025-11-03 10:42",10.87,11.01,10.87,11.01,0.07,+0.64%,0
"2025-11-03 10:43",11.11,11.11,10.92,10.92,-0.09,-0.82%,0
"2025-11-03 10:44",10.85,10.85,10.62,10.65,-0.27,-2.47%,0
"2025-11-03 10:45",10.84,10.85,10.75,10.85,0.2,+1.88%,0
"2025-11-03 10:46",10.96,11.09,10.94,11.09,0.24,+2.21%,0
"2025-11-03 10:47",11.06,11.11,11.01,11.01,-0.08,-0.72%,0
"2025-11-03 10:48",11.02,11.02,10.96,11,-0.01,-0.09%,0
"2025-11-03 10:49",11.09,11.16,11.09,11.16,0.16,+1.45%,0
"2025-11-03 10:50",11.11,11.11,10.87,10.87,-0.29,-2.60%,0
"2025-11-03 10:51",10.83,10.91,10.78,10.78,-0.09,-0.83%,0
"2025-11-03 10:52",10.74,10.9,10.74,10.85,0.07,+0.65%,0
"2025-11-03 10:53",10.87,10.87,10.7,10.7,-0.15,-1.38%,0
"2025-11-03 10:54",10.69,10.87,10.69,10.87,0.17,+1.59%,0
"2025-11-03 10:55",10.95,10.95,10.87,10.87,0,0.00%,0
"2025-11-03 10:56",10.89,10.89,10.76,10.76,-0.11,-1.01%,0
"2025-11-03 10:57",10.74,10.89,10.73,10.73,-0.03,-0.28%,0
"2025-11-03 10:58",10.69,10.69,10.57,10.57,-0.16,-1.49%,0
"2025-11-03 10:59",10.45,10.67,10.45,10.67,0.1,+0.95%,0
"2025-11-03 11:00",10.64,10.8,10.64,10.8,0.13,+1.22%,0
"2025-11-03 11:01",10.81,10.81,10.64,10.65,-0.15,-1.39%,0
"2025-11-03 11:02",10.7,10.82,10.7,10.8,0.15,+1.41%,0
"2025-11-03 11:03",10.82,10.88,10.73,10.73,-0.07,-0.65%,0
"2025-11-03 11:04",10.7,10.79,10.67,10.79,0.06,+0.56%,0
"2025-11-03 11:05",10.73,10.74,10.68,10.74,-0.05,-0.46%,0
"2025-11-03 11:06",10.67,10.71,10.62,10.71,-0.03,-0.28%,0
"2025-11-03 11:07",10.67,10.67,10.52,10.52,-0.19,-1.77%,0
"2025-11-03 11:08",10.57,10.75,10.57,10.68,0.16,+1.52%,0
"2025-11-03 11:09",10.63,10.64,10.62,10.62,-0.06,-0.56%,0
"2025-11-03 11:10",10.59,10.71,10.59,10.6,-0.02,-0.19%,0
"2025-11-03 11:11",10.68,10.68,10.53,10.53,-0.07,-0.66%,0
"2025-11-03 11:12",10.52,10.66,10.52,10.62,0.09,+0.85%,0
"2025-11-03 11:13",10.65,10.83,10.65,10.79,0.17,+1.60%,0
"2025-11-03 11:14",10.65,10.65,10.5,10.5,-0.29,-2.69%,0
"2025-11-03 11:15",10.52,10.59,10.52,10.59,0.09,+0.86%,0
"2025-11-03 11:16",10.52,10.77,10.52,10.77,0.18,+1.70%,0
"2025-11-03 11:17",10.73,10.73,10.58,10.58,-0.19,-1.76%,0
"2025-11-03 11:18",10.59,10.59,10.32,10.32,-0.26,-2.46%,0
"2025-11-03 11:19",10.36,10.36,10.26,10.3,-0.02,-0.19%,0
"2025-11-03 11:20",10.25,10.39,10.25,10.39,0.09,+0.87%,0
"2025-11-03 11:21",10.49,10.5,10.44,10.44,0.05,+0.48%,0
"2025-11-03 11:22",10.37,10.39,10.33,10.33,-0.11,-1.05%,0
"2025-11-03 11:23",10.29,10.29,10.23,10.26,-0.07,-0.68%,0
"2025-11-03 11:24",10.26,10.37,10.26,10.37,0.11,+1.07%,0
"2025-11-03 11:25",10.38,10.56,10.36,10.56,0.19,+1.83%,0
"2025-11-03 11:26",10.52,10.71,10.52,10.71,0.15,+1.42%,0
"2025-11-03 11:27",10.68,10.7,10.59,10.66,-0.05,-0.47%,0
"2025-11-03 11:28",10.66,10.76,10.59,10.59,-0.07,-0.66%,0
"2025-11-03 11:29",10.6,10.66,10.6,10.62,0.03,+0.28%,0
"2025-11-03 11:30",10.68,10.71,10.55,10.71,0.09,+0.85%,0
"2025-11-03 11:31",10.51,10.53,10.32,10.32,-0.39,-3.64%,0
"2025-11-03 11:32",10.26,10.27,10.14,10.14,-0.18,-1.74%,0
"2025-11-03 11:33",10.08,10.08,9.97,9.97,-0.17,-1.68%,0
"2025-11-03 11:34",9.94,10.07,9.9,10.07,0.1,+1.00%,0
"2025-11-03 11:35",10.04,10.16,10.04,10.16,0.09,+0.89%,0
"2025-11-03 11:36",10.33,10.33,10.11,10.11,-0.05,-0.49%,0
"2025-11-03 11:37",10.09,10.3,10.09,10.24,0.13,+1.29%,0
"2025-11-03 11:38",10.22,10.23,10.08,10.08,-0.16,-1.56%,0
"2025-11-03 11:39",10.08,10.08,9.96,9.97,-0.11,-1.09%,0
"2025-11-03 11:40",9.99,10.01,9.9,9.9,-0.07,-0.70%,0
"2025-11-03 11:41",9.82,9.93,9.82,9.93,0.03,+0.30%,0
"2025-11-03 11:42",9.99,10.09,9.96,10.01,0.08,+0.81%,0
"2025-11-03 11:43",9.99,9.99,9.89,9.9,-0.11,-1.10%,0
