Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-10-01 09:31",9.47,9.47,9.27,9.27,-2.75,-22.88%,0
"2025-10-01 09:32",9.32,9.39,9.32,9.39,0.12,+1.29%,0
"2025-10-01 09:33",9.35,9.39,9.29,9.31,-0.08,-0.85%,0
"2025-10-01 09:34",9.29,9.29,9.27,9.27,-0.04,-0.43%,0
"2025-10-01 09:35",9.28,9.38,9.26,9.26,-0.01,-0.11%,0
"2025-10-01 09:36",9.21,9.23,9.21,9.23,-0.03,-0.32%,0
"2025-10-01 09:37",9.24,9.24,9.14,9.14,-0.09,-0.98%,0
"2025-10-01 09:38",9.11,9.11,9.07,9.07,-0.07,-0.77%,0
"2025-10-01 09:39",9.1,9.19,9.1,9.18,0.11,+1.21%,0
"2025-10-01 09:40",9.19,9.2,9.16,9.16,-0.02,-0.22%,0
"2025-10-01 09:41",9.18,9.18,9.16,9.16,0,0.00%,0
"2025-10-01 09:42",9.12,9.2,9.12,9.2,0.04,+0.44%,0
"2025-10-01 09:43",9.15,9.19,9.15,9.18,-0.02,-0.22%,0
"2025-10-01 09:44",9.17,9.18,9.16,9.16,-0.02,-0.22%,0
"2025-10-01 09:45",9.11,9.13,9.06,9.13,-0.03,-0.33%,0
"2025-10-01 09:46",9.1,9.13,9.1,9.13,0,0.00%,0
"2025-10-01 09:47",9.14,9.14,9.13,9.13,0,0.00%,0
"2025-10-01 09:48",9.14,9.14,9.11,9.14,0.01,+0.11%,0
"2025-10-01 09:49",9.49,9.79,9.49,9.79,0.65,+7.11%,0
"2025-10-01 09:50",9.89,9.93,9.86,9.86,0.07,+0.72%,0
"2025-10-01 09:51",9.71,9.82,9.65,9.82,-0.04,-0.41%,0
"2025-10-01 09:52",9.77,9.86,9.77,9.86,0.04,+0.41%,0
"2025-10-01 09:53",9.82,9.83,9.71,9.71,-0.15,-1.52%,0
"2025-10-01 09:54",9.56,9.64,9.56,9.56,-0.15,-1.54%,0
"2025-10-01 09:55",9.53,9.56,9.5,9.5,-0.06,-0.63%,0
"2025-10-01 09:56",9.49,9.49,9.2,9.2,-0.3,-3.16%,0
"2025-10-01 09:57",9.1,9.28,9.08,9.28,0.08,+0.87%,0
"2025-10-01 09:58",9.25,9.38,9.25,9.34,0.06,+0.65%,0
"2025-10-01 09:59",9.38,9.47,9.33,9.47,0.13,+1.39%,0
"2025-10-01 10:00",9.4,9.4,9.07,9.07,-0.4,-4.22%,0
"2025-10-01 10:01",9.1,9.1,9,9,-0.07,-0.77%,0
"2025-10-01 10:02",8.98,8.99,8.92,8.97,-0.03,-0.33%,0
"2025-10-01 10:03",9.03,9.03,8.85,8.85,-0.12,-1.34%,0
"2025-10-01 10:04",8.91,8.91,8.7,8.7,-0.15,-1.69%,0
"2025-10-01 10:05",8.7,8.8,8.7,8.8,0.1,+1.15%,0
"2025-10-01 10:06",8.86,8.86,8.78,8.78,-0.02,-0.23%,0
"2025-10-01 10:07",8.74,8.75,8.71,8.71,-0.07,-0.80%,0
"2025-10-01 10:08",8.81,8.84,8.79,8.84,0.13,+1.49%,0
"2025-10-01 10:09",8.74,8.74,8.68,8.71,-0.13,-1.47%,0
"2025-10-01 10:10",8.69,8.69,8.59,8.59,-0.12,-1.38%,0
"2025-10-01 10:11",8.56,8.56,8.51,8.55,-0.04,-0.47%,0
"2025-10-01 10:12",8.53,8.58,8.51,8.51,-0.04,-0.47%,0
"2025-10-01 10:13",8.51,8.52,8.42,8.42,-0.09,-1.06%,0
"2025-10-01 10:14",8.43,8.43,8.39,8.42,0,0.00%,0
"2025-10-01 10:15",8.37,8.37,8.36,8.37,-0.05,-0.59%,0
"2025-10-01 10:16",8.41,8.41,8.36,8.38,0.01,+0.12%,0
"2025-10-01 10:17",8.32,8.41,8.32,8.36,-0.02,-0.24%,0
"2025-10-01 10:18",8.32,8.33,8.29,8.29,-0.07,-0.84%,0
"2025-10-01 10:19",8.21,8.21,8.14,8.15,-0.14,-1.69%,0
"2025-10-01 10:20",8.15,8.22,8.15,8.22,0.07,+0.86%,0
"2025-10-01 10:21",8.25,8.25,8.21,8.23,0.01,+0.12%,0
"2025-10-01 10:22",8.22,8.27,8.22,8.25,0.02,+0.24%,0
"2025-10-01 10:23",8.25,8.27,8.22,8.22,-0.03,-0.36%,0
"2025-10-01 10:24",8.27,8.27,8.21,8.21,-0.01,-0.12%,0
"2025-10-01 10:25",8.16,8.17,8.13,8.13,-0.08,-0.97%,0
"2025-10-01 10:26",8.12,8.21,8.12,8.15,0.02,+0.25%,0
"2025-10-01 10:27",8.13,8.13,8.08,8.08,-0.07,-0.86%,0
"2025-10-01 10:28",8.04,8.07,8.03,8.03,-0.05,-0.62%,0
"2025-10-01 10:29",7.97,8.03,7.97,8.03,0,0.00%,0
"2025-10-01 10:30",8.03,8.03,8,8.03,0,0.00%,0
"2025-10-01 10:31",8.04,8.06,8.03,8.06,0.03,+0.37%,0
"2025-10-01 10:32",8.07,8.08,8.04,8.04,-0.02,-0.25%,0
"2025-10-01 10:33",8.02,8.09,8.02,8.09,0.05,+0.62%,0
"2025-10-01 10:34",8.08,8.08,8,8,-0.09,-1.11%,0
"2025-10-01 10:35",7.98,8.03,7.98,8.03,0.03,+0.38%,0
"2025-10-01 10:36",7.98,8.05,7.98,8.05,0.02,+0.25%,0
"2025-10-01 10:37",8.05,8.13,8.05,8.13,0.08,+0.99%,0
"2025-10-01 10:38",8.16,8.19,8.16,8.16,0.03,+0.37%,0
"2025-10-01 10:39",8.17,8.2,8.15,8.2,0.04,+0.49%,0
"2025-10-01 10:40",8.2,8.32,8.2,8.32,0.12,+1.46%,0
"2025-10-01 10:41",8.28,8.37,8.28,8.37,0.05,+0.60%,0
"2025-10-01 10:42",8.3,8.4,8.3,8.34,-0.03,-0.36%,0
"2025-10-01 10:43",8.26,8.31,8.26,8.31,-0.03,-0.36%,0
"2025-10-01 10:44",8.29,8.34,8.29,8.34,0.03,+0.36%,0
"2025-10-01 10:45",8.27,8.35,8.27,8.35,0.01,+0.12%,0
"2025-10-01 10:46",8.36,8.4,8.36,8.37,0.02,+0.24%,0
"2025-10-01 10:47",8.31,8.41,8.31,8.41,0.04,+0.48%,0
"2025-10-01 10:48",8.37,8.4,8.36,8.38,-0.03,-0.36%,0
"2025-10-01 10:49",8.35,8.46,8.35,8.44,0.06,+0.72%,0
"2025-10-01 10:50",8.43,8.43,8.36,8.37,-0.07,-0.83%,0
"2025-10-01 10:51",8.38,8.38,8.28,8.31,-0.06,-0.72%,0
"2025-10-01 10:52",8.33,8.37,8.33,8.36,0.05,+0.60%,0
"2025-10-01 10:53",8.41,8.43,8.33,8.33,-0.03,-0.36%,0
"2025-10-01 10:54",8.35,8.35,8.32,8.33,0,0.00%,0
"2025-10-01 10:55",8.32,8.35,8.3,8.35,0.02,+0.24%,0
"2025-10-01 10:56",8.33,8.42,8.33,8.39,0.04,+0.48%,0
"2025-10-01 10:57",8.38,8.38,8.37,8.37,-0.02,-0.24%,0
