Time,Open,High,Low,Latest,Change,%Change,Volume
"2024-09-03 09:31",10.27,10.29,10.15,10.15,-1.18,-10.41%,0
"2024-09-03 09:32",10.12,10.33,10.12,10.33,0.18,+1.77%,0
"2024-09-03 09:33",10.27,10.38,10.27,10.38,0.05,+0.48%,0
"2024-09-03 09:34",10.42,10.48,10.42,10.48,0.1,+0.96%,0
"2024-09-03 09:35",10.49,10.7,10.49,10.7,0.22,+2.10%,0
"2024-09-03 09:36",10.69,10.81,10.69,10.81,0.11,+1.03%,0
"2024-09-03 09:37",10.79,10.8,10.76,10.78,-0.03,-0.28%,0
"2024-09-03 09:38",10.8,10.98,10.8,10.98,0.2,+1.86%,0
"2024-09-03 09:39",10.93,11.01,10.93,11,0.02,+0.18%,0
"2024-09-03 09:40",10.99,11.11,10.97,11.11,0.11,+1.00%,0
"2024-09-03 09:41",11.12,11.26,11.12,11.21,0.1,+0.90%,0
"2024-09-03 09:42",11.18,11.25,11.18,11.25,0.04,+0.36%,0
"2024-09-03 09:43",11.22,11.22,11.06,11.09,-0.16,-1.42%,0
"2024-09-03 09:44",11.07,11.07,10.97,10.97,-0.12,-1.08%,0
"2024-09-03 09:45",10.99,10.99,10.89,10.9,-0.07,-0.64%,0
"2024-09-03 09:46",10.86,10.92,10.86,10.9,0,0.00%,0
"2024-09-03 09:47",10.88,10.9,10.8,10.8,-0.1,-0.92%,0
"2024-09-03 09:48",10.88,10.97,10.88,10.97,0.17,+1.57%,0
"2024-09-03 09:49",11.02,11.05,11.01,11.01,0.04,+0.36%,0
"2024-09-03 09:50",11.01,11.34,11.01,11.34,0.33,+3.00%,0
"2024-09-03 09:51",11.34,11.35,11.27,11.35,0.01,+0.09%,0
"2024-09-03 09:52",11.5,11.52,11.45,11.45,0.1,+0.88%,0
"2024-09-03 09:53",11.42,11.42,11.2,11.38,-0.07,-0.61%,0
"2024-09-03 09:54",11.47,11.65,11.47,11.61,0.23,+2.02%,0
"2024-09-03 09:55",11.55,11.58,11.55,11.58,-0.03,-0.26%,0
"2024-09-03 09:56",11.57,11.57,11.47,11.53,-0.05,-0.43%,0
"2024-09-03 09:57",11.55,11.61,11.55,11.56,0.03,+0.26%,0
"2024-09-03 09:58",11.49,11.52,11.43,11.45,-0.11,-0.95%,0
"2024-09-03 09:59",11.41,11.41,11.37,11.38,-0.07,-0.61%,0
"2024-09-03 10:00",11.38,11.38,11.2,11.2,-0.18,-1.58%,0
"2024-09-03 10:01",11.13,11.24,11.13,11.24,0.04,+0.36%,0
"2024-09-03 10:02",11.23,11.32,11.23,11.31,0.07,+0.62%,0
"2024-09-03 10:03",11.25,11.33,11.25,11.33,0.02,+0.18%,0
"2024-09-03 10:04",11.36,11.58,11.36,11.52,0.19,+1.68%,0
"2024-09-03 10:05",11.54,11.54,11.45,11.53,0.01,+0.09%,0
"2024-09-03 10:06",11.55,11.6,11.51,11.51,-0.02,-0.17%,0
"2024-09-03 10:07",11.5,11.58,11.5,11.53,0.02,+0.17%,0
"2024-09-03 10:08",11.55,11.59,11.55,11.57,0.04,+0.35%,0
"2024-09-03 10:09",11.58,11.58,11.49,11.49,-0.08,-0.69%,0
"2024-09-03 10:10",11.53,11.53,11.49,11.49,0,0.00%,0
"2024-09-03 10:11",11.43,11.44,11.31,11.33,-0.16,-1.39%,0
"2024-09-03 10:12",11.31,11.36,11.31,11.36,0.03,+0.26%,0
"2024-09-03 10:13",11.37,11.4,11.33,11.4,0.04,+0.35%,0
"2024-09-03 10:14",11.41,11.57,11.41,11.57,0.17,+1.49%,0
